Name,RequiredExpLevel,RecommendedExpLevel,Difficulty,TutorialFlow,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,Deprecated,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
First a trickle,11,13,Medium,,Holiday Resort,Serrano,Seawater Intake,Seawater Intake,AI,Remember to hydrate,talk,AI,1,,,,,,,,,,,Examination Gloves,,,,,,Island Paradise,,,
Two Lil' Hobos,15,17,Medium,,Truck Dock,Xavier Chiarello,Truck Dock,Truck Dock,Xavier Chiarello,Red Terror,talk,Jonas the Junkie,1,,,,,,,,,,,,,,,,,Death from below,,,
,,,,,,,,,,,talk,Sammy the Junkie,1,,,,,,,,,,,,,,,,,,,,
Gun Trouble,15,16,Medium,,Refinery,De La Vega,Refinery,Refinery,De La Vega,,eliminate,Hired Guns Engineer,5,,,,,,,,,,,Shin Kick'rs,,Pump Trainers,,Comfortable Hiking Shoes,,Power to the People,,,
,,,,,,,,,,,eliminate,Hired Guns Chief,5,,,,,,,,,,,,,,,,,,,,
Reporting for Duty,11,13,Medium,,Oasis Health Station,Jarden Coggins,Oasis Health Station,Oasis Health Station,Davey Knutsen,Go with the flow,talk,Davey Knutsen,,,,,,,,,,,,,,,,,,Island Paradise,,,
Duke of All Kinds of Hazards,13,15,Easy,,Water Purification Facility,Adelmo,Alloy Plaza,Alloy Plaza,Duke,,talk,Duke,1,,,,,,,,,,,,,,,,,Island Paradise,,,
They Came From The Sewers,15,17,Medium,,Truck Dock,Xavier Chiarello,Truck Dock,Truck Dock,Xavier Chiarello,Refuel,loot,Ant Egg,2,,,,,,,,,,,,,,,,,Death from below,,,
Deal Breaker,15,17,Medium,,Wells Wharf,Dillinger,Wells Wharf,Wells Wharf,AI,Local Flair,eliminate,Hired Guns Specialist,1,,,,,,,,,,,,,,,,,Supply Lines,,,
,,,,,,,,,,,eliminate,Labycore Bodyguard,1,,,,,,,,,,,,,,,,,,,,
Radio silence,11,13,Easy,,Oasis Health Station,Davey Knutsen,Fresh Water Reservoir,Oasis Health Station,Davey Knutsen,Reporting for Duty,use,usable_pp_controller_1,1,,,,,,,,,,,,,,,,,Desert Rage,,,
Reduce patrols,11,13,Medium,,Oasis Health Station,Davey Knutsen,Fresh Water Reservoir,Oasis Health Station,Davey Knutsen,Reporting for Duty,eliminate,Hired Guns Grenadier,4,,,,,,,,,,,,,,,,,Desert Rage,,,
,,,,,,,,,,,eliminate,Hired Guns Chief,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Hired Guns Engineer,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Hired Guns Shooter,2,,,,,,,,,,,,,,,,,,,,
Pest Control,8,10,Medium,,Oasis Health Station,Ralph Cox,Camping Grounds,Oasis Health Station,Ralph Cox,,eliminate,Stoned Hooligan,6,,,,,,,TRUE,,,,,,,,,,Molehills,,,
,,,,,,,,,,,eliminate,Malicious Hooligan,4,,,,,,,,,,,,,,,,,,,,
Raiders!,10,12,Medium,,Desert Highway,De La Vega,Desert Highway,Desert Highway,De La Vega,,eliminate,Slick Raider,2,,,,,,,,Big Medikit,,2,,,,,,,Desert Raiders,,,
,,,,,,,,,,,eliminate,Raider Scout,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Roided Raider,2,,,,,,,,,,,,,,,,,,,,
Alley-Oop,20,22,Medium,,Lovens Park South,Lola,Lovens Park South,Lovens Park South,Lola,,escort,Luscious Valkyrie,1,,,,,,,,,,,Syndicate Coat,,Midnight Jacket,,Scrub Top,,Catfight,,,
A Soft Heart is an Easy Target,22,24,Medium,,Berlin Street Hospital,Drush,Freedom Park,Berlin Street Hospital,Drush,,escort,,,,,,,,,TRUE,,,,,,,,,,Catfight,,,
"Faster, Harder, Scooter!",22,24,Medium,,Berlin Street Hospital,Drush,Freedom Island,Berlin Street Hospital,Drush,A Soft Heart is an Easy Target,talk,,,,,,,,,TRUE,,,,Grounded Shoes,,Glamour Shoes,,Parkour Sneakers,,Catfight,,,
Pantry Raid,25,27,Medium,,Market Square New Paris,Ramon Fabiano,New Venice Hotel,Market Square New Paris,Ramon Fabiano,,escort,De La Vega,1,,New Venice Hotel,,,,,,,,,Thick Synth Strap,,Golf Belt,,Synth Strap,,Femmes Fatales,,,
Ditch The Witch,25,27,Medium,,Market Square New Paris,Fall,New Venice Square,Market Square New Paris,Fall,,talk,Voodoo Mambo,1,,,,,,,,,,,Titanium Cap,,Quality Cap,,Cap Tain,,Femmes Fatales,,,
Gutting the Guards,15,16,Medium,,Refinery,De La Vega,Refinery,Refinery,De La Vega,Gun Trouble,eliminate,Hired Guns Grenadier,3,,,,,,,,,,,,,,,,,Power to the People,,,
,,,,,,,,,,,eliminate,Hired Guns Shooter,3,,,,,,,,,,,,,,,,,,,,
Red menace,15,16,Hard,,Alloy Plaza,Duke,Alloy Plaza,Alloy Plaza,Duke,,use,usable_propane_tank1,1,,Alloy Plaza,,,,,,,,,Flak Pants,,Fancy Trousers,,Protector Jeans,,Death from below,,,
Strictly Unethical,16,17,Hard,,Alloy Plaza,Sammy Schomer,Mill Park,Alloy Plaza,Sammy Schomer,Power Down,eliminate,Demolisherbot,1,,,,,,,,,,,Venetian Shades,,Venetian Shades,,Venetian Shades,,Death from below,,,
Power Down,16,17,Medium,,Alloy Plaza,Sammy Schomer,Mill Park,Alloy Plaza,Sammy Schomer,Red vs. Blue,use,electric_booth,3,,,,,,,,,,,,,,,,,Death from below,,,
Mean Dean,15,17,Medium,,Wells Wharf,AI,Steel Pier,Steel Pier,Dean,Search and Destroy,escort,Dean,1,,,,,,,,,,,,,,,,,Supply Lines,,,
Fan the Flames,15,17,Medium,,Steel Pier,Dean,Steel Pier,Steel Pier,Scarface,Mean Dean,eliminate,Security Officer,6,,,,,,,,,,,,,,,,,Supply Lines,,,
,,,,,,,,,,,eliminate,Security Trooper,6,,,,,,,,,,,,,,,,,,,,
Remote Control,15,17,Medium,,Steel Pier,Scarface,Steel Pier,Steel Pier,Scarface,Fan the Flames,eliminate,Engineer,1,,,,,,,,,,,,,,,,,Supply Lines,,,
,,,,,,,,,,,use,Useable_computer_back,1,,,,,,,,,,,,,,,,,,,,
There Is Only Flesh,13,15,Medium,,Alloy Plaza,Sammy Schomer,Paradise Power,Alloy Plaza,Sammy Schomer,,eliminate,Club Flesh Hedonist,1,,,,,,,TRUE,,,,,,,,,,Crushed By The Wheels,,,
Reeling it in,15,16,Medium,,Refinery,De La Vega,Refinery,Refinery,De La Vega,Gutting the Guards,use,Useable_computer_back,1,,,,,,,,,,,,,,,,,Power to the People,,,
It IS Another Drill. Literally.,15,16,Medium,,Processing Plant,Roco Mattia,Processing Plant,Processing Plant,Roco Mattia,,eliminate,Hired Guns Engineer,1,,,,,,,,,,,,,,,,,Molehills,,,
Drill parts,15,16,Medium,,Processing Plant,Roco Mattia,Processing Plant,Processing Plant,Roco Mattia,It IS Another Drill. Literally.,loot,Shipment,3,,,,,,,,,,,,,,,,,Molehills,,,
Kick 'Em When They're Down,15,16,Medium,,Processing Plant,Roco Mattia,Processing Plant,Processing Plant,Roco Mattia,Drill parts,loot,Data disc,1,,,,,,,,,,,,,,,,,Molehills,,,
Insult to Injury,15,17,Medium,,Processing Plant,Roco Mattia,Processing Plant,Processing Plant,Roco Mattia,Drill parts,loot,Gasoline,2,,,,,,,,,,,,,,,,,Molehills,,,
