Name,RequiredExpLevel,RecommendedExpLevel,TutorialFlow,Difficulty,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,RequiredCharacterClass,Deprecated,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
Gaining Access,24,26,,Hard,Supply Depot,Kaylee,Orleans Street,Supply Depot,Kaylee,,loot,Key Card,1,,,,,,,,,,,,Kevlar Jacket,,All-weather Coat,,Casual Sweater,,,,,,,,,,,Crushed By The Wheels,,,
Night Life,4,6,,Easy,Pirate Bay,Alton Harvey,Pirate Bay,Pirate Bay,Inara,Burning Down the House,talk,Inara,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,The Initiation,,,
Where's Wally?,5,7,,Easy,Pirate Bay,Angel Garzon,Container Yard,Container Yard,Wally Foston,A Dog As Courier? How Stupid Is That?,talk,Wally Foston,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,The Initiation,,,
My Go-to Girl,6,8,,Easy,Pirate Bay,Kaylee,Pirate Bay,Pirate Bay,River,Get Rid of the Rivals,talk,River,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Harbor Side Quests,,,
Playing it Safe,4,6,,Easy,Pirate Bay,Dawn,Pirate Bay,Pirate Bay,Dawn,Bang Up Job,loot,Data disc,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Just a Small Favor,3,5,,Medium,Storehouse,Willow,Weed Patch,Storehouse,Willow,Am I Bugging You?,loot,Shipment,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,The Initiation,,,
Meet Kaylee,5,6,,Easy,Pirate Bay,Inara,Pirate Bay,Pirate Bay,Kaylee,Blood Sample,talk,Kaylee,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,The Initiation,,,
Blood Feud,4,6,,Medium,Pirate Bay,,Car Park,Pirate Bay,Alton Harvey,Blood Sample,eliminate,Security Trooper,4,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Harbor Side Quests,,,
,,,,,,,,,,,eliminate,Security Officer,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna from Heaven,4,6,,Medium,Pirate Bay,Holden Shunk,Car Park,Pirate Bay,Holden Shunk,Blood Feud,use,,3,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Stick it to the Man,,,
Meet Adelle,7,9,,Easy,Pirate Bay,River,Drydock,Drydock,Adelle,,talk,Adelle,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Meet Mal,7,8,,Easy,Container Yard,Wally Foston,Import Area,Import Area,Mal Voorhis,Confiscate This!,talk,Mal Voorhis,1,,,,,,,,TRUE,Health Boost,,3,,,,,,,,,,,,,,,,Human Trafficking,,,
Waylaid,10,12,,Medium,Desert Highway,De La Vega,Paradise Power,Desert Highway,De La Vega,Truck down,talk,Bronco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desert Raiders,,,
,,,,,,,,,,,talk,Leticia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,talk,El Guapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Revolution Will Not Be Televised,18,20,,Easy,Supply Depot,Kaylee,New Dublin Street,New Dublin Street,13Diablo Gun Vendor,,talk,13Diablo Gun Vendor,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Town Side Quests,,,
Striptease,18,20,,Medium,New Dublin Street,Claire,Old World Hotel,New Dublin Street,Claire,The Revolution Will Not Be Televised,talk,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Turf Wars,,,
,,,,,,,,,,,use,table_touchscreen scanner,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
