Name,RequiredExpLevel,RecommendedExpLevel,TutorialFlow,Difficulty,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,DailyMission,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,Deprecated,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
Nuts & Bolts,3,4,,Medium,Storehouse,Javier Marez,Storehouse,Storehouse,Javier Marez,,loot,,Package,3,,,,,,,,,,,,,,,,DIY,Fabric,8,
Pickpocket,3,4,,Medium,Storehouse,Javier Marez,Storehouse,Storehouse,Javier Marez,Nuts & Bolts,loot,,Package,1,Security Trooper,,true,30,,,,,,Cotton Kick'rs,,Worn Trainers,,Worn Hiking Shoes,,DIY,,,
,,,,,,,,,,,loot,,Package,2,Security Officer,,,,,,,,,,,,,,,,,,
Toll Free,3,4,,Medium,Pirate Bay,Alton Harvey,Car Park,Pirate Bay,Alton Harvey,Car Jacking,eliminate,,Security Officer,8,,,,,,,,,15,Casual T-Shirt,,Denim Vest,,Hiking Sweater,,DIY,,,
Chief Inspector,4,5,,Medium,Pirate Bay,Alton Harvey,Anchorage,Pirate Bay,Alton Harvey,Toll Free,eliminate,,Master of Inspection,1,,,true,200,90,,,,,Moldy Cap,,Designer Pants,,Sailing Pants,,DIY,,,
Troll's Lair,3,5,,Hard,Pirate Bay,Tollman,Troll's Lair,Pirate Bay,Tollman,,eliminate,,TROLL,1,,,,,,,,,,Casual Black Gloves,,Casual Dark Gloves,,Casual Dark Gloves,,The Fugitive,,,
Crayfish Party,4,6,,Medium,Pirate Bay,Alton Harvey,Shelly Beach,Pirate Bay,Alton Harvey,Toll Free,eliminate,,Mudcrab,6,,,,,,,,,,,,,,,,Critter Bash,,,
Infected,4,6,,Medium,Pirate Bay,Alton Harvey,Weed Patch,Pirate Bay,Alton Harvey,Crayfish Party,eliminate,,Infected Junkie,5,,,,,,,,,,Cowhide Gloves,,Sheepskin Gloves,,Sheepskin Gloves,,Stick it to the Man,,,
Got Bacon?,4,6,,Hard,Pirate Bay,Alton Harvey,Weed Patch,Pirate Bay,Alton Harvey,Crayfish Party,eliminate,,Piggy Bob,1,,,,,,,,,,,,,,,,Homegrown,,,
I Spy,4,6,,Medium,Pirate Bay,Tollman,Eureka Research,Eureka Research,Shaft AI,Chief Inspector,talk,,Shaft AI,,,,,,,,,,,,,,,,,Eureka!,,,
Guided Tour,4,6,,Medium,Eureka Research,Shaft AI,Eureka Research,Eureka Research,Shaft AI,I Spy,talk,,MissHolo 1,1,,,,,,,,,,,,,,,,Eureka!,,,
,,,,,,,,,,,talk,,MissHolo 2,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,talk,,MissHolo 3,1,,,,,,,,,,,,,,,,,,,
Beach Party,5,7,,Medium,Pirate Bay,Tollman,Refugee Camp,Refugee Camp,Ron,Printing Money,talk,,Ron,1,,,,,,,,,,,,,,,,Beach Party,,,
Eliminate Tankinator,5,7,,Hard,Refugee Camp,Ron,Pearl Station,Refugee Camp,Ron,,eliminate,,Tankinator,1,,,,,,True,,,,Entry Gloves,,Black Lab Gloves,,Black Lab Gloves,,Beached,,,
Club Night,5,7,,Easy,Refugee Camp,Ron,Pirate Bay,Pirate Bay,Kaylee,,talk,,Kaylee,1,,,,,,True,,,,Bouncer's T-Shirt,,Shooting Vest,,Shooting Vest,,Beached,,,
Friendly Match,5,6,,Medium,Pirate Bay,Mews,Pirate Bay,Pirate Bay,Mews,,pvp_kill,true,,1,,,,,,,,,,,,,,,,Daily,Power Cells,1,
Travel To Achilles,6,7,,Medium,Pirate Bay,Vladek,Achilles,Achilles,Flux,,talk,true,Flux,1,,,,,,,,,,,,,,,,Daily,,,
Challenge Yourself,3,4,,Medium,Pirate Bay,Mews,Pirate Bay,Pirate Bay,Mews,,pvp_kill,true,,1,,,true,25,50,,Plans: TacKnife,,,,,,,,,Daily,,,
Unfair Advantage,4,4,,Medium,Pirate Bay,Mews,Pirate Bay,Pirate Bay,Mews,Challenge Yourself,return_item,,TacKnife,1,,,,,,True,TacKnife,,,,,,,,,The Fugitive,,,
Unusual Activity,3,4,,Medium,Storehouse,Javier Marez,Anchorage,Pirate Bay,Alton Harvey,The Stash,loot,,Coupon Suitcase,2,,,,,,,,,,,,,,,,DIY,Fabric,10,
The Stash,3,4,,Medium,Storehouse,Javier Marez,Storehouse,Storehouse,Javier Marez,Pickpocket,talk,,Raul Jimenez,1,,,,,,,Small Bazooka,,3,,,,,,,DIY,,,
Car Jacking,3,4,,Medium,Pirate Bay,Alton Harvey,Car Park,Pirate Bay,Alton Harvey,The Stash,eliminate,,Security Trooper,6,,,,,,,,,15,,,,,,,DIY,Fabric,15,
,,,,,,,,,,,loot,,Data disc,3,,,,,,,,,,,,,,,,,,,
On The Dock,3,3,,Easy,Needlewood,Donovan,Pirate Bay,Pirate Bay,Alton Harvey,Grim Reaper,talk,,Alton Harvey,1,,,,,,,,,,,,,,,,Rabid Pack,,,
Da Capo Al Fine,8,10,,Hard,Pirate Bay,Alton Harvey,Import Area,Pirate Bay,Alton Harvey,"Killing You, Killing Me",loot,,Key Card,1,,,,,,,,,,Bouncer Gloves,,Woodsman Gloves,,Disposable Gloves,,High-Value Targets,,,
,,,,,,,,,,,eliminate,,Mafioso,1,,,,,,,,,,,,,,,,,,,
No Trace,7,9,,Medium,Pirate Bay,Alton Harvey,Import Area,Pirate Bay,Alton Harvey,Kill Kingpin,loot,,Package,1,,,,,,,,,,,,,,,,Mafia,,,
"Killing You, Killing Me",7,9,,Medium,Pirate Bay,Alton Harvey,Internment,Pirate Bay,Alton Harvey,No Trace,eliminate,,Mad Dog Hitman,2,,,,,,,,,,Brawny Pants,,Hunting Trousers,,Black Drab Pants,,Mafia,,,
,,,,,,,,,,,talk,,Green Peter,1,,,,,,,,,,,,,,,,,,,
Still alive,28,30,,Easy,Berlin Street Hospital,Angelin,Freedom Island,Freedom Island,General Adama,,talk,,General Adama,1,,,,,,,,,,,,,,,,Reinforce stronghold,,,
Running out,28,30,,Medium,Freedom Island,General Adama,Freedom Island,Freedom Island,General Adama,Still alive,loot,,Coupon,5,Half Zombie,,,,,,,,,,,,,,,Reinforce stronghold,,,
The Quartermaster,28,30,,Easy,Freedom Island,General Adama,Freedom Island,Freedom Island,Quartermaste,Running out,talk,,Quartermaste,1,,,,,,,,,,,,,,,,Reinforce stronghold,,,
Reinforce the stronghold,28,30,,Medium,Freedom Island,Quartermaste,Freedom Island,Freedom Island,Quartermaste,The Quartermaster,loot,,Woodpile,5,,,,,,,Superior Grenade,,2,,,,,,,Reinforce stronghold,,,
Search General Adama,28,30,,Medium,Freedom Island,Quartermaste,Freedom Island,Freedom Island,General Adama,Reinforce the stronghold,talk,,General Adama,1,,,,,,,,,,,,,,,,Reinforce stronghold,,,
I see dead people,28,30,,Easy,South Park Garden,Frank,Freedom Island,Freedom Island,General Adama,No news...,talk,,General Adama,1,,,,,,,,,,,,,,,,Reinforce stronghold,,,
No news...,28,30,,Medium,Freedom Island,General Adama,South Park Garden,South Park Garden,Frank,Search General Adama,escort,,Mr. Grimes,1,,,,,,,,,,,,,,,,Reinforce stronghold,,,
Survivors,28,30,,Easy,Freedom Island,General Adama,Freedom Park,Freedom Park,Wheezing Phil,I see dead people,talk,,Wheezing Phil,1,,,,,,,,,,,,,,,,"Noobs, check them out",,,
SOS,28,30,,Medium,Freedom Park,Wheezing Phil,Freedom Park,Freedom Park,Wheezing Phil,Survivors,eliminate,,ExplodingBarrel,4,,,,,,,,,,,,,,,,"Noobs, check them out",,,
Gas off,28,30,,Medium,Freedom Park,Wheezing Phil,Freedom Park,Freedom Park,Wheezing Phil,SOS,loot,,Gasoline,5,,,,,,,,,,,,,,,,"Noobs, check them out",Nanobots,5,
Seek and destroy,28,30,,Medium,Freedom Park,Wheezing Phil,Freedom Park,Freedom Park,Wheezing Phil,Gas off,eliminate,,Cholera,1,,,,,,,,,,,,,,,,"Noobs, check them out",,,
