Name,EquipmentClass,RequiredLevel,Rarity,Enhancement,Tier,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,LootDisabled,PostToSocialNetworks
Superfine Necklace,Necklace,26,Rare,of the Beast,,of 6th Sense,,,,,,,,True,TRUE
Excellent Necklace,Necklace,21,Rare,of Health,,of the Destroyer,,,,,,,,True,TRUE
Marvelous Necklace,Necklace,3,Rare,of Brightness,,of the Painmaker,,,,,,,,True,TRUE
Awesome Necklace,Necklace,5,Rare,of the Beast,,of the Judgment,,,,,,,,True,TRUE
Greater Necklace,Necklace,8,Rare,of Health,,of the Destroyer,,,,,,,,True,TRUE
Singular Necklace,Necklace,11,Rare,of Brightness,,of the Painmaker,,,,,,,,True,TRUE
Exquisite Necklace,Necklace,14,Rare,of the Troublemaker,,of the Predator,,,,,,,,True,TRUE
High-Power Necklace,Necklace,17,Rare,of Brightness,,of the Legend,,,,,,,,True,TRUE
Jagged Necklace,Necklace,19,Rare,of the Troublemaker,,of the Ambusher,,,,,,,,True,TRUE
Radical Necklace,Necklace,23,Rare,of the Assassin,,of the Crymaker,,,,,,,,True,TRUE
First-Class Necklace,Necklace,25,Rare,of Capacity,,of 6th Sense,,,,,,,,True,TRUE
Outstanding Necklace,Necklace,27,Rare,of the Hunter,,of 6th Sense,,,,,,,,True,TRUE
Excellent Scarf,Scarf,5,Rare,of the Hunter,,of the Painmaker,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,True,TRUE
Marvelous Scarf,Scarf,8,Rare,of the Beast,,of the Judgment,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,True,TRUE
Awesome Scarf,Scarf,21,Rare,of Health,,of the Destroyer,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,True,TRUE
