Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,Tier,ShopRecommend,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Plain Green Scarf,Scarf,,12,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Green Fan Scarf,Scarf,,17,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Knitted Green Scarf,Scarf,,22,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Exquisite Green Scarf,Scarf,,28,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Plain Red Scarf,Scarf,,12,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Red Fan Scarf,Scarf,,17,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Knitted Red Scarf,Scarf,,22,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Exquisite Red Scarf,Scarf,,28,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Plain Blue Scarf,Scarf,,12,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_blue.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Blue Fan Scarf,Scarf,,17,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_blue.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Knitted Blue Scarf,Scarf,,22,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_blue.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Exquisite Blue Scarf,Scarf,,28,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_blue.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Mood Necklace,Necklace,,9,Uncommon,,TRUE,of Determination,,,,graphics/3d/hats/on_skin_textures/bandana_blackred_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Power Bandana,Bandana,,11,Uncommon,,TRUE,of Determination,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Polished Necklace,Necklace,,14,Uncommon,,TRUE,of Determination,,,,graphics/3d/hats/on_skin_textures/bandana_blackred_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Extra Power Bandana,Bandana,,16,Uncommon,,TRUE,of Determination,,,,,,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Blaster Necklace,Necklace,,19,Uncommon,,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Dramatic Power Bandana,Bandana,,21,Uncommon,,TRUE,of Determination,,,,graphics/3d/hats/on_skin_textures/bandana_blackred_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
