Name,Text
TID_NECKLACE_0,Superfine Necklace
TID_NECKLACE_1,Excellent Necklace
TID_NECKLACE_2,Marvelous Necklace
TID_NECKLACE_3,Awesome Necklace
TID_NECKLACE_4,Greater Necklace
TID_NECKLACE_5,Singular Necklace
TID_NECKLACE_6,Exquisite Necklace
TID_NECKLACE_7,High-Power Necklace
TID_NECKLACE_8,Jagged Necklace
TID_NECKLACE_9,Radical Necklace
TID_NECKLACE_10,First-Class Necklace
TID_NECKLACE_11,Outstanding Necklace
TID_NECKLACE_12,Excellent Scarf
TID_NECKLACE_13,Marvelous Scarf
TID_NECKLACE_14,Awesome Scarf
TID_NECKLACE_15,Greater Scarf
TID_NECKLACE_16,Singular Scarf
TID_NECKLACE_17,Exquisite Scarf
TID_NECKLACE_18,High-Power Scarf
TID_NECKLACE_19,Jagged Scarf
TID_NECKLACE_20,Radical Scarf
TID_NECKLACE_21,First-Class Scarf
TID_NECKLACE_22,Outstanding Scarf
TID_NECKLACE_23,Superfine Scarf
TID_NECKLACE_24,Cool Necklace
TID_NECKLACE_25,Good Necklace
TID_NECKLACE_26,Fine Necklace
TID_NECKLACE_27,Credible Necklace
TID_NECKLACE_28,Street Wise Necklace
TID_NECKLACE_29,Worthy Necklace
TID_NECKLACE_30,Boosted Necklace
TID_NECKLACE_31,Acute Necklace
TID_NECKLACE_32,Genuine Necklace
TID_NECKLACE_33,Special Necklace
TID_NECKLACE_34,Elegant Necklace
TID_NECKLACE_35,Great Necklace
TID_NECKLACE_36,Good Scarf
TID_NECKLACE_37,Fine Scarf
TID_NECKLACE_38,Credible Scarf
TID_NECKLACE_39,Street Wise Scarf
TID_NECKLACE_40,Worthy Scarf
TID_NECKLACE_41,Boosted Scarf
TID_NECKLACE_42,Acute Scarf
TID_NECKLACE_43,Genuine Scarf
TID_NECKLACE_44,Sentry's Scarf
TID_NECKLACE_45,Sentry's Necklace
TID_NECKLACE_46,Soulless Scarf
TID_NECKLACE_47,Pimp's Muffler
TID_NECKLACE_48,Superior Necklace
TID_NECKLACE_49,Outstanding Headscarf
TID_NECKLACE_50,Superfine Headscarf
TID_NECKLACE_51,Excellent Headscarf
TID_NECKLACE_52,Marvelous Headscarf
TID_NECKLACE_53,First Class Bandana
TID_NECKLACE_54,Outstanding Bandana
TID_NECKLACE_55,Superfine Bandana
TID_NECKLACE_56,Excellent Bandana
TID_NECKLACE_57,Marvelous Bandana
TID_NECKLACE_58,Awesome Bandana
TID_NECKLACE_59,Greater Bandana
TID_NECKLACE_60,Singular Bandana
TID_NECKLACE_61,Bot Maker's Bandana
TID_NECKLACE_62,DLL-471 Scarf
TID_NECKLACE_63,DLL-471 Bandana
TID_NECKLACE_64,Catherine's Heirloom
TID_NECKLACE_65,Sugarcube's Scarf
TID_NECKLACE_66,Green Scarf
TID_NECKLACE_67,Red Scarf
TID_NECKLACE_68,Blue Scarf
TID_NECKLACE_69,Helper's Necklace
TID_NECKLACE_70,Assistant's Necklace
TID_NECKLACE_71,Samaritan's Necklace
TID_NECKLACE_72,Desperado's Bandana
TID_NECKLACE_73,Outlaw's Bandana
TID_NECKLACE_74,Gunslinger's Bandana
TID_NECKLACE_75,Hobo Necklace
TID_NECKLACE_76,Drunk's Necklace
TID_NECKLACE_77,Crazy's Necklace
TID_NECKLACE_78,Voodoo Scarf
TID_NECKLACE_79,Hoodoo Scarf
TID_NECKLACE_80,Witch Doctor Scarf
TID_NECKLACE_81,Primal Necklace
TID_NECKLACE_82,Anarchy Bandana
