Name,Text
TID_NECKLACE_NEW_0,Plain Green Scarf
TID_NECKLACE_NEW_1,Green Fan Scarf
TID_NECKLACE_NEW_2,Knitted Green Scarf
TID_NECKLACE_NEW_3,Exquisite Green Scarf
TID_NECKLACE_NEW_4,Plain Red Scarf
TID_NECKLACE_NEW_5,Red Fan Scarf
TID_NECKLACE_NEW_6,Knitted Red Scarf
TID_NECKLACE_NEW_7,Exquisite Red Scarf
TID_NECKLACE_NEW_8,Plain Blue Scarf
TID_NECKLACE_NEW_9,Blue Fan Scarf
TID_NECKLACE_NEW_10,Knitted Blue Scarf
TID_NECKLACE_NEW_11,Exquisite Blue Scarf
TID_NECKLACE_NEW_12,Mood Necklace
TID_NECKLACE_NEW_13,Power Bandana
TID_NECKLACE_NEW_14,Polished Necklace
TID_NECKLACE_NEW_15,Extra Power Bandana
TID_NECKLACE_NEW_16,Blaster Necklace
TID_NECKLACE_NEW_17,Dramatic Power Bandana
TID_NECKLACE_NEW_18,Holo Necklace
TID_NECKLACE_NEW_19,Mega Power Bandana
TID_NECKLACE_NEW_20,Hyper Power Bandana
TID_NECKLACE_NEW_21,Celestial Power Bandana
TID_NECKLACE_NEW_22,Piecemeal Necklace
TID_NECKLACE_NEW_23,Manufactured Necklace
TID_NECKLACE_NEW_24,Handmade Necklace
TID_NECKLACE_NEW_25,Unique Necklace
TID_NECKLACE_NEW_26,Steel Chain
TID_NECKLACE_NEW_27,Barbed Chain
TID_NECKLACE_NEW_28,Gilded Chain
TID_NECKLACE_NEW_29,Good Luck Charm
TID_NECKLACE_NEW_30,Crazy Ivan's Necklace
TID_NECKLACE_NEW_31,Feelgood Bandana
TID_NECKLACE_NEW_32,Comforting Bandana
TID_NECKLACE_NEW_33,Motivational Bandana
TID_NECKLACE_NEW_34,Inspirational Bandana
TID_NECKLACE_NEW_35,Crazy Necklace
TID_NECKLACE_NEW_36,Lucky's Necklace
TID_NECKLACE_NEW_37,Rat Pack's Necklace
TID_NECKLACE_NEW_38,Top Dog's Necklace
TID_NECKLACE_NEW_39,Gunfighter's Bandana
TID_NECKLACE_NEW_40,Infiltrator's Bandana
TID_NECKLACE_NEW_41,Expert's Bandana
TID_NECKLACE_NEW_42,Mentor's Bandana
TID_NECKLACE_NEW_43,Guru's Bandana
TID_NECKLACE_NEW_44,Attitude Wrap
TID_NECKLACE_NEW_45,Neck Wrap
TID_NECKLACE_NEW_46,Neck Hugger
TID_NECKLACE_NEW_47,Voodoo Headwear
TID_NECKLACE_NEW_48,Street Breather
TID_NECKLACE_NEW_49,Attitute Wrapper
TID_NECKLACE_NEW_50,Master's Scarf
TID_NECKLACE_NEW_51,Zombie Scarf
TID_NECKLACE_NEW_52,Gangsta's Scarf
TID_NECKLACE_NEW_53,Good Wrap
TID_NECKLACE_NEW_54,Fine Wrap
TID_NECKLACE_NEW_55,Credible Wrap
TID_NECKLACE_NEW_56,Bandit's Bandana
TID_NECKLACE_NEW_57,Excellent Wrap
TID_NECKLACE_NEW_58,Marvelous Wrap
TID_NECKLACE_NEW_59,Bandit's Headscarf
TID_NECKLACE_NEW_60,Street Wise Wrap
TID_NECKLACE_NEW_61,Worthy Wrap
TID_NECKLACE_NEW_62,Boosted Wrap
TID_NECKLACE_NEW_63,Trooper's Bandana
TID_NECKLACE_NEW_64,Awesome Wrap
TID_NECKLACE_NEW_65,Greater Wrap
TID_NECKLACE_NEW_66,Trooper's Headscarf
TID_NECKLACE_NEW_67,Acute Wrap
TID_NECKLACE_NEW_68,Genuine Wrap
TID_NECKLACE_NEW_69,Special Wrap
TID_NECKLACE_NEW_70,Bodyguard's Bandana
TID_NECKLACE_NEW_71,Singular Wrap
TID_NECKLACE_NEW_72,Exquisite Wrap
TID_NECKLACE_NEW_73,Bodyguard's Headscarf
TID_NECKLACE_NEW_74,Key to Power Plant
TID_NECKLACE_NEW_75,Key to Dr. Bauhoff
TID_NECKLACE_NEW_76,Key to Seven Deadly Sins
TID_NECKLACE_NEW_77,Key to Queen of Diamonds
TID_NECKLACE_NEW_78,Key to Riot Town
TID_NECKLACE_NEW_79,Key to the Slavemaster
TID_NECKLACE_NEW_80,Key to Raider Valley
TID_NECKLACE_NEW_81,Key to Devourer Dragon
TID_NECKLACE_NEW_82,Gastrowire
TID_NECKLACE_NEW_83,Life Cell Necklace
TID_NECKLACE_NEW_84,Technowire
TID_NECKLACE_NEW_85,Gyrocontigation Necklace
TID_NECKLACE_NEW_86,Key to Raider Village
TID_NECKLACE_NEW_87,Labycore Health Bandana
TID_NECKLACE_NEW_88,Labycore Power Scarf
TID_NECKLACE_NEW_89,Labycore Strength Scarf
TID_NECKLACE_NEW_90,Deadguys Melee Scarf
TID_NECKLACE_NEW_91,Deadguys Ranged Lace
TID_NECKLACE_NEW_92,Deadguys Multibandana
TID_NECKLACE_NEW_93,Deadguys Scarf
TID_NECKLACE_NEW_94,Deadguys Necklace
TID_NECKLACE_NEW_95,Deadguys Bandana
