Name,NPCItem,PlaceableInEditor,RequiredLevel,Rarity,Tier,Icon,EquipmentClass,ClothClass,Enhancement,Texture,FemaleTexture,LootDisabled,PostToSocialNetworks
NPC GENERIC Black Pants,true,,1,Common,,2,Pants,,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Popular Dark Pants,,,20,Common,,21,Dark Pants,Large,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Common Dark Pants,,,22,Common,,21,Dark Pants,Large,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Simple Dark Pants,,,25,Common,,21,Dark Pants,Large,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Typical Dark Pants,,,27,Common,,21,Dark Pants,Large,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Usual Dark Pants,,,29,Common,,21,Dark Pants,Large,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Plain Dark Pants,,,30,Common,,21,Dark Pants,Large,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Standard Dark Pants,,,20,Common,,21,Dark Pants,Small,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Universal Dark Pants,,,22,Common,,21,Dark Pants,Small,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Average Dark Pants,,,25,Common,,21,Dark Pants,Small,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Basic Dark Pants,,,27,Common,,21,Dark Pants,Small,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Everyday Dark Pants,,,29,Common,,21,Dark Pants,Small,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Regular Dark Pants,,,30,Common,,21,Dark Pants,Small,,graphics/3d/character/pants/jeans_black_01_m.png,graphics/3d/character/pants/jeans_black_01_f.png,TRUE,
Fine Black Jeans,,,2,Uncommon,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Credible Black Jeans,,,4,Uncommon,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Street Wise Black Jeans,,,8,Uncommon,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Worthy Black Jeans,,,11,Uncommon,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Boosted Black Jeans,,,13,Uncommon,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Acute Black Jeans,,,2,Uncommon,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Genuine Black Jeans,,,4,Uncommon,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Special Black Jeans,,,8,Uncommon,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Elegant Black Jeans,,,11,Uncommon,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
Great Black Jeans,,,13,Uncommon,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,TRUE,TRUE
NPC MALE 13 Diablos Pants 01,true,,1,Common,,21,Pants,,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Awesome Branded Jeans,,,2,Rare,,21,Branded Jeans,Large,of the Judgment,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Greater Branded Jeans,,,4,Rare,,21,Branded Jeans,Large,of the Destroyer,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Singular Branded Jeans,,,7,Rare,,21,Branded Jeans,Large,of the Painmaker,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Exquisite Branded Jeans,,,11,Rare,,21,Branded Jeans,Large,of the Predator,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
High-Power Branded Jeans,,,14,Rare,,21,Branded Jeans,Large,of the Legend,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Jagged Branded Jeans,,,2,Rare,,21,Branded Jeans,Small,of the Ambusher,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Radical Branded Jeans,,,4,Rare,,21,Branded Jeans,Small,of the Crymaker,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
First-Class Branded Jeans,,,7,Rare,,21,Branded Jeans,Small,of 6th Sense,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Outstanding Branded Jeans,,,11,Rare,,21,Branded Jeans,Small,of the Crymaker,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Superfine Branded Jeans,,,14,Rare,,21,Branded Jeans,Small,of 6th Sense,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Credible Branded Jeans,,,10,Uncommon,,21,Branded Jeans,Large,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Street Wise Branded Jeans,,,14,Uncommon,,21,Branded Jeans,Large,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Worthy Branded Jeans,,,17,Uncommon,,21,Branded Jeans,Large,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Boosted Branded Jeans,,,22,Uncommon,,21,Branded Jeans,Large,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Acute Branded Jeans,,,24,Uncommon,,21,Branded Jeans,Large,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Genuine Branded Jeans,,,10,Uncommon,,21,Branded Jeans,Small,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Special Branded Jeans,,,14,Uncommon,,21,Branded Jeans,Small,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Elegant Branded Jeans,,,17,Uncommon,,21,Branded Jeans,Small,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Great Branded Jeans,,,22,Uncommon,,21,Branded Jeans,Small,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Cool Branded Jeans,,,24,Uncommon,,21,Branded Jeans,Small,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,TRUE,TRUE
Street Wise Dark Jeans,,,21,Uncommon,,21,Dark Jeans,Large,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Worthy Dark Jeans,,,23,Uncommon,,21,Dark Jeans,Large,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Boosted Dark Jeans,,,25,Uncommon,,21,Dark Jeans,Large,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Acute Dark Jeans,,,27,Uncommon,,21,Dark Jeans,Large,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Genuine Dark Jeans,,,30,Uncommon,,21,Dark Jeans,Large,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Special Dark Jeans,,,21,Uncommon,,21,Dark Jeans,Small,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
