Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,PlaceableInEditor,Tier,Icon,ShopRecommend,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks,DiamondCostExact
Blue Jeans,Pants,Small,7,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/start_pants_male.png,graphics/3d/character/pants/start_pants_female.png,,,,,,,,,,,
Black Drab Pants,Pants,Small,7,Common,,TRUE,,,,,,graphics/3d/character/pants/suit_trousers_03_m.png,graphics/3d/character/pants/suit_trousers_03_f_replace.png,,,,,,,,,,,
Beast Pants,Pants,Small,6,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/start_pants_male.png,graphics/3d/character/pants/start_pants_female.png,,,,,,,,,,,
Hunting Trousers,Pants,Small,7,Common,,TRUE,,,,,,graphics/3d/character/pants/suit_trousers_03_m.png,graphics/3d/character/pants/suit_trousers_03_f_replace.png,,,,,,,,,,,
Bowhunter's Pants,Pants,Small,10,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_pants_m.png,graphics/3d/character/pants/hunter_pants_f.png,,,,,,,,,,,
Tan Pants,Pants,Small,11,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_orange_02_m.png,graphics/3d/character/pants/pants_orange_02_f.png,,,,,,,,,,,
Safari Pants,Pants,Small,13,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_pants_m.png,graphics/3d/character/pants/hunter_pants_f.png,,,,,,,,,,,
Flak Pants,Pants,Small,16,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_orange_02_m.png,graphics/3d/character/pants/pants_orange_02_f.png,,,,,,,,,,,
Aviator Trousers,Pants,Small,17,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_brown_01_f_replace.png,,,,,,,,,,,
Manhunter's Pants,Pants,Small,19,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_brown_01_f_replace.png,,,,,,,,,,,
All-weather Pants,Pants,Small,20,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_orange_02_m.png,graphics/3d/character/pants/pants_orange_02_f.png,,,,,,,,,,,
