Name,Text
TID_PANTS_0,NPC GENERIC Black Pants
TID_PANTS_1,Popular Dark Pants
TID_PANTS_2,Common Dark Pants
TID_PANTS_3,Simple Dark Pants
TID_PANTS_4,Typical Dark Pants
TID_PANTS_5,Usual Dark Pants
TID_PANTS_6,Plain Dark Pants
TID_PANTS_7,Standard Dark Pants
TID_PANTS_8,Universal Dark Pants
TID_PANTS_9,Average Dark Pants
TID_PANTS_10,Basic Dark Pants
TID_PANTS_11,Everyday Dark Pants
TID_PANTS_12,Regular Dark Pants
TID_PANTS_13,Fine Black Jeans
TID_PANTS_14,Credible Black Jeans
TID_PANTS_15,Street Wise Black Jeans
TID_PANTS_16,Worthy Black Jeans
TID_PANTS_17,Boosted Black Jeans
TID_PANTS_18,Acute Black Jeans
TID_PANTS_19,Genuine Black Jeans
TID_PANTS_20,Special Black Jeans
TID_PANTS_21,Elegant Black Jeans
TID_PANTS_22,Great Black Jeans
TID_PANTS_23,NPC MALE 13 Diablos Pants 01
TID_PANTS_24,Awesome Branded Jeans
TID_PANTS_25,Greater Branded Jeans
TID_PANTS_26,Singular Branded Jeans
TID_PANTS_27,Exquisite Branded Jeans
TID_PANTS_28,High-Power Branded Jeans
TID_PANTS_29,Jagged Branded Jeans
TID_PANTS_30,Radical Branded Jeans
TID_PANTS_31,First-Class Branded Jeans
TID_PANTS_32,Outstanding Branded Jeans
TID_PANTS_33,Superfine Branded Jeans
TID_PANTS_34,Credible Branded Jeans
TID_PANTS_35,Street Wise Branded Jeans
TID_PANTS_36,Worthy Branded Jeans
TID_PANTS_37,Boosted Branded Jeans
TID_PANTS_38,Acute Branded Jeans
TID_PANTS_39,Genuine Branded Jeans
TID_PANTS_40,Special Branded Jeans
TID_PANTS_41,Elegant Branded Jeans
TID_PANTS_42,Great Branded Jeans
TID_PANTS_43,Cool Branded Jeans
TID_PANTS_44,Street Wise Dark Jeans
TID_PANTS_45,Worthy Dark Jeans
TID_PANTS_46,Boosted Dark Jeans
TID_PANTS_47,Acute Dark Jeans
TID_PANTS_48,Genuine Dark Jeans
TID_PANTS_49,Special Dark Jeans
TID_PANTS_50,Elegant Dark Jeans
TID_PANTS_51,Great Dark Jeans
TID_PANTS_52,Cool Dark Jeans
TID_PANTS_53,Good Dark Jeans
TID_PANTS_54,Rural Black Jeans
TID_PANTS_55,Barebones Black Jeans
TID_PANTS_56,Beer-soaked Black Jeans
TID_PANTS_57,Dirty Black Jeans
TID_PANTS_58,Shitty Black Jeans
TID_PANTS_59,Battered Black Jeans
TID_PANTS_60,Cracked Black Jeans
TID_PANTS_61,Shabby Pants
TID_PANTS_62,Inferior Pants
TID_PANTS_63,Rural Pants
TID_PANTS_64,Barebones Pants
TID_PANTS_65,Beer-soaked Pants
TID_PANTS_66,Dirty Pants
