Name,Text
TID_PANTS_NEW_0,Blue Jeans
TID_PANTS_NEW_1,Black Drab Pants
TID_PANTS_NEW_2,Beast Pants
TID_PANTS_NEW_3,Hunting Trousers
TID_PANTS_NEW_4,Bowhunter's Pants
TID_PANTS_NEW_5,Tan Pants
TID_PANTS_NEW_6,Safari Pants
TID_PANTS_NEW_7,Flak Pants
TID_PANTS_NEW_8,Aviator Trousers
TID_PANTS_NEW_9,Manhunter's Pants
TID_PANTS_NEW_10,All-weather Pants
TID_PANTS_NEW_11,Combat Pants
TID_PANTS_NEW_12,Fatigue Pants
TID_PANTS_NEW_13,Midnight Pants
TID_PANTS_NEW_14,Jackal Pants
TID_PANTS_NEW_15,Range Trousers
TID_PANTS_NEW_16,Hyena Pants
TID_PANTS_NEW_17,Wolf Pants
TID_PANTS_NEW_18,Shooting Pants
TID_PANTS_NEW_19,Arabic Pants
TID_PANTS_NEW_20,Outdoor Trousers
TID_PANTS_NEW_21,Hunting Pants
TID_PANTS_NEW_22,Cargo Pants
TID_PANTS_NEW_23,Jungle Pants
TID_PANTS_NEW_24,Deerhunter's Pants
TID_PANTS_NEW_25,Waterfowling Pants
TID_PANTS_NEW_26,Special Purpose Pants
TID_PANTS_NEW_27,Duck Blind Pants
TID_PANTS_NEW_28,Poacher's Pants
TID_PANTS_NEW_29,Turkey Hunt Pants
TID_PANTS_NEW_30,Stealth Pants
TID_PANTS_NEW_31,Utility Pants
TID_PANTS_NEW_32,Tactical Pants
TID_PANTS_NEW_33,Skinner Pants
TID_PANTS_NEW_34,Fowling Trousers
TID_PANTS_NEW_35,Trapper Pants
TID_PANTS_NEW_36,Stalker Pants
TID_PANTS_NEW_37,Killer Pants
TID_PANTS_NEW_38,One Shot Pants
TID_PANTS_NEW_39,Blend Camo Pants
TID_PANTS_NEW_40,Waterproof Pants
TID_PANTS_NEW_41,Camo Trousers
TID_PANTS_NEW_42,Predator Pants
TID_PANTS_NEW_43,Hi-Tech Hunting Pants
TID_PANTS_NEW_44,Dead Quiet Pants
TID_PANTS_NEW_45,Hiking Pants
TID_PANTS_NEW_46,Designer Pants
TID_PANTS_NEW_47,Comfy Slacks
TID_PANTS_NEW_48,Sailing Pants
TID_PANTS_NEW_49,Windbreaker Pants
TID_PANTS_NEW_50,Yachting Trousers
TID_PANTS_NEW_51,Pleated Pants
TID_PANTS_NEW_52,Fancy Trousers
TID_PANTS_NEW_53,Suede Pants
TID_PANTS_NEW_54,Stylish Pants
TID_PANTS_NEW_55,Scrub Pants
TID_PANTS_NEW_56,Doctor's Pants
TID_PANTS_NEW_57,Linen Pants
TID_PANTS_NEW_58,Golf Pants
TID_PANTS_NEW_59,Head Nurse's Pants
TID_PANTS_NEW_60,Bahama Pants
TID_PANTS_NEW_61,Surgeon's Pants
TID_PANTS_NEW_62,Clean Suit Pants
TID_PANTS_NEW_63,Orderly's Pants
TID_PANTS_NEW_64,Nurse's Pants
TID_PANTS_NEW_65,Surgical Scrub Pants
TID_PANTS_NEW_66,Lay Healer's Pants
TID_PANTS_NEW_67,Nurse's Scrub Pants
TID_PANTS_NEW_68,Physician's Bottom
TID_PANTS_NEW_69,Doctor's Scrub Pants
TID_PANTS_NEW_70,Medic Pants
TID_PANTS_NEW_71,Casual Pants
TID_PANTS_NEW_72,Expensive Suitpants
TID_PANTS_NEW_73,Ergonomic Pants
TID_PANTS_NEW_74,Operation Pants
TID_PANTS_NEW_75,Exclusive Pants
TID_PANTS_NEW_76,Healer's Trousers
TID_PANTS_NEW_77,Emergency Ward Pants
TID_PANTS_NEW_78,Marrow Bottom
TID_PANTS_NEW_79,Medical Slacks
TID_PANTS_NEW_80,Suit Pants
TID_PANTS_NEW_81,Schweiz Pants
TID_PANTS_NEW_82,Clinic Pants
TID_PANTS_NEW_83,Administrator Pants
TID_PANTS_NEW_84,Conference Trousers
TID_PANTS_NEW_85,Shrink's Pants
TID_PANTS_NEW_86,Euthanasia Pants
TID_PANTS_NEW_87,Pandemic Pants
TID_PANTS_NEW_88,Scalpel Pants
TID_PANTS_NEW_89,Antimicrobial Pants
TID_PANTS_NEW_90,Casual Jeans
TID_PANTS_NEW_91,Brawny Pants
TID_PANTS_NEW_92,Bouncer's Jeans
TID_PANTS_NEW_93,Team Pants
TID_PANTS_NEW_94,Team Jeans
TID_PANTS_NEW_95,Heavy Metal Pants
TID_PANTS_NEW_96,Protector Pants
TID_PANTS_NEW_97,Protector Jeans
TID_PANTS_NEW_98,Bomber Pants
TID_PANTS_NEW_99,Vigilante Pants
TID_PANTS_NEW_100,Armored Pants
TID_PANTS_NEW_101,Tough Guy Trousers
TID_PANTS_NEW_102,Groin Protector Pants
TID_PANTS_NEW_103,Syndicate Pants
