Name,ParticleCount,MinLife,MaxLife,ParticleMinInterval,ParticleMaxInterval,ParticleMinLife,ParticleMaxLife,ParticleMinAngle,ParticleMaxAngle,ParticleAngleRelativeToParent,ParticleRandomAngle,ParticleInitialRadius,ParticleMinSpeed,ParticleMaxSpeed,ParticleStartZ,ParticleMinVelocityZ,ParticleMaxVelocityZ,ParticleGravity,ParticleMinTailLength,ParticleMaxTailLength,ParticleResource,ParticleExportName,RotateToDirection
Emitter3,5,1,1,0,0,800,1000,0,360,,true,,170,200,0,450,500,-2000,,,graphics/effects/particles/rock_particles.swf,Rock1ParticleSmall,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/particles/rock_particles.swf,Rock2ParticleSmall,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/particles/rock_particles.swf,Rock3ParticleSmall,
SmokeEmitter,8,1,1,0,0,1000,1500,0,360,,false,,20,20,0,,,0,,,graphics/effects/explosion.swf,SmokeSmall,
SewerSteam,7,0,0,250,350,3100,3350,190,280,true,true,,1,2,0,10,30,,0,0,graphics/effects/explosion.swf,SteamSmall,
BloodSpatter1,10,100,200,,50,150,250,0,360,,true,1,70,100,40,,,,1,50,graphics/effects/hit.swf,BloodSpatter1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/hit.swf,BloodSpatter2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/hit.swf,BloodSpatter3,
FireRingEmitter,9,150,200,0,0,300,500,100,360,0,360,,60,70,,10,150,,60,200,graphics/effects/explosion.swf,FireParticle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,FireParticle2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,FireParticle3,
SparkEmitter1,50,100,200,0,0,200,500,0,360,,true,,100,100,,100,200,300,0,0,graphics/effects/explosion.swf,Sparkle,
Smoker2,17,,,500,700,1700,2000,270,20,,true,,,15,45,30,80,,,,graphics/effects/explosion.swf,SmokeSmallSlow,
SmokePuff,8,1,1,0,0,600,1500,0,360,,true,,20,20,40,100,,,,,graphics/effects/explosion.swf,RisingSmoke,
Stunner,9,100,200,0,0,100,400,0,360,,true,,400,500,,80,100,,200,400,graphics/effects/explosion.swf,SparkleBlue,
Steamer,3,0,0,,,1100,1500,,,,,,,,,100,150,,,,graphics/effects/explosion.swf,Steam,
DingFairyDust,10,1800,2000,250,400,700,1000,,360,,true,2,,,,100,200,,,,graphics/effects/level_up.swf,LevelUpStarParticle,
WoodPieces,8,1,1,,,1000,2000,,360,,true,,20,60,,600,100,-3000,,,graphics/effects/particles/wood_particles.swf,crate_particle_1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/particles/wood_particles.swf,crate_particle_2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/particles/wood_particles.swf,crate_particle_3,
PoisonSteamer,5,,,50,200,600,3000,180,270,,true,,1,5,30,5,6,-900,,,graphics/effects/explosion.swf,poisoncloud_small,
PoisonCloud_2,40,1,500,,,700,1400,,360,,true,,10,50,,,,-3000,,,graphics/effects/explosion.swf,poisoncloud_big,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,poisoncloud_small,
ExplosionUp,9,250,450,100,200,700,1000,230,260,,,2,10,35,30,70,85,,,,graphics/effects/explosion.swf,ExplosionFire1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,ExplosionFire2,
ExplosionSmoke,20,500,600,50,100,1700,2000,,360,,true,1,,,30,100,150,,,,graphics/effects/explosion.swf,FireSmoke,
Healing,20,1500,2000,100,200,700,1000,,360,,true,2,,,10,100,200,,,,graphics/effects/hit_effects.swf,Heal_plus,
SmokeTrail,30,,,100,150,500,700,,,true,,,,,,,,,,,graphics/effects/explosion.swf,SmokeTinySlow,
MushroomHat,10,1,1,,,1000,1300,,360,,true,,80,100,150,,,,10,50,graphics/effects/explosion.swf,FireParticle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,RisingSmoke,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,FireParticle2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,FireParticle3,
SupporterEffect,3,1500,1500,300,300,1500,1500,,,,,,1,2,,50,50,,,,graphics/effects/particles/star_particles.swf,Star1Particle,
FireStorm,7,1300,1500,50,140,1200,1500,,,,,,,,,50,120,,,,graphics/effects/explosion.swf,Fire2_particle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_particle3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_particle4,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_particle5,
FireBall,6,,,,100,700,1000,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_rotator1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_rotator2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_rotator3,
HitEffectParticles,20,100,100,,10,150,200,1,360,,true,2,300,350,,60,100,,100,150,graphics/effects/explosion.swf,Sparkle,
HitEffectParticles2,15,200,200,,10,200,250,,360,,true,4,300,400,,200,300,,200,350,graphics/effects/explosion.swf,Sparkle,
toxic_emitter,20,400,400,10,15,400,500,,360,,,,200,300,40,150,200,-1500,,,graphics/effects/explosion.swf,SparkleGreen,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,SparkleGreenSmall,
toxic_burst,20,300,300,,,300,400,,360,,true,,200,220,,,,,10,200,graphics/effects/explosion.swf,SparkleGreen,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,SparkleGreenSmall,
SlowSparkles,10,,,100,120,1000,2000,,360,,true,2,,,35,50,80,,,,graphics/effects/explosion.swf,Sparkle,
RisingRings,5,800,1000,400,,1000,1000,,,,,,,,,80,100,,,,graphics/effects/explosion.swf,GlowCircleRise,
RisingFluff,20,1500,2000,150,300,1200,1500,,360,,true,1,,,20,60,100,,10,100,graphics/effects/explosion.swf,SpikeyGlowParticle,
StunClouds,5,800,1000,400,600,1500,1600,,,,true,,,,40,10,40,,,,graphics/effects/explosion.swf,StunCloud1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,StunCloud2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,StunCloud3,
BlueSparkEmitter,10,150,150,,10,200,350,,360,,true,,150,250,,200,200,,100,300,graphics/effects/explosion.swf,SparkleBlue,
RedSlashEmitter,10,150,200,10,20,200,300,,360,,true,1,300,300,,100,150,,150,200,graphics/effects/explosion.swf,SpikeyGlowParticleRed,
ScatterEmitter,5,200,350,,20,200,300,,,true,,,100,150,50,,,,,,graphics/effects/explosion.swf,Fire2_particle2,true
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_particle1,
LightningBurst,5,250,400,100,150,450,600,,,true,,3,,,60,,,,,,graphics/effects/explosion.swf,Lightning,true
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Lightning2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Lightning4,
LightningGlow,8,500,500,20,50,200,450,,,true,,1,200,200,35,,,,,,graphics/effects/explosion.swf,ElectricGlow,true
