Name,Tags,Resource,ExportName,Layer,Effect,BlendMode
StoneChips,,graphics/ground_decos/east_dock_ground_decos.swf,StoneChips,,,
PierEdge,pier edge harbor,graphics/decos/curbs/curbs1.swf,PierEdge,Layout,,
Crack1,RETOUCH,graphics/ground_decos/east_dock_ground_decos.swf,Crack1,Ground,,
Crack2,RETOUCH,graphics/ground_decos/east_dock_ground_decos.swf,Crack2,Ground,,
Crack3,RETOUCH,graphics/ground_decos/east_dock_ground_decos.swf,Crack3,Ground,,
LightReflectionGround,,graphics/ground_decos/east_dock_ground_decos.swf,LightReflection,Ground,,overlay
LightReflectionObject,,graphics/ground_decos/east_dock_ground_decos.swf,LightReflection,AboveObject,,overlay
fallen_leafs_texture1,ground leafs nature,graphics/ground_decos/nature_ground1.swf,fallen_leafs_texture1,Ground,,
grass_texture_big1,ground grass nature,graphics/ground_decos/nature_ground1.swf,grass_texture_big1,Ground,,
grass_texture_big2,ground grass nature,graphics/ground_decos/nature_ground1.swf,grass_texture_big2,Ground,,
grass_texture1,ground grass nature,graphics/ground_decos/nature_ground1.swf,grass_texture1,Ground,,
grass_texture2,ground grass nature,graphics/ground_decos/nature_ground1.swf,grass_texture2,Ground,,
grass_texture3,ground grass nature,graphics/ground_decos/nature_ground1.swf,grass_texture3,Ground,,
light_floor_direct_round1,light floor,graphics/ground_decos/lights_and_shadows.swf,light_floor_direct_round1,Ground,,overlay
light_floor_displaced1,light floor,graphics/ground_decos/lights_and_shadows.swf,light_floor_displaced1,Ground,,overlay
light_floor_faded_square,light floor,graphics/ground_decos/lights_and_shadows.swf,light_floor_faded_square,Ground,,overlay
light_floor_round1,light floor,graphics/ground_decos/lights_and_shadows.swf,light_floor_round1,Ground,,overlay
light_floor_round2,light floor,graphics/ground_decos/lights_and_shadows.swf,light_floor_round2,Ground,,overlay
light_floor_sharp_square,light floor,graphics/ground_decos/lights_and_shadows.swf,light_floor_sharp_square,Ground,,overlay
light_floor_window_squares,light floor,graphics/ground_decos/lights_and_shadows.swf,light_floor_window_squares,Ground,,overlay
light_round1,light,graphics/ground_decos/lights_and_shadows.swf,light_round1,AboveObject,,overlay
light_window_beams1,light window,graphics/ground_decos/lights_and_shadows.swf,light_window_beams1,AboveObject,,overlay
shadow_corner,shadow wall,graphics/ground_decos/lights_and_shadows.swf,shadow_corner,Object,,multiply
shadow_floor_directional_long,shadow floor,graphics/ground_decos/lights_and_shadows.swf,shadow_floor_directional_long,Ground,,multiply
shadow_floor_directional_long_se,shadow floor,graphics/ground_decos/lights_and_shadows.swf,shadow_floor_directional_long_se,Ground,,multiply
shadow_floor_directional_wide,shadow floor,graphics/ground_decos/lights_and_shadows.swf,shadow_floor_directional_wide,Ground,,multiply
shadow_floor_directional_wide_se,shadow floor,graphics/ground_decos/lights_and_shadows.swf,shadow_floor_directional_wide_se,Ground,,multiply
shadow_floor_square,shadow floor,graphics/ground_decos/lights_and_shadows.swf,shadow_floor_square,Ground,,multiply
shadow_hard_round_floor,shadow floor,graphics/ground_decos/lights_and_shadows.swf,shadow_hard_round_floor,Ground,,multiply
shadow_mild_round_floor,shadow floor,graphics/ground_decos/lights_and_shadows.swf,shadow_mild_round_floor,Ground,,multiply
shadow_rounded_square,shadow floor,graphics/ground_decos/lights_and_shadows.swf,shadow_rounded_square,Ground,,multiply
shadow_wall_big,shadow wall,graphics/ground_decos/lights_and_shadows.swf,shadow_wall_big,Object,,multiply
tile_transition_grass1_down,,graphics/ground_decos/tile_transitions.swf,tile_transition_grass1_down,Ground,,
tile_transition_grass1_up,,graphics/ground_decos/tile_transitions.swf,tile_transition_grass1_up,Ground,,
sand_patch1,,graphics/ground_decos/ground_patches.swf,sand_patch1,Ground,,multiply
sand_patch2,,graphics/ground_decos/ground_patches.swf,sand_patch2,Ground,,multiply
sand_patch3,,graphics/ground_decos/ground_patches.swf,sand_patch3,Ground,,multiply
water_puddle1,,graphics/ground_decos/ground_patches.swf,water_puddle1,Ground,,overlay
stone_chips,,graphics/ground_decos/ground_patches.swf,stone_chips,Ground,,
stone_chips2,,graphics/ground_decos/ground_patches.swf,stone_chips2,Ground,,
cracked1,,graphics/ground_decos/ground_patches.swf,cracked1,,,
stone_chips_big,,graphics/ground_decos/ground_patches.swf,stone_chips2,Ground,,
stone_chips_big2,,graphics/ground_decos/ground_patches.swf,stone_chips2,Ground,,
leaf_patch1,,graphics/ground_decos/ground_patches.swf,leaf_patch1,Ground,,
leaf_patch2,,graphics/ground_decos/ground_patches.swf,leaf_patch2,Ground,,
pavement_stones1,UPDATE,graphics/ground_decos/ground_patches.swf,pavement_stones1,Ground,,
pavement_stones2,UPDATE,graphics/ground_decos/ground_patches.swf,pavement_stones2,Ground,,
pavement_stones3,UPDATE,graphics/ground_decos/ground_patches.swf,pavement_stones3,Ground,,
small_stones,,graphics/ground_decos/ground_patches.swf,small_stones,Ground,,
stone_chips3,,graphics/ground_decos/ground_patches.swf,stone_chips3,Ground,,
asphalt_cracks1,,graphics/ground_decos/ground_patches.swf,asphalt_cracks1,Layout,,overlay
asphalt_cracks2,,graphics/ground_decos/ground_patches.swf,asphalt_cracks2,Layout,,overlay
asphalt_cracks3,UPDATE,graphics/ground_decos/ground_patches.swf,asphalt_cracks3,Layout,,
asphalt_cracks4,UPDATE,graphics/ground_decos/ground_patches.swf,asphalt_cracks4,Layout,,
asphalt_cracks5,,graphics/ground_decos/ground_patches.swf,asphalt_cracks5,Layout,,overlay
asphalt_cracks6,UPDATE,graphics/ground_decos/ground_patches.swf,asphalt_cracks6,Layout,,overlay
asphalt_cracks7,,graphics/ground_decos/ground_patches.swf,asphalt_cracks7,Layout,,overlay
asphalt_cracks8,,graphics/ground_decos/ground_patches.swf,asphalt_cracks8,Layout,,overlay
asphalt_cracks9,,graphics/ground_decos/ground_patches.swf,asphalt_cracks9,Layout,,overlay
asphalt_cracks10,,graphics/ground_decos/ground_patches.swf,asphalt_cracks10,Layout,,overlay
