Name,Text
TID_PASSIVE_SKILL_ACTIVE_0,Improved Taunt
TID_PASSIVE_SKILL_ACTIVE_1,Bullet Threat
TID_PASSIVE_SKILL_ACTIVE_2,Striking Ace
TID_PASSIVE_SKILL_ACTIVE_3,Threatening Act
TID_PASSIVE_SKILL_ACTIVE_4,Power Blast
TID_PASSIVE_SKILL_ACTIVE_5,Poison Knowledge
TID_PASSIVE_SKILL_ACTIVE_6,Quick Mixing
TID_PASSIVE_SKILL_ACTIVE_7,Skilled Avenger
TID_PASSIVE_SKILL_ACTIVE_8,Improved Aimed Shot
TID_PASSIVE_SKILL_ACTIVE_9,Medicine Knowledge
TID_PASSIVE_SKILL_ACTIVE_10,Sandman
TID_PASSIVE_SKILL_ACTIVE_11,EMP Mastery
TID_PASSIVE_ACTIVE_TOOL_TIP_IMPROVEDTAUNT,<SKILL1> will be battle ready <COOLDOWN> earlier than before. Also energy cost is reduced by <ENERGY_COST> while threat is increased by <THREAT>.
TID_PASSIVE_ACTIVE_TOOL_TIP_BULLETTHREAT,<SKILL1> damage is increased by <DAMAGE> along with <THREAT> increased threat.
TID_PASSIVE_ACTIVE_TOOL_TIP_STRIKINGACE,<SKILL1> has <CRITICAL_CHANCE> better chance to hit the target and it will be battle ready <COOLDOWN> earlier than before.
TID_PASSIVE_ACTIVE_TOOL_TIP_THREATENINGACT,Increases the threat with <THREAT> generated by <SKILL1>.
TID_PASSIVE_ACTIVE_TOOL_TIP_POWERBLAST,<SKILL1> damage is increased by <DAMAGE> and threat by <THREAT>.
TID_PASSIVE_ACTIVE_TOOL_TIP_POISONKNOWLEDGE,Learn more about poisons to increase your <SKILL1> and <SKILL2> damage by <DAMAGE>.
TID_PASSIVE_ACTIVE_TOOL_TIP_QUICKMIXING,Learn the art of mixing poisons and antidotes to reduce the cooldown of your <SKILL1> and <SKILL2> by <COOLDOWN>.
TID_PASSIVE_ACTIVE_TOOL_TIP_SKILLEDAVENGER,Your <SKILL1> energy cost will decrease by <ENERGY_COST>. Increases threat the skill generates by <THREAT>.
TID_PASSIVE_ACTIVE_TOOL_TIP_IMPROVEDAIMED,Improves your <SKILL1> critical chance to hit by <CRITICAL_CHANCE>. Gives a minor increase in threat generated by the skill.
TID_PASSIVE_ACTIVE_TOOL_TIP_MEDICINEKNOWLEDGE,Reduces the cooldown time of <SKILL1> by <COOLDOWN>.
TID_PASSIVE_ACTIVE_TOOL_TIP_SANDMAN,Decreases the cooldown of your <SKILL1> by <COOLDOWN>.
TID_PASSIVE_ACTIVE_TOOL_TIP_EMPMASTERY,Increases damage of your <SKILL1> by <DAMAGE>. In addition grants <CRITICAL_CHANCE> critical chance and <COOLDOWN> shorter cooldown to the skill while increasing the threat it generates by <THREAT>.
TID_PASSIVE_ACTIVE_TOOL_TIP_POISONMASTERY,Increases damage of your <SKILL1> by <DAMAGE>. In addition grants <CRITICAL_CHANCE> critical chance and <COOLDOWN> shorter cooldown to the skill while increasing the threat it generates by <THREAT>.
TID_PASSIVE_SKILL_ACTIVE_12,Poison Mastery
