Name,Text
TID_PASSIVE_SKILL_WEAPON_0,Melee Weapon Mastery
TID_PASSIVE_SKILL_WEAPON_1,Axe Mastery
TID_PASSIVE_SKILL_WEAPON_2,Axe Superiority
TID_PASSIVE_SKILL_WEAPON_3,Tool Mastery
TID_PASSIVE_SKILL_WEAPON_4,Tool Superiority
TID_PASSIVE_SKILL_WEAPON_5,Bashing Item Mastery
TID_PASSIVE_SKILL_WEAPON_6,Bashing Item Superiority
TID_PASSIVE_SKILL_WEAPON_7,Knife Mastery
TID_PASSIVE_SKILL_WEAPON_8,Knife Superiority
TID_PASSIVE_SKILL_WEAPON_9,Sword Mastery
TID_PASSIVE_SKILL_WEAPON_10,Sword Superiority
TID_PASSIVE_SKILL_WEAPON_11,Saw Mastery
TID_PASSIVE_SKILL_WEAPON_12,Saw Superiority
TID_PASSIVE_SKILL_WEAPON_13,Hand gun Mastery
TID_PASSIVE_SKILL_WEAPON_14,Hand gun Superiority
TID_PASSIVE_SKILL_WEAPON_15,Shotgun Mastery
TID_PASSIVE_SKILL_WEAPON_16,Shotgun Superiority
TID_PASSIVE_SKILL_WEAPON_17,SMG Mastery
TID_PASSIVE_SKILL_WEAPON_18,SMG Superiority
TID_PASSIVE_SKILL_WEAPON_19,Rifle Mastery
TID_PASSIVE_SKILL_WEAPON_20,Rifle Superiority
TID_PASSIVE_SKILL_WEAPON_21,Minigun Mastery
TID_PASSIVE_SKILL_WEAPON_22,Minigun Superiority
TID_PASSIVE_SKILL_WEAPON_23,Sniper Rifle Mastery
TID_PASSIVE_SKILL_WEAPON_24,Sniper Rifle Superiority
TID_PASSIVE_SKILL_TOOL_TIP_mastery,Increases the damage done with <WEAPON_CLASS> type weapons by <DAMAGE>.
TID_PASSIVE_SKILL_TOOL_TIP_superiority,Increases the critical hit chance of <WEAPON_CLASS> type weapons by <CRITICAL_CHANCE>.
TID_PASSIVE_SKILL_WEAPON_25,Ranged Weapon Mastery
