Name,Level,PrestigePoints
Corporal,1,5000
,2,7000
,3,9000
,4,11000
,5,13000
,6,15000
,7,17000
,8,19000
,9,21000
,10,23000
,11,25000
,12,27000
,13,29000
,14,31000
,15,33000
,16,35000
,17,37000
,18,39000
,19,41000
,20,43000
,21,45000
,22,47000
,23,49000
,24,51000
,25,53000
,26,55000
,27,57000
,28,59000
,29,61000
,30,63000
Sergeant,1,10000
,2,12000
,3,14000
,4,16000
,5,18000
,6,20000
,7,22000
,8,24000
,9,26000
,10,28000
,11,30000
,12,32000
,13,34000
,14,36000
,15,38000
,16,40000
,17,42000
,18,44000
,19,46000
,20,48000
,21,50000
,22,52000
,23,54000
,24,56000
,25,58000
,26,60000
,27,62000
,28,64000
,29,66000
,30,68000
Master Sergeant,1,20000
,2,22000
,3,24000
,4,26000
,5,28000
,6,30000
,7,32000
,8,34000
,9,36000
,10,38000
,11,40000
,12,42000
,13,44000
,14,46000
,15,48000
,16,50000
,17,52000
,18,54000
,19,56000
,20,58000
,21,60000
,22,62000
,23,64000
,24,66000
,25,68000
,26,70000
,27,72000
,28,74000
,29,76000
,30,78000
Second Lieutenant,1,30000
,2,32000
,3,34000
,4,36000
,5,38000
,6,40000
,7,42000
,8,44000
,9,46000
,10,48000
,11,50000
,12,52000
,13,54000
,14,56000
,15,58000
,16,60000
,17,62000
,18,64000
,19,66000
,20,68000
,21,70000
,22,72000
,23,74000
,24,76000
,25,78000
,26,80000
,27,82000
,28,84000
,29,86000
,30,88000
Lieutenant,1,40000
,2,42000
,3,44000
,4,46000
,5,48000
,6,50000
,7,52000
,8,54000
,9,56000
,10,58000
,11,60000
,12,62000
,13,64000
,14,66000
,15,68000
,16,70000
,17,72000
,18,74000
,19,76000
,20,78000
,21,80000
,22,82000
,23,84000
,24,86000
,25,88000
,26,90000
,27,92000
,28,94000
,29,96000
,30,98000
Captain,1,50000
,2,52000
,3,54000
,4,56000
,5,58000
,6,60000
,7,62000
,8,64000
,9,66000
,10,68000
,11,70000
,12,72000
,13,74000
,14,76000
,15,78000
,16,80000
,17,82000
,18,84000
,19,86000
,20,88000
,21,90000
,22,92000
,23,94000
,24,96000
,25,98000
,26,100000
,27,102000
,28,104000
,29,106000
,30,108000
Major,1,60000
,2,62000
,3,64000
,4,66000
,5,68000
,6,70000
,7,72000
,8,74000
,9,76000
,10,78000
,11,80000
,12,82000
,13,84000
,14,86000
,15,88000
,16,90000
,17,92000
,18,94000
,19,96000
,20,98000
,21,100000
,22,102000
,23,104000
,24,106000
,25,108000
,26,110000
,27,112000
,28,114000
,29,116000
,30,118000
Colonel,1,70000
,2,72000
,3,74000
,4,76000
,5,78000
,6,80000
,7,82000
,8,84000
,9,86000
,10,88000
,11,90000
,12,92000
,13,94000
,14,96000
,15,98000
,16,100000
,17,102000
,18,104000
,19,106000
,20,108000
,21,110000
,22,112000
,23,114000
,24,116000
,25,118000
,26,120000
,27,122000
,28,124000
,29,126000
,30,128000
Brigadier General,1,80000
,2,90000
,3,100000
,4,110000
,5,120000
,6,130000
,7,140000
,8,150000
,9,160000
,10,170000
,11,180000
,12,190000
,13,200000
,14,210000
,15,220000
,16,230000
,17,240000
,18,250000
,19,260000
,20,270000
,21,280000
,22,290000
,23,300000
,24,310000
,25,320000
,26,330000
,27,340000
,28,350000
,29,360000
,30,370000
General,1,100000000
