Name,NPCItem,PropClass,Texture,Skin,HairStyleName,Model,Mesh,ModelTexture,Gender
Skin1,,Skin,graphics/3d/character/dude1_skin.png,,,,,,male
Skin2,,Skin,graphics/3d/character/dude1_skin2.png,,,,,,male
Skin3,,Skin,graphics/3d/character/dude1_skin3.png,,,,,,male
Skin4,,Skin,graphics/3d/character/dude1_skin4.png,,,,,,male
Skin5,,Skin,graphics/3d/character/dude1_skin5.png,,,,,,male
Skin6,,Skin,graphics/3d/character/dude1_skin6.png,,,,,,male
female_skin1,,Skin,graphics/3d/character/female_skins/female_skin1.png,,,,,,female
female_skin2,,Skin,graphics/3d/character/female_skins/female_skin2.png,,,,,,female
female_skin3,,Skin,graphics/3d/character/female_skins/female_skin3.png,,,,,,female
Male_Face1,,Face,graphics/3d/character/faces/male_skin1_face1.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face1.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face1.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face1.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face1.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face1.png,Skin6,,,,,
Male_Face2,,Face,graphics/3d/character/faces/male_skin1_face2.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face2.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face2.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face2.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face2.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face2.png,Skin6,,,,,
Male_Face3,,Face,graphics/3d/character/faces/male_skin1_face3.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face3.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face3.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face3.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face3.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face3.png,Skin6,,,,,
Male_Face4,,Face,graphics/3d/character/faces/male_skin1_face4.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face4.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face4.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face4.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face4.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face4.png,Skin6,,,,,
Male_Face5,,Face,graphics/3d/character/faces/male_skin1_face5.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face5.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face5.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face5.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face5.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face5.png,Skin6,,,,,
Male_Face6,,Face,graphics/3d/character/faces/male_skin1_face6.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face6.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face6.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face6.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face6.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face6.png,Skin6,,,,,
Male_Face7,,Face,graphics/3d/character/faces/male_skin1_face7.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face7.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face7.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face7.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face7.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face7.png,Skin6,,,,,
Male_Face8,,Face,graphics/3d/character/faces/male_skin1_face8.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face8.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face8.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face8.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face8.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face8.png,Skin6,,,,,
Male_Face9,,Face,graphics/3d/character/faces/male_skin1_face9.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face9.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face9.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face9.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face9.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face9.png,Skin6,,,,,
Male_Face10,,Face,graphics/3d/character/faces/male_skin1_face10.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face10.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face10.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face10.png,Skin4,,,,,
