Name,ArmorClassBonus,WeaponClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Tier,Enhancement,DropOnlyTo,Model,Mesh,ModelTexture,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,Icon,PostToSocialNetworks,DiamondCostExact,PlaceableInEditor
Police Special,Unarmored,.32 Pistol,4,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,.32 cal,graphics/3d/weapons/textures/032cal_diffuse.png,,,,,,,,,,,,,,,,
45 Auto,Armored,.40 Pistol,7,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,Browning high power,graphics/3d/weapons/textures/browning_hp.png,,,,,,,,,,,,,,,,
Smirnov-47,Unarmored,Assault Rifle,9,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,mg_assaultRifle,graphics/3d/weapons/textures/assault_rifle.png,,,,,,,,,,,,,,,,
Hunting Rifle,Mechanical,Sniper Rifle,11,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,Sniper_01,graphics/3d/weapons/textures/sniper_01.png,,,,,,,,,,,,,,,,
Machine Pistol,Armored,SMG,14,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,mg_smg,graphics/3d/weapons/textures/smg.png,,,,,,,,,,,,,,,,
Gatling,Mechanical,50 cal Minigun,15,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,mg_battleRifle,graphics/3d/weapons/textures/battle_rifle.png,,,,,,,,,,,,,,,,
Modded Shotgun,Unarmored,12ga Shotgun,18,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,shotgun_singleBarreled,graphics/3d/weapons/textures/single_barreled.png,,,,,,,,,,,,,,,,
.50 Caliber Rifle,Armored,Battle Rifle,19,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,mg_assaultRifle,graphics/3d/weapons/textures/assault_rifle.png,,,,,,,,,,,,,,,,
Modified SMG,Mechanical,Heavy Weapons,21,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,mg_smg,graphics/3d/weapons/textures/smg_new.png,,,,,,,,,,,,,,,,
Hunter's Shotgun,Unarmored,SMG Unarmored,22,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,shotgun_singleBarreled,graphics/3d/weapons/textures/single_barreled.png,,,,,,,,,,,,,,,,
Elephant Gun,Unarmored,Pump Shotgun,23,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,shotgun_doubleBarreled,graphics/3d/weapons/textures/double_barreled.png,,,,,,,,,,,,,,,,
Stakeout Shotgun,Unarmored,20ga Shotgun,25,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,shotgun_10gauge,graphics/3d/weapons/textures/10gauge.png,,,,,,,,,,,,,,,,
Heavy Rifle,Armored,Battle Rifle,26,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,mg_battleRifle,graphics/3d/weapons/textures/battle_rifle.png,,,,,,,,,,,,,,,,
Lurker's Sniper,Mechanical,Sniper Rifle,27,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,Sniper_04,graphics/3d/weapons/textures/sniper_04.png,,,,,,,,,,,,,,,,
Standard .40,Unarmored,.40 Pistol,4,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,.40cal,graphics/3d/weapons/textures/040cal_diffuse.png,,,,,,,,,,,,,,,,
Rusty Carbine,Armored,Battle Rifle,6,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons.SUP,mg_battleRifle,graphics/3d/weapons/textures/battle_rifle.png,,,,,,,,,,,,,,,,
Sawyer,Unarmored,.40 Pistol,7,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,.40cal,graphics/3d/weapons/textures/040cal_diffuse_new.png,,1,,,,,,,,,,,,,,
Auto Carbine,Unarmored,Autoloading Shotgun,9,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,shotgun_sawnoff,graphics/3d/weapons/textures/sawnoff.png,,,,,,,,,,,,,,,,
Home-made Minigun,Mechanical,Minigun,12,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun.png,,1,,,,,,,,,,,,,,
7.62mm Rifle,Armored,7.62mm Recoil-based,15,Uncommon,,TRUE,,of Determination,,graphics/3d/weapons/weapons.SUP,Sniper_04,graphics/3d/weapons/textures/sniper_04.png,,,,,,,,,,,,,,,,
Rhino Stopper,Unarmored,.40 Pistol,17,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,magnum,graphics/3d/weapons/textures/044cal_diffuse.png,,,,,,,,,,,,,,,,
North Wind,Armored,7.62mm Recoil-based,19,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons.SUP,Sniper_04,graphics/3d/weapons/textures/sniper_04.png,,,,,,,,,,,,,,,,
Dum-Dum Special,Unarmored,.40 Pistol,19,Uncommon,,TRUE,,of Determination,,graphics/3d/weapons/weapons_rare.SUP,magnum_rare,graphics/3d/weapons/textures/magnum_rare_01.png,,1,,,,,,,,,,,,,,
Sawn-off Shotgun,Unarmored,12ga Sawed-off,20,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,shotgun_sawnoff,graphics/3d/weapons/textures/shotgun_sawnoff_rare_01.png,,,,,,,,,,,,,,,,
Nasty SMG,Unarmored,SMG Unarmored,21,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons.SUP,mg_smg,graphics/3d/weapons/textures/smg.png,,,,,,,,,,,,,,,,
Sharpshooter,Armored,7.62mm Recoil-based,25,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons.SUP,Sniper_04,graphics/3d/weapons/textures/sniper_04.png,,1,,,,,,,,,,,,,,
Splattershot,Unarmored,12ga Sawed-off,24,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,shotgun_sawnoff,graphics/3d/weapons/textures/shotgun_sawnoff_rare_02.png,,,,,,,,,,,,,,,,
Smythe & Weston,Unarmored,.40 Pistol,22,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons_rare.SUP,magnum_rare,graphics/3d/weapons/textures/magnum_rare_02.png,,,,,,,,,,,,,,,,
Bullet Shover,Armored,SMG,25,Uncommon,,TRUE,,of Determination,,graphics/3d/weapons/weapons.SUP,mg_smg,graphics/3d/weapons/textures/smg_new.png,,2,,,,,,,,,,,,,,
Hello Bullet,Mechanical,Minigun,27,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun_new.png,,,,,,,,,,,,,,,,
Experimental Rifle,Armored,7.62mm Recoil-based,28,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons.SUP,Sniper_01,graphics/3d/weapons/textures/sniper_01.png,,1,,,,,,,,,,,,,,
Chaingun,Mechanical,Gatling,30,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,mg_minigun03,graphics/3d/weapons/textures/minigun3.png,,1,,,,,,,,,,,,,,
Disruptor,Armored,SonicGun_pc,30,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons.SUP,sonic_gun,graphics/3d/weapons/textures/sonic_gun_texture.png,,1,,,,,,,,,,,,,,
Anti-Tank Rifle,Mechanical,Battle Rifle,30,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_01.png,,1,,,,,,,,,,,,,,
Spitfire,Unarmored,Gatling,30,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons.SUP,mg_minigun02,graphics/3d/weapons/textures/minigun2_02.png,,2,,,,,,,,,,,,,,
Nerve Wrecker,Armored,SonicGun_pc,30,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons.SUP,sonic_gun,graphics/3d/weapons/textures/sonic_gun_02.png,,3,,,,,,,,,,,,,,
Orbit Hunter,Mechanical,Battle Rifle,30,Uncommon,,TRUE,,of Determination,,graphics/3d/weapons/weapons2.SUP,Homemade_shotgun_01,graphics/3d/weapons/textures/homemade_shotgun_01.png,,2,,,,,,,,,,,,,,
Wasteland Pistol,Unarmored,Wasteland Pistol,3,Rare,,TRUE,,of the Hunter,,graphics/3d/weapons/weapons.SUP,eagle,graphics/3d/weapons/textures/eagle.png,,1,,,,,,,,,,,,,,
GKS Special,Unarmored,.40 Pistol,5,Rare,,TRUE,,of Brightness,,graphics/3d/weapons/weapons.SUP,auto_pistol,graphics/3d/weapons/textures/auto_pistol.png,TRUE,3,,,,,,,,,,,,,,
Falcon,Unarmored,Wasteland Pistol,7,Rare,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons.SUP,eagle,graphics/3d/weapons/textures/eagle_02.png,TRUE,1,,,,,,,,,,,,,,
Black Market Pistol,Unarmored,Wasteland Pistol,9,Rare,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons_rare.SUP,browning_high_power_rare,graphics/3d/weapons/textures/browning_high_power_rare_01.png,TRUE,1,,,,,,,,,,,,,,
Legendary Six-shooter,Unarmored,Six-shooter,11,Rare,,TRUE,,of Brightness,,graphics/3d/weapons/weapons_rare.SUP,magnum_rare,graphics/3d/weapons/textures/magnum_rare_01.png,TRUE,2,,,,,,,,,,,,,,
Snappy,Unarmored,20ga Shotgun,13,Rare,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons_rare.SUP,shotgun_singlebarreled_rare,graphics/3d/weapons/textures/shotgun_singlebarreled_rare_01.png,TRUE,3,,,,,,,,,,,,,,
Street Sweeper,Armored,Minigun,15,Rare,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons.SUP,mg_minigun03,graphics/3d/weapons/textures/minigun3.png,TRUE,3,,,,,,,,,,,,,,
Forty Four Special,Unarmored,Six-shooter,17,Rare,,TRUE,,of Brightness,,graphics/3d/weapons/weapons_rare.SUP,magnum_rare,graphics/3d/weapons/textures/magnum_rare_03.png,TRUE,4,,,,,,,,,,,,,,
Marksman MK1,Mechanical,Bot Sniper,19,Rare,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper.png,TRUE,3,,,,,,,,,,,,,,
Polygon SMG,Armored,SMG,21,Rare,,TRUE,,of the Hunter,,graphics/3d/weapons/weapons_rare.SUP,smg_rare,graphics/3d/weapons/textures/smg_rare_01.png,TRUE,5,,,,,,,,,,,,,,
Drum Rock 'n Roll,Unarmored,Gatling,23,Rare,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons.SUP,mg_minigun03,graphics/3d/weapons/textures/minigun3_02.png,TRUE,3,,,,,,,,,,,,,,
Maglev Rifle,Mechanical,Bot Sniper,25,Rare,,TRUE,,of Brightness,,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper_02.png,TRUE,6,,,,,,,,,,,,,,
Flock of Sparrows,Armored,SMG,27,Rare,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons_rare.SUP,smg_rare,graphics/3d/weapons/textures/smg_rare_02.png,TRUE,4,,,,,,,,,,,,,,
Whisperwind,Unarmored,Gatling,29,Rare,,TRUE,,of Brightness,,graphics/3d/weapons/weapons.SUP,mg_minigun03,graphics/3d/weapons/textures/minigun3_02.png,TRUE,6,,,,,,,,,,,,,,
Bada-boom!,Unarmored,12ga Double Barrel,30,Rare,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons.SUP,ops_shotgun,graphics/3d/weapons/textures/ops_shotgun.png,,6,,,,,,,,,,,,,,
Thumper,Mechanical,Assault Rifle,30,Rare,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_01.png,,6,,,,,,,,,,,,,,
Ghetto Blaster,Armored,SonicGun_pc,30,Rare,,TRUE,,of the Hunter,,graphics/3d/weapons/weapons.SUP,sonic_gun,graphics/3d/weapons/textures/sonic_gun_02.png,,8,,,,,,,,,,,,,,
