Name,Text
TID_RANGED_NEW_0,Police Special
TID_RANGED_NEW_1,45 Auto
TID_RANGED_NEW_2,Smirnov-47
TID_RANGED_NEW_3,Hunting Rifle
TID_RANGED_NEW_4,Machine Pistol
TID_RANGED_NEW_5,Gatling
TID_RANGED_NEW_6,Modded Shotgun
TID_RANGED_NEW_7,.50 Caliber Rifle
TID_RANGED_NEW_8,Modified SMG
TID_RANGED_NEW_9,Hunter's Shotgun
TID_RANGED_NEW_10,Elephant Gun
TID_RANGED_NEW_11,Stakeout Shotgun
TID_RANGED_NEW_12,Heavy Rifle
TID_RANGED_NEW_13,Lurker's Sniper
TID_RANGED_NEW_14,Standard .40
TID_RANGED_NEW_15,Rusty Carbine
TID_RANGED_NEW_16,Sawyer
TID_RANGED_NEW_17,Auto Carbine
TID_RANGED_NEW_18,Home-made Minigun
TID_RANGED_NEW_19,7.62mm Rifle
TID_RANGED_NEW_20,Rhino Stopper
TID_RANGED_NEW_21,North Wind
TID_RANGED_NEW_22,Dum-Dum Special
TID_RANGED_NEW_23,Sawn-off Shotgun
TID_RANGED_NEW_24,Nasty SMG
TID_RANGED_NEW_25,Sharpshooter
TID_RANGED_NEW_26,Splattershot
TID_RANGED_NEW_27,Smythe & Weston
TID_RANGED_NEW_28,Bullet Shover
TID_RANGED_NEW_29,Hello Bullet
TID_RANGED_NEW_30,Experimental Rifle
TID_RANGED_NEW_31,Chaingun
TID_RANGED_NEW_32,Disruptor
TID_RANGED_NEW_33,Anti-Tank Rifle
TID_RANGED_NEW_34,Spitfire
TID_RANGED_NEW_35,Nerve Wrecker
TID_RANGED_NEW_36,Orbit Hunter
TID_RANGED_NEW_37,Wasteland Pistol
TID_RANGED_NEW_38,GKS Special
TID_RANGED_NEW_39,Falcon
TID_RANGED_NEW_40,Black Market Pistol
TID_RANGED_NEW_41,Legendary Six-shooter
TID_RANGED_NEW_42,Snappy
TID_RANGED_NEW_43,Street Sweeper
TID_RANGED_NEW_44,Forty Four Special
TID_RANGED_NEW_45,Marksman MK1
TID_RANGED_NEW_46,Polygon SMG
TID_RANGED_NEW_47,Drum Rock 'n Roll
TID_RANGED_NEW_48,Maglev Rifle
TID_RANGED_NEW_49,Flock of Sparrows
TID_RANGED_NEW_50,Whisperwind
TID_RANGED_NEW_51,Bada-boom!
TID_RANGED_NEW_52,Thumper
TID_RANGED_NEW_53,Ghetto Blaster
TID_RANGED_NEW_54,Charlene
TID_RANGED_NEW_55,Sparrow Hawk
TID_RANGED_NEW_56,Ivan
TID_RANGED_NEW_57,Raptor
TID_RANGED_NEW_58,Vulture
TID_RANGED_NEW_59,Interceptor
TID_RANGED_NEW_60,Credibilitas
TID_RANGED_NEW_61,Motivator
TID_RANGED_NEW_62,Trailcannon
TID_RANGED_NEW_63,Rip-n-Pierce
TID_RANGED_NEW_64,Brutal Carousel
TID_RANGED_NEW_65,Celestial
TID_RANGED_NEW_66,Stakeout Diva
TID_RANGED_NEW_67,Vera
TID_RANGED_NEW_68,Hound Dog
TID_RANGED_NEW_69,Reaperman
TID_RANGED_NEW_70,Boom! Headshot!
TID_RANGED_NEW_71,Destroyer 3000
TID_RANGED_NEW_72,Mutant Modifed Shotgun
TID_RANGED_NEW_73,Customer Service
TID_RANGED_NEW_74,Deadly Rainstick
TID_RANGED_NEW_75,Crater Launcher
TID_RANGED_NEW_76,Hello Sailor!
TID_RANGED_NEW_77,Custom Rifle
TID_RANGED_NEW_78,Turkey Gun
TID_RANGED_NEW_79,Backup Pistol
TID_RANGED_NEW_80,Deer Rifle
TID_RANGED_NEW_81,Roger Destroys
TID_RANGED_NEW_82,Hermano
TID_RANGED_NEW_83,Mafioso Shotgun
TID_RANGED_NEW_84,Laser Lasher
TID_RANGED_NEW_85,Laser Flayer
TID_RANGED_NEW_86,Blam
TID_RANGED_NEW_87,Blood Boiler
TID_RANGED_NEW_88,Rumble
TID_RANGED_NEW_89,Plasma Rifle
TID_RANGED_NEW_90,Heatwave
TID_RANGED_NEW_91,Scorcher
