Name,Text
TID_RECIPE_ACCESSORY_0,Plans: Hunter's Cap
TID_RECIPE_ACCESSORY_1,Plans: Hat
TID_RECIPE_ACCESSORY_2,Plans: Brimmed Hat
TID_RECIPE_ACCESSORY_3,Plans: Rust-brimmed Hat
TID_RECIPE_ACCESSORY_4,Plans: Iron-brimmed Hat
TID_RECIPE_ACCESSORY_5,Plans: Silver-brimmed Hat
TID_RECIPE_ACCESSORY_6,Plans: Titanium-brimmed Hat
TID_RECIPE_ACCESSORY_7,Plans: Grim Brim
TID_RECIPE_ACCESSORY_8,Plans: World Audio Club
TID_RECIPE_ACCESSORY_9,Plans: Hat Titude
TID_RECIPE_ACCESSORY_10,Plans: Doctor's Cap
TID_RECIPE_ACCESSORY_11,Plans: Mask
TID_RECIPE_ACCESSORY_12,Plans: Oil-Drenched Mask
TID_RECIPE_ACCESSORY_13,Plans: Black Wood Mask
TID_RECIPE_ACCESSORY_14,Plans: Dark Mask
TID_RECIPE_ACCESSORY_15,Plans: Skull Face
TID_RECIPE_ACCESSORY_16,Plans: Monster Face
TID_RECIPE_ACCESSORY_17,Plans: Holo Mask
TID_RECIPE_ACCESSORY_18,Plans: Terror Face
TID_RECIPE_ACCESSORY_19,Plans: Eden Brim
TID_RECIPE_ACCESSORY_20,Plans: Bodyguard's Hat
TID_RECIPE_ACCESSORY_21,Plans: Stained Cap
TID_RECIPE_ACCESSORY_22,Plans: Cap
TID_RECIPE_ACCESSORY_23,Plans: Mob Cap
TID_RECIPE_ACCESSORY_24,Plans: Fake Cap
TID_RECIPE_ACCESSORY_25,Plans: Riot Cap
TID_RECIPE_ACCESSORY_26,Plans: Doomsday Cap
TID_RECIPE_ACCESSORY_27,Plans: Holo Cap
TID_RECIPE_ACCESSORY_28,Plans: Steel Helmet
TID_RECIPE_ACCESSORY_29,Plans: Can Can Cans
TID_RECIPE_ACCESSORY_30,Plans: Sneakers
TID_RECIPE_ACCESSORY_31,Plans: Used Moccasins
TID_RECIPE_ACCESSORY_32,Plans: Quality Shoes
TID_RECIPE_ACCESSORY_33,Plans: Comfortable Moccasins
TID_RECIPE_ACCESSORY_34,Plans: Smooth Walkers
TID_RECIPE_ACCESSORY_35,Plans: Moon Walkers
TID_RECIPE_ACCESSORY_36,Plans: Fake Buckles
TID_RECIPE_ACCESSORY_37,Plans: Hunter's Steel Tips
TID_RECIPE_ACCESSORY_38,Plans: Boots-of-the-Puss
TID_RECIPE_ACCESSORY_39,Plans: Shoes
TID_RECIPE_ACCESSORY_40,Plans: Rubber Boots
TID_RECIPE_ACCESSORY_41,Plans: Armored Boots
TID_RECIPE_ACCESSORY_42,Plans: Worn-heeled Boots
TID_RECIPE_ACCESSORY_43,Plans: No-Heels
TID_RECIPE_ACCESSORY_44,Plans: Max Heels
TID_RECIPE_ACCESSORY_45,Plans: Stylish Suede Shoes
TID_RECIPE_ACCESSORY_46,Plans: Synth Skins
TID_RECIPE_ACCESSORY_47,Plans: Heel Plz
TID_RECIPE_ACCESSORY_48,Plans: Kickers
TID_RECIPE_ACCESSORY_49,Plans: Wooden Heelers
TID_RECIPE_ACCESSORY_50,Plans: Durable Boots
TID_RECIPE_ACCESSORY_51,Plans: Steel Heelers
TID_RECIPE_ACCESSORY_52,Plans: Steel Kick'rs
TID_RECIPE_ACCESSORY_53,Plans: Meteor Kick'rs
TID_RECIPE_ACCESSORY_54,Plans: Swamp Tramplers
TID_RECIPE_ACCESSORY_55,Plans: Dominator Boots
TID_RECIPE_ACCESSORY_56,Plans: Kickabout
TID_RECIPE_ACCESSORY_57,Plans: Shutter Shades
TID_RECIPE_ACCESSORY_58,Plans: Aviators
TID_RECIPE_ACCESSORY_59,Plans: Pilot Goggles
TID_RECIPE_ACCESSORY_60,Plans: Hot Rod Goggles
TID_RECIPE_ACCESSORY_61,Plans: UV-Protected Shades
TID_RECIPE_ACCESSORY_62,Plans: Combat Shades
TID_RECIPE_ACCESSORY_63,Plans: Blaster Shades
TID_RECIPE_ACCESSORY_64,Plans: Digiplayer Shades
TID_RECIPE_ACCESSORY_65,Plans: Solar Shades
TID_RECIPE_ACCESSORY_66,Plans: Holo Shades
TID_RECIPE_ACCESSORY_67,Plans: Infiltrator's Shades
TID_RECIPE_ACCESSORY_68,Plans: Pyrox's Shades
TID_RECIPE_ACCESSORY_69,Plans: Bionic Ocular
TID_RECIPE_ACCESSORY_70,Plans: Green Scarf
TID_RECIPE_ACCESSORY_71,Plans: Red Scarf
TID_RECIPE_ACCESSORY_72,Plans: Blue Scarf
TID_RECIPE_ACCESSORY_73,Plans: Mood Necklace
TID_RECIPE_ACCESSORY_74,Plans: Power Bandana
TID_RECIPE_ACCESSORY_75,Plans: Polished Necklace
TID_RECIPE_ACCESSORY_76,Plans: Bandana
TID_RECIPE_ACCESSORY_77,Plans: Blaster Necklace
TID_RECIPE_ACCESSORY_78,Plans: Dramatic Power Bandana
TID_RECIPE_ACCESSORY_79,Plans: Mega Power Bandana
TID_RECIPE_ACCESSORY_80,Plans: Hyper Power Bandana
TID_RECIPE_ACCESSORY_81,Plans: Comforting Bandana
TID_RECIPE_ACCESSORY_82,Plans: Infiltrator's Bandana
TID_RECIPE_ACCESSORY_83,Plans: Voodoo Headwear
TID_RECIPE_ACCESSORY_84,Plans: Hunter's Strap
TID_RECIPE_ACCESSORY_85,Plans: Embossed Belt
TID_RECIPE_ACCESSORY_86,Plans: Suspect Strap
TID_RECIPE_ACCESSORY_87,Plans: Tight Strap
TID_RECIPE_ACCESSORY_88,Plans: Armored Strap
TID_RECIPE_ACCESSORY_89,Plans: Fitting Strap
TID_RECIPE_ACCESSORY_90,Plans: Cardinal Strap
TID_RECIPE_ACCESSORY_91,Plans: Crane Strap
TID_RECIPE_ACCESSORY_92,Plans: Hawk Strap
TID_RECIPE_ACCESSORY_93,Plans: Meteor Strap
TID_RECIPE_ACCESSORY_94,Plans: Light Metal Belt
TID_RECIPE_ACCESSORY_95,Plans: Chimneysweep's Wonder Harness
TID_RECIPE_ACCESSORY_96,Plans: Doctor's Belt
TID_RECIPE_ACCESSORY_97,Plans: Worn Belt
TID_RECIPE_ACCESSORY_98,Plans: Washed Out Belt
TID_RECIPE_ACCESSORY_99,Plans: Doc's Leather Belt
TID_RECIPE_ACCESSORY_100,Plans: Dust-covered Belt
TID_RECIPE_ACCESSORY_101,Plans: Bent Buckle
TID_RECIPE_ACCESSORY_102,Plans: Nail Buckle
TID_RECIPE_ACCESSORY_103,Plans: Bone Buckle
TID_RECIPE_ACCESSORY_104,Plans: Shiny Buckle
TID_RECIPE_ACCESSORY_105,Plans: One-Size-Fits-All Belt
TID_RECIPE_ACCESSORY_106,Plans: Waistland
TID_RECIPE_ACCESSORY_107,Plans: Bodyguard's Strap
TID_RECIPE_ACCESSORY_108,Plans: Dark Brown Leather Belt
TID_RECIPE_ACCESSORY_109,Plans: Dark Grey Leather Belt
TID_RECIPE_ACCESSORY_110,Plans: Bodyguard's Belt
TID_RECIPE_ACCESSORY_111,Plans: Black Leather Belt
TID_RECIPE_ACCESSORY_112,Plans: Midnight Leather Belt
TID_RECIPE_ACCESSORY_113,Plans: Snake Skin Belt
TID_RECIPE_ACCESSORY_114,Plans: Croc Skin Belt
