Name,Text
TID_RECIPE_ARMOR_0,Plans: Hunter's Jacket
TID_RECIPE_ARMOR_1,Plans: Olive Drab Smock
TID_RECIPE_ARMOR_2,Plans: Hunter's Top
TID_RECIPE_ARMOR_3,Plans: Shooting Jacket
TID_RECIPE_ARMOR_4,Plans: Aviator Jacket
TID_RECIPE_ARMOR_5,Plans: Flak Vest
TID_RECIPE_ARMOR_6,Plans: Hunter's Body Armor
TID_RECIPE_ARMOR_7,Plans: Wolf Jacket
TID_RECIPE_ARMOR_8,Plans: Arabic Vest
TID_RECIPE_ARMOR_9,Plans: Stealth Jacket
TID_RECIPE_ARMOR_10,Plans: All-weather Jacket
TID_RECIPE_ARMOR_11,Plans: Doctor's Jacket
TID_RECIPE_ARMOR_12,Plans: Doctor's Top
TID_RECIPE_ARMOR_13,Plans: Designer Jacket
TID_RECIPE_ARMOR_14,Plans: Dust Jacket
TID_RECIPE_ARMOR_15,Plans: Suede Shirt
TID_RECIPE_ARMOR_16,Plans: Surgeon's Shirt
TID_RECIPE_ARMOR_17,Plans: Golf Polo
TID_RECIPE_ARMOR_18,Plans: Hospital White Jacket
TID_RECIPE_ARMOR_19,Plans: Nurse's Jacket
TID_RECIPE_ARMOR_20,Plans: Exclusive Jacket
TID_RECIPE_ARMOR_21,Plans: Antimicrobial Shirt
TID_RECIPE_ARMOR_22,Plans: Bodyguard's Shirt
TID_RECIPE_ARMOR_23,Plans: Brawny Shirt
TID_RECIPE_ARMOR_24,Plans: Bodyguard's Top
TID_RECIPE_ARMOR_25,Plans: Protector Jacket
TID_RECIPE_ARMOR_26,Plans: Bomber Jacket
TID_RECIPE_ARMOR_27,Plans: Tough Guy Jacket
TID_RECIPE_ARMOR_28,Plans: Biker Jacket
TID_RECIPE_ARMOR_29,Plans: Night Club Jacket
TID_RECIPE_ARMOR_30,Plans: Attitude Shirt
TID_RECIPE_ARMOR_31,Plans: Dragon Vest
TID_RECIPE_ARMOR_32,Plans: Extra Large Shirt
TID_RECIPE_ARMOR_33,Plans: Blue Jeans
TID_RECIPE_ARMOR_34,Plans: Hunter's Trousers
TID_RECIPE_ARMOR_35,Plans: Beast Pants
