Name,Text
TID_RECIPE_MELEE_WEAPON_0,Plans: Street Weapon
TID_RECIPE_MELEE_WEAPON_1,Plans: Hit Weapon
TID_RECIPE_MELEE_WEAPON_2,Plans: Cutter Weapon
TID_RECIPE_MELEE_WEAPON_3,Plans: Power Sword
TID_RECIPE_MELEE_WEAPON_4,Plans: Steel Cutter
TID_RECIPE_MELEE_WEAPON_5,Plans: Massive Hammer
TID_RECIPE_MELEE_WEAPON_6,Plans: Pavement Crusher
TID_RECIPE_MELEE_WEAPON_7,Plans: Chainsaw
TID_RECIPE_MELEE_WEAPON_8,Plans: Blood Sputterer
TID_RECIPE_MELEE_WEAPON_9,Plans: TacKnife
TID_RECIPE_MELEE_WEAPON_10,Plans: Two-by-Four
TID_RECIPE_MELEE_WEAPON_11,Plans: Modified Katana
TID_RECIPE_MELEE_WEAPON_12,Plans: Jungle Knife
TID_RECIPE_MELEE_WEAPON_13,Plans: Broadsword
TID_RECIPE_MELEE_WEAPON_14,Plans: Charged Sword
TID_RECIPE_MELEE_WEAPON_15,Plans: Gut Surgeon
TID_RECIPE_MELEE_WEAPON_16,Plans: Mutant Thigh Bone
TID_RECIPE_MELEE_WEAPON_17,Plans: Rock Head
TID_RECIPE_MELEE_WEAPON_18,Plans: Chieftain Blade
TID_RECIPE_MELEE_WEAPON_19,Plans: Axe
TID_RECIPE_MELEE_WEAPON_20,Plans: Shovel
TID_RECIPE_MELEE_WEAPON_21,Plans: Atomic Wrench
TID_RECIPE_MELEE_WEAPON_22,Plans: Sharpened Katana
TID_RECIPE_MELEE_WEAPON_23,Plans: Ace of Spades
TID_RECIPE_MELEE_WEAPON_24,Plans: The Sledge
TID_RECIPE_MELEE_WEAPON_25,Plans: Hermana
TID_RECIPE_MELEE_WEAPON_26,Plans: Wrath of God
TID_RECIPE_MELEE_WEAPON_27,Plans: Grim Reaper
TID_RECIPE_MELEE_WEAPON_28,Plans: The Ash
TID_RECIPE_MELEE_WEAPON_29,Plans: Tooth Pick
TID_RECIPE_MELEE_WEAPON_30,Plans: Migraine
TID_RECIPE_MELEE_WEAPON_31,Plans: Csejte
TID_RECIPE_MELEE_WEAPON_32,Plans: Angelspinner
TID_RECIPE_MELEE_WEAPON_33,Plans: Chaostwister
TID_RECIPE_MELEE_WEAPON_34,Plans: The Edge [Hurricane]
TID_RECIPE_MELEE_WEAPON_35,Plans: Cloudholder
TID_RECIPE_MELEE_WEAPON_36,Plans: Aerohacker
TID_RECIPE_MELEE_WEAPON_37,Plans: Demonspinner
TID_RECIPE_MELEE_WEAPON_38,Plans: Cutspinner
TID_RECIPE_MELEE_WEAPON_39,Plans: Cyclocutter
TID_RECIPE_MELEE_WEAPON_40,Plans: Spaceaxe [Hurricane]
TID_RECIPE_MELEE_WEAPON_41,Plans: Baneaxe [Hurricane]
TID_RECIPE_MELEE_WEAPON_42,Plans: Gyroclub
TID_RECIPE_MELEE_WEAPON_43,Plans: Darkgrind
TID_RECIPE_MELEE_WEAPON_44,Plans: Devilpick
TID_RECIPE_MELEE_WEAPON_45,Plans: Octasword
TID_RECIPE_MELEE_WEAPON_46,Plans: Dirklance
TID_RECIPE_MELEE_WEAPON_47,Plans: Shinesword
TID_RECIPE_MELEE_WEAPON_48,Plans: Shockpiercer
TID_RECIPE_MELEE_WEAPON_49,Plans: Speedsword
TID_RECIPE_MELEE_WEAPON_50,Plans: Whirlknife
TID_RECIPE_MELEE_WEAPON_51,Plans: Triknife
TID_RECIPE_MELEE_WEAPON_52,Plans: Helioknife
TID_RECIPE_MELEE_WEAPON_53,Plans: Smokecrusher
TID_RECIPE_MELEE_WEAPON_54,Plans: Hexaspinner
TID_RECIPE_MELEE_WEAPON_55,Plans: Wishbreaker
TID_RECIPE_MELEE_WEAPON_56,Plans: Technoblade [Hurricane]
TID_RECIPE_MELEE_WEAPON_57,Plans: Bladeflail
TID_RECIPE_MELEE_WEAPON_58,Plans: Rainchopper
TID_RECIPE_MELEE_WEAPON_59,Plans: Warriorknife
TID_RECIPE_MELEE_WEAPON_60,Plans: Omni Scythe
TID_RECIPE_MELEE_WEAPON_61,Plans: Blight Sawer
TID_RECIPE_MELEE_WEAPON_62,Plans: Worldslayer [Bulwark]
TID_RECIPE_MELEE_WEAPON_63,Plans: Skullmaster [Bulwark]
TID_RECIPE_MELEE_WEAPON_64,Plans: PowerHammer [Bulwark]
TID_RECIPE_MELEE_WEAPON_65,Plans: Steel Head [Bulwark]
TID_RECIPE_MELEE_WEAPON_66,Plans: Blight Sawer [Rampage]
TID_RECIPE_MELEE_WEAPON_67,Plans: Chainblade [Rampage]
TID_RECIPE_MELEE_WEAPON_68,Plans: Vibroquaker [Rampage]
TID_RECIPE_MELEE_WEAPON_69,Plans: Metalcutter [Rampage]
TID_RECIPE_MELEE_WEAPON_70,Plans: Facemace
TID_RECIPE_MELEE_WEAPON_71,Plans: Broadholder
TID_RECIPE_MELEE_WEAPON_72,Plans: Cosmobelcher [Hurricane]
TID_RECIPE_MELEE_WEAPON_73,Plans: Spazzernoid [Bulwark]
TID_RECIPE_MELEE_WEAPON_74,Plans: Cell Gyrostinker[Rampage]
