Name,Text
TID_RECIPE_RANGED_WEAPON_0,Plans: Street Gun
TID_RECIPE_RANGED_WEAPON_1,Plans: Heavy Shooter
TID_RECIPE_RANGED_WEAPON_2,Plans: Techno Weapon
TID_RECIPE_RANGED_WEAPON_3,Plans: Machinegun
TID_RECIPE_RANGED_WEAPON_4,Plans: Sniper
TID_RECIPE_RANGED_WEAPON_5,Plans: Rifle
TID_RECIPE_RANGED_WEAPON_6,Plans: Standard .40
TID_RECIPE_RANGED_WEAPON_7,Plans: Rusty Carbine
TID_RECIPE_RANGED_WEAPON_8,Plans: Auto Carbine
TID_RECIPE_RANGED_WEAPON_9,Plans: Home-made Minigun
TID_RECIPE_RANGED_WEAPON_10,Plans: Rhino Stopper
TID_RECIPE_RANGED_WEAPON_11,Plans: Dum-Dum Special
TID_RECIPE_RANGED_WEAPON_12,Plans: Smythe & Weston
TID_RECIPE_RANGED_WEAPON_13,Plans: Spitfire
TID_RECIPE_RANGED_WEAPON_14,Plans: 7.62mm Rifle
TID_RECIPE_RANGED_WEAPON_15,Plans: Sharpshooter
TID_RECIPE_RANGED_WEAPON_16,Plans: Experimental Rifle
TID_RECIPE_RANGED_WEAPON_17,Plans: Nerve Wrecker
TID_RECIPE_RANGED_WEAPON_18,Plans: Sawn-off Shotgun
TID_RECIPE_RANGED_WEAPON_19,Plans: Splattershot
TID_RECIPE_RANGED_WEAPON_20,Plans: Hello Bullet
TID_RECIPE_RANGED_WEAPON_21,Plans: Orbit Hunter
TID_RECIPE_RANGED_WEAPON_22,Plans: Mutant Modifed Shotgun
TID_RECIPE_RANGED_WEAPON_23,Plans: Customer Service
TID_RECIPE_RANGED_WEAPON_24,Plans: Deadly Rainstick
TID_RECIPE_RANGED_WEAPON_25,Plans: Sawyer
TID_RECIPE_RANGED_WEAPON_26,Plans: Custom Rifle
TID_RECIPE_RANGED_WEAPON_27,Plans: Turkey Gun
TID_RECIPE_RANGED_WEAPON_28,Plans: Backup Pistol
TID_RECIPE_RANGED_WEAPON_29,Plans: Deer Rifle
TID_RECIPE_RANGED_WEAPON_30,Plans: Hermano
TID_RECIPE_RANGED_WEAPON_31,Plans: Mafioso Shotgun
TID_RECIPE_RANGED_WEAPON_32,Plans: Laser Lasher
TID_RECIPE_RANGED_WEAPON_33,Plans: Plasma Rifle
TID_RECIPE_RANGED_WEAPON_34,Plans: Heatwave
TID_RECIPE_RANGED_WEAPON_35,Plans: Scorcher
TID_RECIPE_RANGED_WEAPON_36,Plans: Cherub
TID_RECIPE_RANGED_WEAPON_37,Plans: Dark Angel
TID_RECIPE_RANGED_WEAPON_38,Plans: Pulse Rifle
TID_RECIPE_RANGED_WEAPON_39,Plans: Matrix Pistol
TID_RECIPE_RANGED_WEAPON_40,Plans: Neo Blaster
TID_RECIPE_RANGED_WEAPON_41,Plans: Riddler
TID_RECIPE_RANGED_WEAPON_42,Plans: Rage Against
TID_RECIPE_RANGED_WEAPON_43,Plans: Acedia
TID_RECIPE_RANGED_WEAPON_44,Plans: Sparrow Hawk
TID_RECIPE_RANGED_WEAPON_45,Plans: Fire Up
TID_RECIPE_RANGED_WEAPON_46,Plans: Vera
TID_RECIPE_RANGED_WEAPON_47,Plans: Shooting Star
TID_RECIPE_RANGED_WEAPON_48,Plans: Snake Eye
TID_RECIPE_RANGED_WEAPON_49,Plans: Whisperwind
TID_RECIPE_RANGED_WEAPON_50,Plans: Bada-boom!
TID_RECIPE_RANGED_WEAPON_51,Plans: Thumper
TID_RECIPE_RANGED_WEAPON_52,Plans: Ghetto Blaster
TID_RECIPE_RANGED_WEAPON_53,Plans: Boom! Headshot!
TID_RECIPE_RANGED_WEAPON_54,Plans: Crater Launcher
TID_RECIPE_RANGED_WEAPON_55,Plans: Dirty
TID_RECIPE_RANGED_WEAPON_56,Plans: Heavy Barrel
TID_RECIPE_RANGED_WEAPON_57,Plans: Hello Sailor!
TID_RECIPE_RANGED_WEAPON_58,Plans: Hole Punch
TID_RECIPE_RANGED_WEAPON_59,Plans: Hot Fizz
TID_RECIPE_RANGED_WEAPON_60,Plans: Hound Dog
TID_RECIPE_RANGED_WEAPON_61,Plans: Reaperman
TID_RECIPE_RANGED_WEAPON_62,Plans: Meteor Storm
TID_RECIPE_RANGED_WEAPON_63,Plans: One Shot
TID_RECIPE_RANGED_WEAPON_64,Plans: Trinity
TID_RECIPE_RANGED_WEAPON_65,Plans: Kingfisher
TID_RECIPE_RANGED_WEAPON_66,Plans: Lifebringer [Insta-Healer]
TID_RECIPE_RANGED_WEAPON_67,Plans: Six Saver [Insta-Healer]
TID_RECIPE_RANGED_WEAPON_68,Plans: Used 9mm Pistol
TID_RECIPE_RANGED_WEAPON_69,Plans: Deathbringer [Firefly]
TID_RECIPE_RANGED_WEAPON_70,Plans: Breathtaker [Wasp]
TID_RECIPE_RANGED_WEAPON_71,Plans: Ordinary 9mm
TID_RECIPE_RANGED_WEAPON_72,Plans: Stardust [Insta-Healer]
TID_RECIPE_RANGED_WEAPON_73,Plans: Fulmar [Insta-Healer]
TID_RECIPE_RANGED_WEAPON_74,Plans: Labycore Proto Pistol
TID_RECIPE_RANGED_WEAPON_75,Plans: Deadly Whisper [Wasp]
TID_RECIPE_RANGED_WEAPON_76,Plans: Deadly Shout [Wasp]
TID_RECIPE_RANGED_WEAPON_77,Plans: Deadly Scream [Wasp]
TID_RECIPE_RANGED_WEAPON_78,Plans: Punk Killer
TID_RECIPE_RANGED_WEAPON_79,Plans: Nice Six Shooter
TID_RECIPE_RANGED_WEAPON_80,Plans: Little Kelly
TID_RECIPE_RANGED_WEAPON_81,Plans: Lightbringer [Area-Healer]
TID_RECIPE_RANGED_WEAPON_82,Plans: Golden Angel [Area-Healer]
TID_RECIPE_RANGED_WEAPON_83,Plans: Airbender
TID_RECIPE_RANGED_WEAPON_84,Plans: Blightstopper
TID_RECIPE_RANGED_WEAPON_85,Plans: Deathdisk
TID_RECIPE_RANGED_WEAPON_86,Plans: Gorebuster
TID_RECIPE_RANGED_WEAPON_87,Plans: Longrattler
TID_RECIPE_RANGED_WEAPON_88,Plans: Zap Gone
TID_RECIPE_RANGED_WEAPON_89,Plans: Big Martha
TID_RECIPE_RANGED_WEAPON_90,Plans: Moon Owl [Prolonger]
TID_RECIPE_RANGED_WEAPON_91,Plans: Labycore Proto Shotgun
TID_RECIPE_RANGED_WEAPON_92,Plans: Deadhunter [Firefly]
TID_RECIPE_RANGED_WEAPON_93,Plans: Manhunter [Firefly]
TID_RECIPE_RANGED_WEAPON_94,Plans: Sun Owl [Prolonger]
TID_RECIPE_RANGED_WEAPON_95,Plans: The Judge [Firefly]
TID_RECIPE_RANGED_WEAPON_96,Plans: Stunmaster
TID_RECIPE_RANGED_WEAPON_97,Plans: Kauna
TID_RECIPE_RANGED_WEAPON_98,Plans: Snow Owl [Prolonger]
TID_RECIPE_RANGED_WEAPON_99,Plans: Bolt-Action Sniper
TID_RECIPE_RANGED_WEAPON_100,Plans: 7.62mm Common Sniper
TID_RECIPE_RANGED_WEAPON_101,Plans: Terralash
TID_RECIPE_RANGED_WEAPON_102,Plans: Terrakill
TID_RECIPE_RANGED_WEAPON_103,Plans: White Eagle [Area-Healer]
TID_RECIPE_RANGED_WEAPON_104,Plans: Deviscerator [Leviathan]
TID_RECIPE_RANGED_WEAPON_105,Plans: Incinerator [Leviathan]
TID_RECIPE_RANGED_WEAPON_106,Plans: Obliterator [Leviathan]
TID_RECIPE_RANGED_WEAPON_107,Plans: Undertaker [Leviathan]
TID_RECIPE_RANGED_WEAPON_108,Plans: Blood Owl [Prolonger]
TID_RECIPE_RANGED_WEAPON_109,Plans: Silver Owl [Prolonger]
TID_RECIPE_RANGED_WEAPON_110,Plans: Omenfreezer
TID_RECIPE_RANGED_WEAPON_111,Plans: Iron Maiden [Area-Healer]
TID_RECIPE_RANGED_WEAPON_112,Plans: Crowd Control Infector Pistol
TID_RECIPE_RANGED_WEAPON_113,Plans: Hyperblaster Rifle
TID_RECIPE_RANGED_WEAPON_114,Plans: Single-shot Terraripper
TID_RECIPE_RANGED_WEAPON_115,Plans: High-power Negadestroyer
TID_RECIPE_RANGED_WEAPON_116,Plans: Mama [Area-Healer]
TID_RECIPE_RANGED_WEAPON_117,Plans: Liberator [Leviathan]
TID_RECIPE_RANGED_WEAPON_118,Plans: Painfinder
TID_RECIPE_RANGED_WEAPON_119,Plans: Eliminator Equalizer
TID_RECIPE_RANGED_WEAPON_120,Plans: Healeranoid [Insta-Healer]
TID_RECIPE_RANGED_WEAPON_121,Plans: Unstable [Wasp]
TID_RECIPE_RANGED_WEAPON_122,Plans: Astroblender [Firefly]
TID_RECIPE_RANGED_WEAPON_123,Plans: Articulated Insulter [Area-Healer]
TID_RECIPE_RANGED_WEAPON_124,Plans: Minty Ultrasonic [Leviathan]
TID_RECIPE_RANGED_WEAPON_125,Plans: Motor Sneezer [Prolonger]
