Name,LevelUpUnlock,UnlockedByMission,Item,Ingredient,IngredientCount,IngredientsAdditional,DiamondCost,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,LootDisabled,DiamondsOnly,TreasureBoxLoot,DropSound,LootResource,LootExportName
Plans: Hunter's Cap,TRUE,TRUE,Discarded Cap,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Felt Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Robber Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Ice Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Lucky Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Cap Tain,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hat,TRUE,TRUE,Cyber Cowboy Hat,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Steel-brimmed Hat,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Razor-brimmed Hat,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Brimstone,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Brimmed Hat,,,Brimmed Hat,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Rust-brimmed Hat,,,Rust-brimmed Hat,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Iron-brimmed Hat,,,Iron-brimmed Hat,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Silver-brimmed Hat,,,Silver-brimmed Hat,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Titanium-brimmed Hat,,,Titanium-brimmed Hat,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Grim Brim,,,Grim Brim,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: World Audio Club,,,World Audio Club,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hat Titude,,,Hat Titude,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Doctor's Cap,TRUE,TRUE,Dusty Cap,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Desert Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Dune Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Faithful Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Brand New Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Quality Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Mask,TRUE,TRUE,Stained Mask,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Tailormade Mask,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Hypno Face,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Dramatic Mask,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Oil-Drenched Mask,,,Oil-Drenched Mask,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Black Wood Mask,,,Black Wood Mask,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Dark Mask,,,Dark Mask,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Skull Face,,,Skull Face,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Monster Face,,,Monster Face,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Holo Mask,,,Holo Mask,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Terror Face,,,Terror Face,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Eden Brim,,,Eden Brim,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bodyguard's Hat,TRUE,TRUE,Moldy Cap,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Plywood Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Aggro Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Biker Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Top Notch Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Titanium Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Stained Cap,,,Stained Cap,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
