Name,LevelUpUnlock,UnlockedByMission,Item,Ingredient,IngredientCount,IngredientsAdditional,DiamondCost,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,LootDisabled,DiamondsOnly,TreasureBoxLoot,DropSound,LootResource,LootExportName
Plans: Hunter's Jacket,TRUE,TRUE,Denim Vest,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Shooting Vest,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Safari Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Tan Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Manhunter's Coat,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Midnight Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,All-weather Coat,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Olive Drab Smock,,,Olive Drab Smock,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hunter's Top,TRUE,TRUE,Bowhunter's Jacket,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Manhunter's Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Jackal Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Hyena Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Shooting Jacket,,,Shooting Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Aviator Jacket,,,Aviator Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Flak Vest,,,Flak Vest,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Hunter's Body Armor,,,Hunter's Body Armor,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Wolf Jacket,,,Wolf Jacket,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Arabic Vest,,,Arabic Vest,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Stealth Jacket,,,Stealth Jacket,Fabric,20,TRUE,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: All-weather Jacket,,,All-weather Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Doctor's Jacket,TRUE,TRUE,Hiking Sweater,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Comfy Sweater,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Navy Sweater,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Sailing Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Worn Sweater,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Scrub Top,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Casual Sweater,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Doctor's Top,TRUE,TRUE,Windbreaker Jacket,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Suede Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Clean Suit Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Surgeon's Coat,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Designer Jacket,,,Designer Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Dust Jacket,,,Dust Jacket,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Suede Shirt,,,Suede Shirt,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Surgeon's Shirt,,,Surgeon's Shirt,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Golf Polo,,,Golf Polo,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Hospital White Jacket,,,Hospital White Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Nurse's Jacket,,,Nurse's Jacket,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Exclusive Jacket,,,Exclusive Jacket,Fabric,20,TRUE,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Antimicrobial Shirt,,,Antimicrobial Shirt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bodyguard's Shirt,TRUE,TRUE,Casual T-Shirt,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Bouncer's T-Shirt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Protector Vest,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Heavy Metal Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Armored Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Syndicate Coat,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Kevlar Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Brawny Shirt,,,Brawny Shirt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bodyguard's Top,TRUE,TRUE,Team T-Shirt,,,,,,,3,TRUE,,TRUE,,graphics/loot/loot_drops.swf,blueprint
,,,Vigilante Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Bodyguard's Top,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Badass Trench,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Protector Jacket,,,Protector Jacket,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bomber Jacket,,,Bomber Jacket,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Tough Guy Jacket,,,Tough Guy Jacket,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Biker Jacket,,,Biker Jacket,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
