Name,DropOnlyTo,LevelUpUnlock,UnlockedByMission,Item,StackSize,Ingredient,IngredientCount,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,DiamondCost,Rarity,LootDisabled,DiamondsOnly,DropSound,LootResource,LootExportName
Plans: Grenade,,TRUE,,Grenade,2,Bolts,20,,,2,100,Common,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,Great Grenade,2,Bolts,20,,,2,100,Common,TRUE,,,,
,,,,Superior Grenade,2,Bolts,20,,,2,100,Common,TRUE,,,,
Plans: Bazooka,,TRUE,,Bazooka,,Bolts,20,,,2,400,Uncommon,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,Great Bazooka,,Bolts,20,,,2,400,,,,,,
,,,,,,Heavy Metal,1,,,,,,,,,,
,,,,Super Bazooka,,Bolts,50,,,2,400,,,,LootDefault,,
,,,,,,Heavy Metal,1,,,,,,,,,,
Plans: Flame Thrower,,TRUE,,Flame Thrower,,Bolts,25,,,2,400,Rare,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,,,,,,,,
,,,,Great Flame Thrower,,Heavy Metal,4,,,2,400,,,,LootDefault,,
,,,,,,Power Cells,1,,,,,,,,,,
,,,,Super Flame Thrower,,Heavy Metal,4,,,2,400,,,,LootDefault,,
,,,,,,Power Cells,1,,,,,,,,,,
Plans: Molotov Cocktail,,TRUE,,Molotov Cocktail,,Bolts,12,,,2,300,Uncommon,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Fabric,8,,,,,,,,,,
,,,,Great Molotov Cocktail,,Bolts,12,,,2,300,,,,LootDefault,,
,,,,,,Fabric,8,,,,,,,,,,
,,,,Superior Molotov Cocktail,,Bolts,12,,,2,300,,,,LootDefault,,
,,,,,,Fabric,8,,,,,,,,,,
Plans: Medikit,,,TRUE,Medikit,2,Fabric,8,,,2,100,Common,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,Great Medikit,2,Fabric,8,,,2,100,,TRUE,,,,
,,,,Superior Medikit,2,Fabric,8,,,2,100,,TRUE,,,,
Plans: Energy Drink,,,TRUE,Energy Drink,2,Bolts,18,,,2,100,Common,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,Great Energy Drink,2,Bolts,24,,,2,100,,TRUE,,,,
,,,,Superior Energy Drink,2,Bolts,30,,,2,100,,TRUE,,,,
Plans: Shock Blow,,TRUE,,Shock Blow,3,Heavy Metal,10,,,2,1000,Uncommon,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,,,,,,,
