Name,LevelUpUnlock,UnlockedByMission,Item,Ingredient,IngredientCount,IngredientsAdditional,DiamondCost,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,LootDisabled,DiamondsOnly,DropSound,LootResource,LootExportName,DropOnlyTo
Plans: Street Weapon,TRUE,TRUE,Pipe,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,Knife,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Baseball Bat,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Cleaver,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Bowie Knife,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Crocodile Knife,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Sabre,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Molecular Sword,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Nano Sword,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Hit Weapon,TRUE,TRUE,Flat Iron,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,Steel Mace,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Street Whacker,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Cutter Weapon,TRUE,TRUE,Hobby Saw,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,Power Cutter,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Modified Cutter,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Power Sword,,,Power Sword,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Steel Cutter,,,Steel Cutter,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Massive Hammer,,,Massive Hammer,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Pavement Crusher,,,Pavement Crusher,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Chainsaw,,,Chainsaw,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Blood Sputterer,,,Blood Sputterer,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: TacKnife,,,TacKnife,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Two-by-Four,,,Two-by-Four,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Modified Katana,,,Modified Katana,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Jungle Knife,,,Jungle Knife,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Broadsword,,,Broadsword,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Charged Sword,,,Charged Sword,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Gut Surgeon,,,Gut Surgeon,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Mutant Thigh Bone,,,Mutant Thigh Bone,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Rock Head,,,Rock Head,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Chieftain Blade,,,Chieftain Blade,Raider Tech,40,TRUE,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Axe,,,Johnny's Credible Cleaver,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Shovel,,,Shovel,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Atomic Wrench,,,Atomic Wrench,,5,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Sharpened Katana,,,Sharpened Katana,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Ace of Spades,,,Ace of Spades,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: The Sledge,,,The Sledge,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Hermana,,,Hermana,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,Bodyguard
Plans: Wrath of God,,,Wrath of God,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Grim Reaper,,,Grim Reaper,Raider Tech,40,TRUE,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: The Ash,,,The Ash,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Tooth Pick,,,Tooth Pick,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,Bodyguard
