Name,LevelUpUnlock,UnlockedByMission,Item,Ingredient,IngredientCount,IngredientsAdditional,DiamondCost,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,LootDisabled,DiamondsOnly,DropSound,LootResource,LootExportName,DropOnlyTo
Plans: Street Gun,TRUE,TRUE,Police Special,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,45 Auto,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Smirnov-47,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Hunting Rifle,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Machine Pistol,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Modded Shotgun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Hunter's Shotgun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Lurker's Sniper,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Heavy Shooter,TRUE,TRUE,Gatling,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,Modified SMG,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Stakeout Shotgun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Techno Weapon,TRUE,TRUE,.50 Caliber Rifle,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,Elephant Gun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
,,,Heavy Rifle,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Machinegun,TRUE,TRUE,Nasty SMG,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,Chaingun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Sniper,TRUE,TRUE,North Wind,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,Disruptor,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Rifle,TRUE,TRUE,Bullet Shover,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
,,,Anti-Tank Rifle,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Standard .40,,,Standard .40,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Rusty Carbine,,,Rusty Carbine,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Auto Carbine,,,Auto Carbine,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Home-made Minigun,,,Home-made Minigun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Rhino Stopper,,,Rhino Stopper,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Dum-Dum Special,,,Dum-Dum Special,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Smythe & Weston,,,Smythe & Weston,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Spitfire,,,Spitfire,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: 7.62mm Rifle,,,7.62mm Rifle,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Sharpshooter,,,Sharpshooter,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Experimental Rifle,,,Experimental Rifle,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Nerve Wrecker,,,Nerve Wrecker,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Sawn-off Shotgun,,,Sawn-off Shotgun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Splattershot,,,Splattershot,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Hello Bullet,,,Hello Bullet,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Orbit Hunter,,,Orbit Hunter,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Mutant Modifed Shotgun,,,Mutant Modifed Shotgun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Customer Service,,,Customer Service,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Deadly Rainstick,,,Deadly Rainstick,Raider Tech,40,TRUE,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Sawyer,,,Sawyer,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Custom Rifle,,,Custom Rifle,,,,,,,3,TRUE,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Turkey Gun,,,Turkey Gun,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
Plans: Backup Pistol,,,Backup Pistol,,,,,,,3,,,,graphics/loot/loot_drops.swf,blueprint,
