Name,WeaponClass,RequiredLevel,Rarity,Tier,DiamondsOnly,Enhancement,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,DiamondCostExact
Typical Battle Rifle,Battle Rifle,2,Common,,,,,,,,,,,,,,,,TRUE,,,
Basic Battle Rifle,Battle Rifle,3,Common,,,,,,,,,,,,,,,,TRUE,,TRUE,
Average Battle Rifle,Battle Rifle,8,Common,,,,,,,,,,,,,,,,TRUE,,,
Everyday Battle Rifle,Battle Rifle,12,Common,,,,,,,,,,,,,,,,TRUE,,,
Popular Battle Rifle,Battle Rifle,18,Common,,,,,,,,,,,,,,,,TRUE,,TRUE,
Usual Battle Rifle,Battle Rifle,20,Common,,,,,,,,,,,,,,,,TRUE,,,
Common Battle Rifle,Battle Rifle,22,Common,,,,,,,,,,,,,,,,TRUE,,,
Plain Battle Rifle,Battle Rifle,24,Common,,,,,,,,,,,,,,,,TRUE,,,
Standard Battle Rifle,Battle Rifle,30,Common,,,,,,,,,,,,,,,,TRUE,,,
Crappy Assault Rifle,Assault Rifle,4,Common,,,,,,,,,,,,,,,,TRUE,,,
Plain Assault Rifle,Assault Rifle,9,Common,,,,,,,,,,,,,,,,TRUE,,,
Standard Assault Rifle,Assault Rifle,13,Common,,,,,,,,,,,,,,,,TRUE,,TRUE,
Normal Assault Rifle,Assault Rifle,19,Common,,,,,,,,,,,,,,,,TRUE,,,
Common Assault Rifle,Assault Rifle,21,Common,,,,,,,,,,,,,,,,TRUE,,,
Universal Assault Rifle,Assault Rifle,24,Common,,,,,,,,,,,,,,,,TRUE,,,
Basic Assault Rifle,Assault Rifle,29,Common,,,,,,,,,,,,,,,,TRUE,,,
Average Assault Rifle,Assault Rifle,30,Common,,,,,,,,,,,,,,,,TRUE,,,
Regular Battle Rifle,Battle Rifle,1,Common,,,,,,,,,,,,,,,,TRUE,,TRUE,
Regular Assault Rifle,Assault Rifle,1,Common,,,,,,,,,,,,,,,,TRUE,,,
Simple Assault Rifle,Assault Rifle,6,Common,,,,,,,,,,,,,,,,TRUE,,,
Usual Assault Rifle,Assault Rifle,5,Common,,,,,,,,,,,,,,,,TRUE,,,
Crappy Battle Rifle,Battle Rifle,1,Poor,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap Battle Rifle,Battle Rifle,10,Poor,,,,,,,,,,,,,,,,TRUE,,TRUE,
Battered Battle Rifle,Battle Rifle,11,Poor,,,,,,,,,,,,,,,,TRUE,,,
Cracked Battle Rifle,Battle Rifle,17,Poor,,,,,,,,,,,,,,,,TRUE,,,
Broken Battle Rifle,Battle Rifle,23,Poor,,,,,,,,,,,,,,,,TRUE,,,
Corroded Battle Rifle,Battle Rifle,28,Poor,,,,,,,,,,,,,,,,TRUE,,,
Crude Battle Rifle,Battle Rifle,30,Poor,,,,,,,,,,,,,,,,TRUE,,,
Battered Assault Rifle,Assault Rifle,4,Poor,,,,,,,,,,,,,,,,TRUE,,,
Cracked Assault Rifle,Assault Rifle,8,Poor,,,,,,,,,,,,,,,,TRUE,,,
Broken Assault Rifle,Assault Rifle,12,Poor,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap Assault Rifle,Assault Rifle,17,Poor,,,,,,,,,,,,,,,,TRUE,,TRUE,
Corroded Assault Rifle,Assault Rifle,23,Poor,,,,,,,,,,,,,,,,TRUE,,,
Crude Assault Rifle,Assault Rifle,25,Poor,,,,,,,,,,,,,,,,TRUE,,,
Old Assault Rifle,Assault Rifle,30,Poor,,,,,,,,,,,,,,,,TRUE,,,
Gruesome Battle Rifle,Battle Rifle,5,Rare,,,of the Ambusher,TRUE,,,,,,,,,,,,TRUE,,TRUE,
Assault Battle Rifle,Battle Rifle,7,Rare,,,of the Crymaker,,1,,,,,,,,,,,TRUE,,TRUE,
Jagged Battle Rifle,Battle Rifle,10,Rare,,,of 6th Sense,,22,,,,,,,,,,,TRUE,,TRUE,
Radical Battle Rifle,Battle Rifle,13,Rare,,,of the Painmaker,,5,,,,,,,,,,,TRUE,,TRUE,
Greater Battle Rifle,Battle Rifle,15,Rare,,,of the Predator,,,,,,,,,,,,,TRUE,,TRUE,
Awesome Battle Rifle,Battle Rifle,20,Rare,,,of the Legend,,,,,,,,,,,,,TRUE,,TRUE,
Brutal Battle Rifle,Battle Rifle,20,Rare,,,of the Painmaker,,20,,,,,,,,,,,TRUE,,TRUE,
Outstanding Battle Rifle,Battle Rifle,21,Rare,,,of the Predator,,1,,,,,,,,,,,TRUE,,TRUE,
Marvelous Battle Rifle,Battle Rifle,25,Rare,,,of the Legend,TRUE,,,,,,,,,,,,TRUE,,TRUE,
Mighty Battle Rifle,Battle Rifle,27,Rare,,,of the Painmaker,,,,,,,,,,,,,TRUE,,TRUE,
Righteous Battle Rifle,Battle Rifle,30,Rare,2,,of the Predator,,11,,,,,,,,,,,TRUE,,TRUE,
Assault Rifle,Assault Rifle,5,Rare,,,of the Ambusher,,5,,,,,,,,,,,TRUE,,TRUE,
Jagged Assault Rifle,Assault Rifle,7,Rare,,,of the Crymaker,,5,,,,,,,,,,,TRUE,,TRUE,
Radical Assault Rifle,Assault Rifle,11,Rare,,,of 6th Sense,,7,,,,,,,,,,,TRUE,,TRUE,
Greater Assault Rifle,Assault Rifle,14,Rare,,,of the Painmaker,,9,,,,,,,,,,,TRUE,,TRUE,
Awesome Assault Rifle,Assault Rifle,16,Rare,,,of the Predator,,4,,,,,,,,,,,TRUE,,TRUE,
Brutal Assault Rifle,Assault Rifle,20,Rare,,,of the Ambusher,,12,,,,,,,,,,,TRUE,,TRUE,
Marvelous Assault Rifle,Assault Rifle,22,Rare,,,of the Crymaker,,6,,,,,,,,,,,TRUE,,TRUE,
Mighty Assault Rifle,Assault Rifle,26,Rare,,,of 6th Sense,,8,,,,,,,,,,,TRUE,,TRUE,
Righteous Assault Rifle,Assault Rifle,28,Rare,,,of the Painmaker,,19,,,,,,,,,,,TRUE,,TRUE,
Victorious Assault Rifle,Assault Rifle,30,Rare,4,,of the Legend,,22,,,,,,,,,,,TRUE,,TRUE,
Okayish Battle Rifle,Battle Rifle,4,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Cool Battle Rifle,Battle Rifle,6,Uncommon,,,,,0,,,,,,,,,,,TRUE,,TRUE,
Great Battle Rifle,Battle Rifle,9,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Good Battle Rifle,Battle Rifle,10,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Fine Battle Rifle,Battle Rifle,14,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Credible Battle Rifle,Battle Rifle,16,Uncommon,,,,,4,,,,,,,,,,,TRUE,,TRUE,
Street Wise Battle Rifle,Battle Rifle,19,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Worthy Battle Rifle,Battle Rifle,20,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Nifty Battle Rifle,Battle Rifle,25,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Ideal Battle Rifle,Battle Rifle,26,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Elegant Battle Rifle,Battle Rifle,29,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Boosted Battle Rifle,Battle Rifle,30,Uncommon,,,,,6,,,,,,,,,,,TRUE,,TRUE,
Cool Assault Rifle,Assault Rifle,4,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Great Assault Rifle,Assault Rifle,6,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Illegal Assault Rifle,Assault Rifle,10,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Good Assault Rifle,Assault Rifle,15,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Fine Assault Rifle,Assault Rifle,18,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Street Wise Assault Rifle,Assault Rifle,27,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy Assault Rifle,Assault Rifle,30,Uncommon,,,,,5,,,,,,,,,,,TRUE,,TRUE,
Nifty Assault Rifle,Assault Rifle,6,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
