Name,Text
TID_WEAPON_RIFLE_0,Typical Battle Rifle
TID_WEAPON_RIFLE_1,Basic Battle Rifle
TID_WEAPON_RIFLE_2,Average Battle Rifle
TID_WEAPON_RIFLE_3,Everyday Battle Rifle
TID_WEAPON_RIFLE_4,Popular Battle Rifle
TID_WEAPON_RIFLE_5,Usual Battle Rifle
TID_WEAPON_RIFLE_6,Common Battle Rifle
TID_WEAPON_RIFLE_7,Plain Battle Rifle
TID_WEAPON_RIFLE_8,Standard Battle Rifle
TID_WEAPON_RIFLE_9,Crappy Assault Rifle
TID_WEAPON_RIFLE_10,Plain Assault Rifle
TID_WEAPON_RIFLE_11,Standard Assault Rifle
TID_WEAPON_RIFLE_12,Normal Assault Rifle
TID_WEAPON_RIFLE_13,Common Assault Rifle
TID_WEAPON_RIFLE_14,Universal Assault Rifle
TID_WEAPON_RIFLE_15,Basic Assault Rifle
TID_WEAPON_RIFLE_16,Average Assault Rifle
TID_WEAPON_RIFLE_17,Regular Battle Rifle
TID_WEAPON_RIFLE_18,Regular Assault Rifle
TID_WEAPON_RIFLE_19,Simple Assault Rifle
TID_WEAPON_RIFLE_20,Usual Assault Rifle
TID_WEAPON_RIFLE_21,Crappy Battle Rifle
TID_WEAPON_RIFLE_22,Piece of Crap Battle Rifle
TID_WEAPON_RIFLE_23,Battered Battle Rifle
TID_WEAPON_RIFLE_24,Cracked Battle Rifle
TID_WEAPON_RIFLE_25,Broken Battle Rifle
TID_WEAPON_RIFLE_26,Corroded Battle Rifle
TID_WEAPON_RIFLE_27,Crude Battle Rifle
TID_WEAPON_RIFLE_28,Battered Assault Rifle
TID_WEAPON_RIFLE_29,Cracked Assault Rifle
TID_WEAPON_RIFLE_30,Broken Assault Rifle
TID_WEAPON_RIFLE_31,Piece of Crap Assault Rifle
TID_WEAPON_RIFLE_32,Corroded Assault Rifle
TID_WEAPON_RIFLE_33,Crude Assault Rifle
TID_WEAPON_RIFLE_34,Old Assault Rifle
TID_WEAPON_RIFLE_35,Gruesome Battle Rifle
TID_WEAPON_RIFLE_36,Assault Battle Rifle
TID_WEAPON_RIFLE_37,Jagged Battle Rifle
TID_WEAPON_RIFLE_38,Radical Battle Rifle
TID_WEAPON_RIFLE_39,Greater Battle Rifle
TID_WEAPON_RIFLE_40,Awesome Battle Rifle
TID_WEAPON_RIFLE_41,Brutal Battle Rifle
TID_WEAPON_RIFLE_42,Outstanding Battle Rifle
TID_WEAPON_RIFLE_43,Marvelous Battle Rifle
TID_WEAPON_RIFLE_44,Mighty Battle Rifle
TID_WEAPON_RIFLE_45,Righteous Battle Rifle
TID_WEAPON_RIFLE_46,Assault Rifle
TID_WEAPON_RIFLE_47,Jagged Assault Rifle
TID_WEAPON_RIFLE_48,Radical Assault Rifle
TID_WEAPON_RIFLE_49,Greater Assault Rifle
TID_WEAPON_RIFLE_50,Awesome Assault Rifle
TID_WEAPON_RIFLE_51,Brutal Assault Rifle
TID_WEAPON_RIFLE_52,Marvelous Assault Rifle
TID_WEAPON_RIFLE_53,Mighty Assault Rifle
TID_WEAPON_RIFLE_54,Righteous Assault Rifle
TID_WEAPON_RIFLE_55,Victorious Assault Rifle
TID_WEAPON_RIFLE_56,Okayish Battle Rifle
TID_WEAPON_RIFLE_57,Cool Battle Rifle
TID_WEAPON_RIFLE_58,Great Battle Rifle
TID_WEAPON_RIFLE_59,Good Battle Rifle
TID_WEAPON_RIFLE_60,Fine Battle Rifle
TID_WEAPON_RIFLE_61,Credible Battle Rifle
TID_WEAPON_RIFLE_62,Street Wise Battle Rifle
TID_WEAPON_RIFLE_63,Worthy Battle Rifle
TID_WEAPON_RIFLE_64,Nifty Battle Rifle
TID_WEAPON_RIFLE_65,Ideal Battle Rifle
TID_WEAPON_RIFLE_66,Elegant Battle Rifle
TID_WEAPON_RIFLE_67,Boosted Battle Rifle
TID_WEAPON_RIFLE_68,Cool Assault Rifle
TID_WEAPON_RIFLE_69,Great Assault Rifle
TID_WEAPON_RIFLE_70,Illegal Assault Rifle
TID_WEAPON_RIFLE_71,Good Assault Rifle
TID_WEAPON_RIFLE_72,Fine Assault Rifle
TID_WEAPON_RIFLE_73,Street Wise Assault Rifle
TID_WEAPON_RIFLE_74,Worthy Assault Rifle
TID_WEAPON_RIFLE_75,Nifty Assault Rifle
TID_WEAPON_RIFLE_76,Respectable Battle Rifle
TID_WEAPON_RIFLE_77,Crazy Battle Rifle
TID_WEAPON_RIFLE_78,Extreme Battle Rifle
TID_WEAPON_RIFLE_79,Wacky Battle Rifle
TID_WEAPON_RIFLE_80,High Power Battle Rifle
TID_WEAPON_RIFLE_81,Extreme Assault Rifle
TID_WEAPON_RIFLE_82,Crazy Assault Rifle
TID_WEAPON_RIFLE_83,High Power Assault Rifle
TID_WEAPON_RIFLE_84,Troublemaker's Assault Rifle
TID_WEAPON_RIFLE_85,Hustla's Assault Rifle
TID_WEAPON_RIFLE_86,Madcap's Assault Rifle
TID_WEAPON_RIFLE_87,Hothead's Assault Rifle
TID_WEAPON_RIFLE_88,Daredevil's Assault Rifle
TID_WEAPON_RIFLE_89,Crymaker's Assault Rifle
TID_WEAPON_RIFLE_90,Anguisher's Assault Rifle
TID_WEAPON_RIFLE_91,Painmaker's Assault Rifle
TID_WEAPON_RIFLE_92,First Class Assault Rifle
TID_WEAPON_RIFLE_93,Criminal's Next Gen Assault Rifle
TID_WEAPON_RIFLE_94,Ruffian's Next Gen Assault Rifle
TID_WEAPON_RIFLE_95,Thug's Next Gen Assault Rifle
TID_WEAPON_RIFLE_96,Lawbreaker's Next Gen Assault Rifle
TID_WEAPON_RIFLE_97,Offender's Next Gen Assault Rifle
TID_WEAPON_RIFLE_98,Hitman's Next Gen Assault Rifle
TID_WEAPON_RIFLE_99,Lunatic's Next Gen Assault Rifle
TID_WEAPON_RIFLE_100,Cleaner's Next Gen Assault Rifle
TID_WEAPON_RIFLE_101,Devastator's Next Gen Assault Rifle
TID_WEAPON_RIFLE_102,Interrogator's Next Gen Assault Rifle
TID_WEAPON_RIFLE_103,Torture's Next Gen Assault Rifle
TID_WEAPON_RIFLE_104,Troublemaker's Next Gen Assault Rifle
TID_WEAPON_RIFLE_105,Hustla's Next Gen Assault Rifle
TID_WEAPON_RIFLE_106,Madcap's Next Gen Assault Rifle
