Name,Text
TID_WEAPON_SAW_0,Good Jigsaw
TID_WEAPON_SAW_1,Nifty Jigsaw
TID_WEAPON_SAW_2,Badass Jigsaw
TID_WEAPON_SAW_3,Superior Jigsaw
TID_WEAPON_SAW_4,Street Wise Jigsaw
TID_WEAPON_SAW_5,Gruesome Jigsaw
TID_WEAPON_SAW_6,Popular Jigsaw
TID_WEAPON_SAW_7,Crazy Jigsaw
TID_WEAPON_SAW_8,Ideal Jigsaw
TID_WEAPON_SAW_9,Assault Jigsaw
TID_WEAPON_SAW_10,Crude Jigsaw
TID_WEAPON_SAW_11,Radical Jigsaw
TID_WEAPON_SAW_12,Boosted Jigsaw
TID_WEAPON_SAW_13,Common Jigsaw
TID_WEAPON_SAW_14,Acute Jigsaw
TID_WEAPON_SAW_15,Greater Jigsaw
TID_WEAPON_SAW_16,Ideal Reciprocating Saw
TID_WEAPON_SAW_17,Gruesome Reciprocating Saw
TID_WEAPON_SAW_18,Fine Reciprocating Saw
TID_WEAPON_SAW_19,Extreme Reciprocating Saw
TID_WEAPON_SAW_20,Credible Reciprocating Saw
TID_WEAPON_SAW_21,Assault Reciprocating Saw
TID_WEAPON_SAW_22,Elegant Reciprocating Saw
TID_WEAPON_SAW_23,Jagged Reciprocating Saw
TID_WEAPON_SAW_24,Street Wise Reciprocating Saw
TID_WEAPON_SAW_25,Radical Reciprocating Saw
TID_WEAPON_SAW_26,Boosted Reciprocating Saw
TID_WEAPON_SAW_27,Greater Reciprocating Saw
TID_WEAPON_SAW_28,Elegant Circular Saw
TID_WEAPON_SAW_29,Assault Circular Saw
TID_WEAPON_SAW_30,Boosted Circular Saw
TID_WEAPON_SAW_31,Acute Circular Saw
TID_WEAPON_SAW_32,Jagged Circular Saw
TID_WEAPON_SAW_33,Common Saw
TID_WEAPON_SAW_34,Simple Saw
TID_WEAPON_SAW_35,Typical Saw
TID_WEAPON_SAW_36,Usual Saw
TID_WEAPON_SAW_37,Plain Saw
TID_WEAPON_SAW_38,Street Wise Saw
TID_WEAPON_SAW_39,First-Class Saw
TID_WEAPON_SAW_40,Worthy Saw
TID_WEAPON_SAW_41,Singular Saw
TID_WEAPON_SAW_42,Nifty Saw
TID_WEAPON_SAW_43,Crude Saw
TID_WEAPON_SAW_44,Standard Saw
TID_WEAPON_SAW_45,Ideal Saw
TID_WEAPON_SAW_46,Excellent Saw
TID_WEAPON_SAW_47,Advanced Chainsaw
TID_WEAPON_SAW_48,Lousy Chainsaw
TID_WEAPON_SAW_49,Awesome Chainsaw
TID_WEAPON_SAW_50,Usual Chainsaw
TID_WEAPON_SAW_51,Street Credible Chainsaw
TID_WEAPON_SAW_52,Brutal Chainsaw
TID_WEAPON_SAW_53,High-Power Chainsaw
TID_WEAPON_SAW_54,Crappy Chainsaw
TID_WEAPON_SAW_55,Massive Chainsaw
TID_WEAPON_SAW_56,Marvelous Chainsaw
TID_WEAPON_SAW_57,Chainsaw XX-30
TID_WEAPON_SAW_58,Chainsaw X-11
TID_WEAPON_SAW_59,Chainsaw X-15
TID_WEAPON_SAW_60,Chainsaw X-21
TID_WEAPON_SAW_61,Chainsaw X-27
TID_WEAPON_SAW_62,Spare Sentrybot Part
TID_WEAPON_SAW_63,Chainsaw X-30
