Name,NPCItem,EquipmentClass,ClothClass,RequiredLevel,Rarity,Tier,Enhancement,Texture,FemaleTexture,LootDisabled,PostToSocialNetworks
NPC Male Hooligans Shoes 01,true,Boots,,1,Common,,,graphics/3d/character/shoes/npc_hooligans_boots_01.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male Hooligans Shoes 02,true,Shoes,,1,Common,,,graphics/3d/character/shoes/npc_hooligans_sneakers_01.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male Mad Dogs Shoes 01,true,Boots,,1,Common,,,graphics/3d/character/shoes/npc_mad_dogs_boots_01.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male Mad Dogs Shoes 02,true,Shoes,,1,Common,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male 13 Diablos Shoes 01,true,Shoes,,1,Common,,,graphics/3d/character/shoes/sneakers_03_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male 13 Diablos Shoes 02,true,Shoes,,1,Common,,,graphics/3d/character/shoes/sneakers_02_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male Hired Guns Shoes 01,true,Shoes,,1,Common,,,graphics/3d/character/shoes/npc_hooligans_boots_01.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male Hired Guns Shoes 02,true,Shoes,,1,Common,,,graphics/3d/character/shoes/shoes_outfit_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male Voodoo Shoes 01,true,Shoes,,1,Common,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Male Voodoo Shoes 02,true,Shoes,,1,Common,,,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Female Valkyries Shoes 01,true,Shoes,,1,Common,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/npc_valkyries_boots_01.png,TRUE,
NPC Female Valkyries Shoes 02,true,Shoes,,1,Common,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/npc_valkyries_boots_02.png,TRUE,
NPC Female Eastern Queens Shoes 01,true,Shoes,,1,Common,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/npc_eastern_queens_shoes_01.png,TRUE,
NPC Female Eastern Queens Shoes 02,true,Shoes,,1,Common,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/npc_eastern_queens_sockshoes_01.png,TRUE,
Standard Boots,,Boots,Large,1,Common,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
Universal Boots,,Boots,Large,5,Common,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
Average Boots,,Boots,Large,7,Common,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
Basic Boots,,Boots,Large,24,Common,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,TRUE,
Everyday Black Shoes,,Black Shoes,Large,4,Common,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Regular Black Shoes,,Black Shoes,Large,6,Common,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Popular Black Shoes,,Black Shoes,Large,11,Common,,,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Common Black Shoes,,Black Shoes,Large,13,Common,,,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Simple Black Shoes,,Black Shoes,Large,18,Common,,,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Typical Black Shoes,,Black Shoes,Large,19,Common,,,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Usual Black Shoes,,Black Shoes,Large,20,Common,,,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Popular Sneakers,,Sneakers,Large,13,Common,,,graphics/3d/character/shoes/sneakers_01_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,
Common Sneakers,,Sneakers,Large,18,Common,,,graphics/3d/character/shoes/sneakers_02_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,
Simple Sneakers,,Sneakers,Large,21,Common,,,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,TRUE,
Typical Sneakers,,Sneakers,Large,23,Common,,,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,TRUE,
Usual Sneakers,,Sneakers,Large,25,Common,,,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,TRUE,
Standard Dark Sneakers,,Dark Sneakers,Large,18,Common,,,graphics/3d/character/shoes/sneakers_06_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,
Everyday Boots,,Boots,Small,1,Common,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
Regular Boots,,Boots,Small,5,Common,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
Popular Boots,,Boots,Small,7,Common,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
Common Boots,,Boots,Small,24,Common,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,TRUE,
Plain Black Shoes,,Black Shoes,Small,4,Common,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Standard Black Shoes,,Black Shoes,Small,6,Common,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Universal Black Shoes,,Black Shoes,Small,11,Common,,,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Average Black Shoes,,Black Shoes,Small,13,Common,,,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Basic Black Shoes,,Black Shoes,Small,18,Common,,,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Plain Sneakers,,Sneakers,Small,13,Common,,,graphics/3d/character/shoes/sneakers_01_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,
Standard Sneakers,,Sneakers,Small,18,Common,,,graphics/3d/character/shoes/sneakers_02_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,
Universal Sneakers,,Sneakers,Small,21,Common,,,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,TRUE,
Average Sneakers,,Sneakers,Small,23,Common,,,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,TRUE,
Basic Sneakers,,Sneakers,Small,25,Common,,,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,TRUE,
Everyday Sneakers,,Sneakers,Small,24,Common,,,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,
NPC Poor Shoes,true,Shoes,,3,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Dirty Shoes,,Shoes,Large,3,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Shitty Shoes,,Shoes,Large,6,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Battered Shoes,,Shoes,Large,9,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Cracked Shoes,,Shoes,Large,12,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Broken Shoes,,Shoes,Large,15,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Cracked Open Shoes,,Open Shoes,Large,18,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Broken Open Shoes,,Open Shoes,Large,21,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Ragged Open Shoes,,Open Shoes,Large,24,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Worn Open Shoes,,Open Shoes,Large,27,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Old Open Shoes,,Open Shoes,Large,30,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Dirty Black Shoes,,Black Shoes,Small,20,Poor,,,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Ragged Shoes,,Shoes,Small,3,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Worn Shoes,,Shoes,Small,6,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Old Shoes,,Shoes,Small,9,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Lame Shoes,,Shoes,Small,12,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Warped Shoes,,Shoes,Small,15,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Lame Open Shoes,,Open Shoes,Small,18,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Warped Open Shoes,,Open Shoes,Small,21,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Lousy Open Shoes,,Open Shoes,Small,24,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Worthless Open Shoes,,Open Shoes,Small,27,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Poor Open Shoes,,Open Shoes,Small,30,Poor,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Battered Sneakers,,Sneakers,Small,22,Poor,,,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,
Dawnbreak Sneakers,,Sneakers,Large,,Poor,,,graphics/3d/character/shoes/start_shoest_male.png,graphics/3d/character/shoes/start_shoest_female.png,TRUE,
Dawnbreak Shoes,,Sneakers,Small,,Poor,,,graphics/3d/character/shoes/start_shoest_male.png,graphics/3d/character/shoes/start_shoest_female.png,TRUE,
Superfine Brown Shoes,,Brown Shoes,Large,19,Rare,,of the Judgment,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Jagged White Sneakers,,White Sneakers,Large,28,Rare,,of the Destroyer,graphics/3d/character/shoes/sneakers_03_m.png,graphics/3d/character/shoes/sneakers_03_f.png,TRUE,TRUE
Radical White Sneakers,,White Sneakers,Large,29,Rare,,of the Painmaker,graphics/3d/character/shoes/sneakers_03_m.png,graphics/3d/character/shoes/sneakers_03_f.png,TRUE,TRUE
