Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,ShopRecommend,LootDisabled,Tier,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Whisper Moccasins,Black Boots,Small,30,Epic,,,TRUE,,of 6th Sense,graphics/3d/character/shoes/hunter_set_m30_shoes.png,graphics/3d/character/shoes/hunter_set_m30_shoes.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Panacea Pumps,Black Boots,Small,30,Epic,,,TRUE,,of 6th Sense,graphics/3d/character/shoes/doctor_set_m30_shoes.png,graphics/3d/character/shoes/doctor_set_m30_shoes.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Bouncer Steeltips,Black Boots,Large,30,Epic,,,TRUE,,of the Painmaker,graphics/3d/character/shoes/tank_set_m30_shoes.png,graphics/3d/character/shoes/tank_set_m30_shoes.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Worn Trainers,Black Boots,Small,4,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Black Trainers,Black Boots,Small,9,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Brand New Trainers,Black Boots,Small,12,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Pump Trainers,Black Boots,Small,16,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Soft-soled Sneakers,Black Boots,Small,20,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Parkour Sneakers,Black Boots,Small,24,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Gyroscopic Sneakers,Black Boots,Small,28,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Used Moccasins,Black Boots,Small,7,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Squeaky Moccasins,Black Boots,Small,10,Uncommon,,,TRUE,,of the Hunter,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Brand New Moccasins,Black Boots,Small,13,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Comfortable Moccasins,Black Boots,Small,15,Uncommon,,,TRUE,,of the Hunter,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Bowhunter's Moccasins,Black Boots,Small,18,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Smooth Walkers,Black Boots,Small,21,Uncommon,,,TRUE,,of the Hunter,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Swift Walkers,Black Boots,Small,23,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Sleep Walkers,Black Boots,Small,26,Uncommon,,,TRUE,,of the Hunter,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Fire Walkers,Black Boots,Small,30,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Moon Walkers,Black Boots,Small,30,Uncommon,,,TRUE,,of the Hunter,graphics/3d/character/shoes/sneakers_04_m.png,graphics/3d/character/shoes/sneakers_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Rust Buckles,Black Boots,Small,4,Rare,TRUE,,TRUE,,of the Ambusher,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Fake Buckles,Black Boots,Small,5,Rare,,,TRUE,,of the Assassin,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Steel Buckles,Black Boots,Small,7,Rare,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Silver Buckles,Black Boots,Small,10,Rare,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Titanium Buckles,Black Boots,Small,13,Rare,TRUE,,TRUE,,of the Ambusher,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Razor Buckles,Black Boots,Small,16,Rare,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Midnight Boots,Black Boots,Small,19,Rare,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Infiltrator Boots,Black Boots,Small,22,Rare,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Rouge Boots,Black Boots,Small,25,Rare,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Milehounds,Black Boots,Small,28,Rare,TRUE,,TRUE,,of the Ambusher,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
The Soleless,Black Boots,Small,30,Rare,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Wooden Studs,Black Boots,Small,3,Epic,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_06_m.png,graphics/3d/character/shoes/shoes_crappy_06_m.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Rubber Studs,Black Boots,Small,5,Epic,TRUE,,TRUE,,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_06_m.png,graphics/3d/character/shoes/shoes_crappy_06_m.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Iron Studs,Black Boots,Small,7,Epic,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/shoes_crappy_06_m.png,graphics/3d/character/shoes/shoes_crappy_06_m.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Steel Studs,Black Boots,Small,9,Epic,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_06_m.png,graphics/3d/character/shoes/shoes_crappy_06_m.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Hunter's Wooden Tips,Black Boots,Small,11,Epic,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/shoes_crappy_06_m.png,graphics/3d/character/shoes/shoes_crappy_06_m.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Hunter's Rubber Tips,Black Boots,Small,13,Epic,TRUE,TRUE,TRUE,,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_06_m.png,graphics/3d/character/shoes/shoes_crappy_06_m.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
