Name,Text
TID_SHOES_0,NPC Male Hooligans Shoes 01
TID_SHOES_1,NPC Male Hooligans Shoes 02
TID_SHOES_2,NPC Male Mad Dogs Shoes 01
TID_SHOES_3,NPC Male Mad Dogs Shoes 02
TID_SHOES_4,NPC Male 13 Diablos Shoes 01
TID_SHOES_5,NPC Male 13 Diablos Shoes 02
TID_SHOES_6,NPC Male Hired Guns Shoes 01
TID_SHOES_7,NPC Male Hired Guns Shoes 02
TID_SHOES_8,NPC Male Voodoo Shoes 01
TID_SHOES_9,NPC Male Voodoo Shoes 02
TID_SHOES_10,NPC Female Valkyries Shoes 01
TID_SHOES_11,NPC Female Valkyries Shoes 02
TID_SHOES_12,NPC Female Eastern Queens Shoes 01
TID_SHOES_13,NPC Female Eastern Queens Shoes 02
TID_SHOES_14,Standard Boots
TID_SHOES_15,Universal Boots
TID_SHOES_16,Average Boots
TID_SHOES_17,Basic Boots
TID_SHOES_18,Everyday Black Shoes
TID_SHOES_19,Regular Black Shoes
TID_SHOES_20,Popular Black Shoes
TID_SHOES_21,Common Black Shoes
TID_SHOES_22,Simple Black Shoes
TID_SHOES_23,Typical Black Shoes
TID_SHOES_24,Usual Black Shoes
TID_SHOES_25,Popular Sneakers
TID_SHOES_26,Common Sneakers
TID_SHOES_27,Simple Sneakers
TID_SHOES_28,Typical Sneakers
TID_SHOES_29,Usual Sneakers
TID_SHOES_30,Standard Dark Sneakers
TID_SHOES_31,Everyday Boots
TID_SHOES_32,Regular Boots
TID_SHOES_33,Popular Boots
TID_SHOES_34,Common Boots
TID_SHOES_35,Plain Black Shoes
TID_SHOES_36,Standard Black Shoes
TID_SHOES_37,Universal Black Shoes
TID_SHOES_38,Average Black Shoes
TID_SHOES_39,Basic Black Shoes
TID_SHOES_40,Plain Sneakers
TID_SHOES_41,Standard Sneakers
TID_SHOES_42,Universal Sneakers
TID_SHOES_43,Average Sneakers
TID_SHOES_44,Basic Sneakers
TID_SHOES_45,Everyday Sneakers
TID_SHOES_46,NPC Poor Shoes
TID_SHOES_47,Dirty Shoes
TID_SHOES_48,Shitty Shoes
TID_SHOES_49,Battered Shoes
TID_SHOES_50,Cracked Shoes
TID_SHOES_51,Broken Shoes
TID_SHOES_52,Cracked Open Shoes
TID_SHOES_53,Broken Open Shoes
TID_SHOES_54,Ragged Open Shoes
TID_SHOES_55,Worn Open Shoes
TID_SHOES_56,Old Open Shoes
TID_SHOES_57,Dirty Black Shoes
TID_SHOES_58,Ragged Shoes
TID_SHOES_59,Worn Shoes
TID_SHOES_60,Old Shoes
TID_SHOES_61,Lame Shoes
TID_SHOES_62,Warped Shoes
TID_SHOES_63,Lame Open Shoes
TID_SHOES_64,Warped Open Shoes
TID_SHOES_65,Lousy Open Shoes
TID_SHOES_66,Worthless Open Shoes
TID_SHOES_67,Poor Open Shoes
TID_SHOES_68,Battered Sneakers
TID_SHOES_69,Dawnbreak Sneakers
TID_SHOES_70,Dawnbreak Shoes
TID_SHOES_71,Superfine Brown Shoes
TID_SHOES_72,Jagged White Sneakers
TID_SHOES_73,Radical White Sneakers
TID_SHOES_74,First-Class White Sneakers
TID_SHOES_75,Excellent Brown Shoes
TID_SHOES_76,Outstanding White Sneakers
TID_SHOES_77,Superfine White Sneakers
TID_SHOES_78,Excellent White Sneakers
TID_SHOES_79,Worthy Boots
TID_SHOES_80,Boosted Boots
TID_SHOES_81,Worthy Black Boots
TID_SHOES_82,Boosted Black Boots
TID_SHOES_83,Acute Black Boots
TID_SHOES_84,Great Black Shoes
TID_SHOES_85,Cool Black Shoes
TID_SHOES_86,Good Black Shoes
TID_SHOES_87,Cool Brown Shoes
TID_SHOES_88,Good Brown Shoes
TID_SHOES_89,Good Sneakers
TID_SHOES_90,Fine Sneakers
TID_SHOES_91,Credible Sneakers
TID_SHOES_92,Street Wise Sneakers
TID_SHOES_93,Worthy Sneakers
TID_SHOES_94,Boosted Sneakers
TID_SHOES_95,Acute Sneakers
TID_SHOES_96,Acute Dark Sneakers
TID_SHOES_97,Genuine Dark Sneakers
TID_SHOES_98,Acute Boots
TID_SHOES_99,Genuine Boots
TID_SHOES_100,Street Wise Black Boots
TID_SHOES_101,Genuine Black Boots
TID_SHOES_102,Special Black Boots
TID_SHOES_103,Fine Black Shoes
TID_SHOES_104,Credible Black Shoes
TID_SHOES_105,Street Wise Black Shoes
