Name,Text
TID_SHOES_NEW_0,Whisper Moccasins
TID_SHOES_NEW_1,Panacea Pumps
TID_SHOES_NEW_2,Bouncer Steeltips
TID_SHOES_NEW_3,Worn Trainers
TID_SHOES_NEW_4,Black Trainers
TID_SHOES_NEW_5,Brand New Trainers
TID_SHOES_NEW_6,Pump Trainers
TID_SHOES_NEW_7,Soft-soled Sneakers
TID_SHOES_NEW_8,Parkour Sneakers
TID_SHOES_NEW_9,Gyroscopic Sneakers
TID_SHOES_NEW_10,Used Moccasins
TID_SHOES_NEW_11,Squeaky Moccasins
TID_SHOES_NEW_12,Brand New Moccasins
TID_SHOES_NEW_13,Comfortable Moccasins
TID_SHOES_NEW_14,Bowhunter's Moccasins
TID_SHOES_NEW_15,Smooth Walkers
TID_SHOES_NEW_16,Swift Walkers
TID_SHOES_NEW_17,Sleep Walkers
TID_SHOES_NEW_18,Fire Walkers
TID_SHOES_NEW_19,Moon Walkers
TID_SHOES_NEW_20,Rust Buckles
TID_SHOES_NEW_21,Fake Buckles
TID_SHOES_NEW_22,Steel Buckles
TID_SHOES_NEW_23,Silver Buckles
TID_SHOES_NEW_24,Titanium Buckles
TID_SHOES_NEW_25,Razor Buckles
TID_SHOES_NEW_26,Midnight Boots
TID_SHOES_NEW_27,Infiltrator Boots
TID_SHOES_NEW_28,Rouge Boots
TID_SHOES_NEW_29,Milehounds
TID_SHOES_NEW_30,The Soleless
TID_SHOES_NEW_31,Wooden Studs
TID_SHOES_NEW_32,Rubber Studs
TID_SHOES_NEW_33,Iron Studs
TID_SHOES_NEW_34,Steel Studs
TID_SHOES_NEW_35,Hunter's Wooden Tips
TID_SHOES_NEW_36,Hunter's Rubber Tips
TID_SHOES_NEW_37,Hunter's Iron Tips
TID_SHOES_NEW_38,Hunter's Steel Tips
TID_SHOES_NEW_39,Balancing Shoes
TID_SHOES_NEW_40,Stabilizing Shoes
TID_SHOES_NEW_41,Gyro Shoes
TID_SHOES_NEW_42,Dancing Shoes
TID_SHOES_NEW_43,Titanium Studs
TID_SHOES_NEW_44,Spike Studs
TID_SHOES_NEW_45,Nanotube Studs
TID_SHOES_NEW_46,Net-Surfing Boots
TID_SHOES_NEW_47,Boots-of-the-Puss
TID_SHOES_NEW_48,Worn Hiking Shoes
TID_SHOES_NEW_49,Squeaky Hiking Shoes
TID_SHOES_NEW_50,Brand New Hiking Shoes
TID_SHOES_NEW_51,Comfortable Hiking Shoes
TID_SHOES_NEW_52,Glitter Shoes
TID_SHOES_NEW_53,Glamour Shoes
TID_SHOES_NEW_54,Extreme Glitter Shoes
TID_SHOES_NEW_55,Rubber Boots
TID_SHOES_NEW_56,Para Boots
TID_SHOES_NEW_57,Sailing Boots
TID_SHOES_NEW_58,Worn-heeled Boots
TID_SHOES_NEW_59,Well-heeled Boots
TID_SHOES_NEW_60,No-Heels
TID_SHOES_NEW_61,Smooth Heels
TID_SHOES_NEW_62,Pro Heels
TID_SHOES_NEW_63,Salaryman Shoes
TID_SHOES_NEW_64,Max Heels
TID_SHOES_NEW_65,Worn Suede Shoes
TID_SHOES_NEW_66,Stylish Suede Shoes
TID_SHOES_NEW_67,Sleek Suede Shoes
TID_SHOES_NEW_68,Polished Suede Shoes
TID_SHOES_NEW_69,Doctor's Suede Shoes
TID_SHOES_NEW_70,Blue Suede Shoes
TID_SHOES_NEW_71,Healer's Shoes
TID_SHOES_NEW_72,Doctor's Shoes
TID_SHOES_NEW_73,Surgical Shoes
TID_SHOES_NEW_74,Elite Doctor's Shoes
TID_SHOES_NEW_75,Dr. Panacea
TID_SHOES_NEW_76,Golf Shoes
TID_SHOES_NEW_77,Chicken Skins
TID_SHOES_NEW_78,Cow Skins
TID_SHOES_NEW_79,Lizard Skins
TID_SHOES_NEW_80,Gator Skins
TID_SHOES_NEW_81,Wolf Skins
TID_SHOES_NEW_82,Zebra Skins
TID_SHOES_NEW_83,Synth Skins
TID_SHOES_NEW_84,Casual Slippers
TID_SHOES_NEW_85,Slippy Slippers
TID_SHOES_NEW_86,Pro Slippers
TID_SHOES_NEW_87,Healer's Slippers
TID_SHOES_NEW_88,Surgeon's Slippers
TID_SHOES_NEW_89,Wicked Slippers
TID_SHOES_NEW_90,Iron Flipflops
TID_SHOES_NEW_91,The Go-Getters
TID_SHOES_NEW_92,Heel Plz
TID_SHOES_NEW_93,Cotton Kick'rs
TID_SHOES_NEW_94,Can Kick'rs
TID_SHOES_NEW_95,Bin Kick'rs
TID_SHOES_NEW_96,Shin Kick'rs
TID_SHOES_NEW_97,Brawny Shoes
TID_SHOES_NEW_98,Grounded Shoes
TID_SHOES_NEW_99,Strongman Shoes
TID_SHOES_NEW_100,Wooden Heelers
TID_SHOES_NEW_101,Rubber Heelers
TID_SHOES_NEW_102,Spring Heelers
TID_SHOES_NEW_103,Steel Heelers
TID_SHOES_NEW_104,Teamster Shoes
TID_SHOES_NEW_105,Steel Kick'rs
TID_SHOES_NEW_106,Wicker Kick'rs
TID_SHOES_NEW_107,Titanium Kick'rs
TID_SHOES_NEW_108,Mountain Kick'rs
TID_SHOES_NEW_109,Meteor Kick'rs
TID_SHOES_NEW_110,Mud Tramplers
TID_SHOES_NEW_111,Swamp Tramplers
TID_SHOES_NEW_112,Street Tramplers
TID_SHOES_NEW_113,Desert Tramplers
TID_SHOES_NEW_114,Dune Tramplers
TID_SHOES_NEW_115,Island Tramplers
TID_SHOES_NEW_116,Leather Footstraps
TID_SHOES_NEW_117,Bear Skins
TID_SHOES_NEW_118,Rhino Skins
TID_SHOES_NEW_119,Mammoth Skins
TID_SHOES_NEW_120,Sole Hole in the Sole
TID_SHOES_NEW_121,Solid Boots
TID_SHOES_NEW_122,Wading Boots
TID_SHOES_NEW_123,Biker Boots
TID_SHOES_NEW_124,Steel-Studded Boots
TID_SHOES_NEW_125,Impressive Boots
TID_SHOES_NEW_126,Colossal Boots
TID_SHOES_NEW_127,Perfect Boots
TID_SHOES_NEW_128,Dominator Boots
TID_SHOES_NEW_129,Wrapped Tips
TID_SHOES_NEW_130,Studded Tips
TID_SHOES_NEW_131,Spiked Tips
TID_SHOES_NEW_132,Razor Tips
TID_SHOES_NEW_133,Nanoblade Tips
TID_SHOES_NEW_134,Concrete Crushers
TID_SHOES_NEW_135,Steel Crushers
TID_SHOES_NEW_136,Bone Crushers
TID_SHOES_NEW_137,Kickabout
TID_SHOES_NEW_138,Bot Master Boots
TID_SHOES_NEW_139,Bot Trampling Boots
TID_SHOES_NEW_140,Lava Walkers
TID_SHOES_NEW_141,Lava Waders
TID_SHOES_NEW_142,Pest Squishers
TID_SHOES_NEW_143,Mite Stompers
TID_SHOES_NEW_144,Ninja Geta
TID_SHOES_NEW_145,Cat's Paw Boots
TID_SHOES_NEW_146,Stone Soles
TID_SHOES_NEW_147,The Foundation
TID_SHOES_NEW_148,Rubber Soles
TID_SHOES_NEW_149,Crudkickers
TID_SHOES_NEW_150,Edward
TID_SHOES_NEW_151,Alphonse
TID_SHOES_NEW_152,Worthy Walkers
TID_SHOES_NEW_153,Boosted Walkers
TID_SHOES_NEW_154,Acute Walkers
TID_SHOES_NEW_155,Genuine Walkers
TID_SHOES_NEW_156,Singular Walkers
TID_SHOES_NEW_157,Exquisite Walkers
TID_SHOES_NEW_158,High Power Walkers
