Name,WeaponClass,RequiredLevel,Rarity,Tier,DiamondsOnly,DiamondCostExact,Enhancement,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,PlaceableInEditor
Regular 12G Shotgun,12ga Shotgun,4,Common,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Average 12G Shotgun,12ga Shotgun,6,Common,,,,,,,,,,,,,,,,,TRUE,,,
Basic 12G Shotgun,12ga Shotgun,10,Common,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Common 12G Shotgun,12ga Shotgun,16,Common,,,,,,,,,,,,,,,,,TRUE,,,
Simple 12G Shotgun,12ga Shotgun,21,Common,,,,,,,,,,,,,,,,,TRUE,,,
Typical 12G Shotgun,12ga Shotgun,25,Common,,,,,,,,,,,,,,,,,TRUE,,,
Usual 12G Shotgun,12ga Shotgun,30,Common,,,,,,,,,,,,,,,,,TRUE,,,
Basic 20G Shotgun,20ga Shotgun,3,Common,,,,,,,,,,,,,,,,,TRUE,,,
Standard 20G Shotgun,20ga Shotgun,8,Common,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Everyday 20G Shotgun,20ga Shotgun,13,Common,,,,,,,,,,,,,,,,,TRUE,,,
Regular 20G Shotgun,20ga Shotgun,19,Common,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Popular 20G Shotgun,20ga Shotgun,26,Common,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Basic 12G Double,12ga Double Barrel,2,Common,,,,,,,,,,,,,,,,,TRUE,,,
Common 12G Double,12ga Double Barrel,5,Common,,,,,,,,,,,,,,,,,TRUE,,,
Simple 12G Double,12ga Double Barrel,6,Common,,,,,,,,,,,,,,,,,TRUE,,,
Average 12G Double,12ga Double Barrel,11,Common,,,,,,,,,,,,,,,,,TRUE,,,
Typical 12G Double,12ga Double Barrel,18,Common,,,,,,,,,,,,,,,,,TRUE,,,
Everyday 12G Double,12ga Double Barrel,20,Common,,,,,,,,,,,,,,,,,TRUE,,,
Usual 12G Double,12ga Double Barrel,22,Common,,,,,,,,,,,,,,,,,TRUE,,,
Basic 12G Sawed-off,12ga Sawed-off,2,Common,,,,,,,,,,,,,,,,,TRUE,,,
Simple 12G Sawed-off,12ga Sawed-off,3,Common,,,,,,,,,,,,,,,,,TRUE,,,
Average 12G Sawed-off,12ga Sawed-off,5,Common,,,,,,,,,,,,,,,,,TRUE,,,
Typical 12G Sawed-off,12ga Sawed-off,10,Common,,,,,,,,,,,,,,,,,TRUE,,,
Usual 12G Sawed-off,12ga Sawed-off,10,Common,,,,,,,,,,,,,,,,,TRUE,,,
Plain 12G Sawed-off,12ga Sawed-off,14,Common,,,,,,,,,,,,,,,,,TRUE,,,
Regular 12G Sawed-off,12ga Sawed-off,20,Common,,,,,,,,,,,,,,,,,TRUE,,,
Standard 12G Sawed-off,12ga Sawed-off,23,Common,,,,,,,,,,,,,,,,,TRUE,,,
Popular 12G Sawed-off,12ga Sawed-off,25,Common,,,,,,,,,,,,,,,,,TRUE,,,
Normal 12G Sawed-off,12ga Sawed-off,30,Common,,,,,,,,,,,,,,,,,TRUE,,,
Standard 12G Shotgun,12ga Shotgun,1,Common,,,,,,,,,,,,,,,,,TRUE,,,
Normal 12G Double,12ga Double Barrel,1,Common,,,,,,,,,,,,,,,,,TRUE,,,
Common 12G Sawed-off,12ga Sawed-off,1,Common,,,,,,,,,,,,,,,,,TRUE,,,
Normal 20G Shotgun,20ga Shotgun,1,Common,,,,,,,,,,,,,,,,,TRUE,,,
Crappy 12G Shotgun,12ga Shotgun,1,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Rural 12G Shotgun,12ga Shotgun,5,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Barebones 12G Shotgun,12ga Shotgun,10,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Antiquated 12G Shotgun,12ga Shotgun,15,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap 12G Shotgun,12ga Shotgun,17,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Battered 12G Shotgun,12ga Shotgun,20,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Cracked 12G Shotgun,12ga Shotgun,29,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Corroded 12G Shotgun,12ga Shotgun,30,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Crappy 20G Shotgun,20ga Shotgun,1,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Antiquated 20G Shotgun,20ga Shotgun,2,Poor,,,,,,,,,,,,,,,,,TRUE,,,
