Name,Text
TID_WEAPON_SHOTGUN_0,Regular 12G Shotgun
TID_WEAPON_SHOTGUN_1,Average 12G Shotgun
TID_WEAPON_SHOTGUN_2,Basic 12G Shotgun
TID_WEAPON_SHOTGUN_3,Common 12G Shotgun
TID_WEAPON_SHOTGUN_4,Simple 12G Shotgun
TID_WEAPON_SHOTGUN_5,Typical 12G Shotgun
TID_WEAPON_SHOTGUN_6,Usual 12G Shotgun
TID_WEAPON_SHOTGUN_7,Basic 20G Shotgun
TID_WEAPON_SHOTGUN_8,Standard 20G Shotgun
TID_WEAPON_SHOTGUN_9,Everyday 20G Shotgun
TID_WEAPON_SHOTGUN_10,Regular 20G Shotgun
TID_WEAPON_SHOTGUN_11,Popular 20G Shotgun
TID_WEAPON_SHOTGUN_12,Basic 12G Double
TID_WEAPON_SHOTGUN_13,Common 12G Double
TID_WEAPON_SHOTGUN_14,Simple 12G Double
TID_WEAPON_SHOTGUN_15,Average 12G Double
TID_WEAPON_SHOTGUN_16,Typical 12G Double
TID_WEAPON_SHOTGUN_17,Everyday 12G Double
TID_WEAPON_SHOTGUN_18,Usual 12G Double
TID_WEAPON_SHOTGUN_19,Basic 12G Sawed-off
TID_WEAPON_SHOTGUN_20,Simple 12G Sawed-off
TID_WEAPON_SHOTGUN_21,Average 12G Sawed-off
TID_WEAPON_SHOTGUN_22,Typical 12G Sawed-off
TID_WEAPON_SHOTGUN_23,Usual 12G Sawed-off
TID_WEAPON_SHOTGUN_24,Plain 12G Sawed-off
TID_WEAPON_SHOTGUN_25,Regular 12G Sawed-off
TID_WEAPON_SHOTGUN_26,Standard 12G Sawed-off
TID_WEAPON_SHOTGUN_27,Popular 12G Sawed-off
TID_WEAPON_SHOTGUN_28,Normal 12G Sawed-off
TID_WEAPON_SHOTGUN_29,Standard 12G Shotgun
TID_WEAPON_SHOTGUN_30,Normal 12G Double
TID_WEAPON_SHOTGUN_31,Common 12G Sawed-off
TID_WEAPON_SHOTGUN_32,Normal 20G Shotgun
TID_WEAPON_SHOTGUN_33,Crappy 12G Shotgun
TID_WEAPON_SHOTGUN_34,Rural 12G Shotgun
TID_WEAPON_SHOTGUN_35,Barebones 12G Shotgun
TID_WEAPON_SHOTGUN_36,Antiquated 12G Shotgun
TID_WEAPON_SHOTGUN_37,Piece of Crap 12G Shotgun
TID_WEAPON_SHOTGUN_38,Battered 12G Shotgun
TID_WEAPON_SHOTGUN_39,Cracked 12G Shotgun
TID_WEAPON_SHOTGUN_40,Corroded 12G Shotgun
TID_WEAPON_SHOTGUN_41,Crappy 20G Shotgun
TID_WEAPON_SHOTGUN_42,Antiquated 20G Shotgun
TID_WEAPON_SHOTGUN_43,Piece of Crap 20G Shotgun
TID_WEAPON_SHOTGUN_44,Battered 20G Shotgun
TID_WEAPON_SHOTGUN_45,Barebones 20G Shotgun
TID_WEAPON_SHOTGUN_46,Cracked 20G Shotgun
TID_WEAPON_SHOTGUN_47,Broken 20G Shotgun
TID_WEAPON_SHOTGUN_48,Crappy 12G Double
TID_WEAPON_SHOTGUN_49,Antiquated 12G Double
TID_WEAPON_SHOTGUN_50,Piece of Crap 12G Double
TID_WEAPON_SHOTGUN_51,Battered 12G Double
TID_WEAPON_SHOTGUN_52,Cracked 12G Double
TID_WEAPON_SHOTGUN_53,Crappy 12G Sawed-off
TID_WEAPON_SHOTGUN_54,Antiquated 12G Sawed-off
TID_WEAPON_SHOTGUN_55,Piece of Crap 12G Sawed-off
TID_WEAPON_SHOTGUN_56,Cracked 12G Sawed-off
TID_WEAPON_SHOTGUN_57,Broken 12G Sawed-off
TID_WEAPON_SHOTGUN_58,Corroded 12G Sawed-off
TID_WEAPON_SHOTGUN_59,Crude 12G Sawed-off
TID_WEAPON_SHOTGUN_60,Wacky 12G Shotgun
TID_WEAPON_SHOTGUN_61,High-Power 12G Shotgun
TID_WEAPON_SHOTGUN_62,Tough 12G Shotgun
TID_WEAPON_SHOTGUN_63,Superior 12G Shotgun
TID_WEAPON_SHOTGUN_64,Gruesome 12G Shotgun
TID_WEAPON_SHOTGUN_65,Assault 12G Shotgun
