Name,Text
TID_TOOLTIP_SKILL_Taunt,Taunts the enemy to get their attention.
TID_TOOLTIP_SKILL_BulletRain,Deals <DAMAGE> damage to the target and enemies around the target.
TID_TOOLTIP_SKILL_EnemyDemoralizer,Decreases the melee power of the surrounding enemies for <BUFF_DURATION> and causes a high threat.
TID_TOOLTIP_SKILL_Slammer,"Smash the ground to create an impact throwing all the enemies back, dealing <DAMAGE> additional damage."
TID_TOOLTIP_SKILL_MegaStrike,A megalomanic strike dealing <DAMAGE> additional damage to your normal attack. Causes a high amount of threat.
TID_TOOLTIP_SKILL_MassBlackout,Stuns all the hostile targets within <AOE_RADIUS> for <BUFF_DURATION>.
TID_TOOLTIP_SKILL_Supporter,Grants all the friendly characters within <AOE_RADIUS> <BUFF_STAMINA> stamina for <BUFF_DURATION>.
TID_TOOLTIP_SKILL_Energizer,Restores <BUFF_ENERGY> energy over <BUFF_DURATION> with the cost of instantly losing 15 health.
TID_TOOLTIP_SKILL_Deception,Weapon stike that reduces enemy armor by <BUFF_ARMOR%> for <BUFF_DURATION>.
TID_TOOLTIP_SKILL_LegBreaker,Deals additional <DAMAGE> damage to basic damage. Slows down the target for <BUFF_DURATION>.
TID_TOOLTIP_SKILL_ToxicAvenge,Powerful toxic that spreads amongst the enemies for <BUFF_DURATION>. Targets under the influence suffer <BUFF_DAMAGE> damage over time.
TID_TOOLTIP_SKILL_SyanideSurprise,Decreases enemy's armor by <BUFF_ARMOR%> while causing <BUFF_DAMAGE> damage over <BUFF_DURATION>.
TID_TOOLTIP_SKILL_PoisonShot,Decreases skill and movement speed of the enemy and causes <BUFF_DAMAGE> damage over <BUFF_DURATION>.
TID_TOOLTIP_SKILL_NerveGas,Decreases the movement and skill speed of all enemies around the target for <BUFF_DURATION>.
TID_TOOLTIP_SKILL_MedicalTreatment,Use your blade for surgeric treatment and heal your fellow party members with <DAMAGE> healing bonus.
TID_TOOLTIP_SKILL_Twirler,Deals additional <DAMAGE> bonus damage to all surrounding enemies. Causes a high threat.
TID_TOOLTIP_SKILL_AimedShot,Deals additional <DAMAGE> damage to basic damage. Stuns the enemy for <BUFF_DURATION>.
TID_TOOLTIP_SKILL_TraumaShot,Deals additional <DAMAGE> damage to basic damage. Also stuns the target and decreases the armor by <BUFF_ARMOR> for <BUFF_DURATION>.
TID_TOOLTIP_SKILL_ObnoxiousShot,Deals additional <DAMAGE> damage to basic damage and slows down the enemies in <AOE_RADIUS> radius over the target.
