Name,RequiredWeaponClass,RequiredLevel,Rarity,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,CraftCost,DiamondsOnly,DiamondCost,EnergyCost,CoolDown,Cast,Threat,HealthCost,Projectile,TargetFilter,Range,AoeRadius,AoeFilter,MinDamage,MaxDamage,MinEnergy,MaxEnergy,PushBack,Animation,WeaponClassAnimation,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffMoney,BuffExperience,BuffArmor,BuffArmor%,BuffIntelligence,BuffAgility,BuffStrength,BuffStamina,BuffEnergy,BuffDamage,BuffEffect,SpecialWeapon
Savage Strike,Melee Weapon,3,Common,,1,,100,,1,10,30000,500,70,,,enemy,,,,1,2,,,,Melee03,,2,TID_TOOLTIP_SKILL_SavageStrike,,Skill_FX_Slammer,Skill_FX_Twirler_Hit,,,,,,Trail,,,5000,35,friendly,,,-40,,,,,,,,,,,,
,,5,,,5,,200,,1,15,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,5500,,friendly,,,-40,,,,,,,,,,,,
,,7,,,20,,300,,1,20,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,6000,,friendly,,,-40,,,,,,,,,,,,
,,9,,1,,,400,,1,22,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,6500,,friendly,,,-40,,,,,,,,,,,,
,,11,,2,,,500,,1,24,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,7000,,friendly,,,-40,,,,,,,,,,,,
,,14,,4,,,600,,1,26,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,7500,,friendly,,,-40,,,,,,,,,,,,
,,17,,6,,,700,,1,28,,,,,,,,,,8,9,,,,,,,,,,,,,,,,,,,8000,,friendly,,,-40,,,,,,,,,,,,
,,20,,8,,,800,,1,30,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,8500,,friendly,,,-40,,,,,,,,,,,,
,,25,,10,,,900,,1,32,,,,,,,,,,12,13,,,,,,,,,,,,,,,,,,,9000,,friendly,,,-40,,,,,,,,,,,,
,,30,,18,,,1000,,1,34,,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,9500,,friendly,,,-40,,,,,,,,,,,,
Harden,,4,Common,,1,,100,,1,30,75000,0,80,,,self,,,,,,,,,Rage,,8,TID_TOOLTIP_SKILL_Harden,,Skill_FX_Heavy_Armor,,,,,,,,,,40000,,,,,,,,50,,,,,,,,,
,,7,,,5,,200,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,
,,9,,,20,,300,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,
,,12,,1,,,400,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,
,,15,,2,,,500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,
,,18,,4,,,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,
,,21,,6,,,700,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,
,,24,,8,,,800,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,
,,27,,10,,,900,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,
,,30,,18,,,1000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,
