Name,AutoAttack,Deprecated,RequiredWeaponClass,RequiredLevel,Rarity,DiamondsOnly,DiamondCost,EnergyCost,CoolDown,Cast,Threat,HealthCost,TargetFilter,Range,AoeRadius,AoeFilter,MinDamage,MaxDamage,PushBack,Animation,WeaponClassAnimation,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffMoney,BuffArmor,BuffArmor%,BuffIntelligence,BuffAgility,BuffStrength,BuffStamina,BuffEnergy,BuffDamage,BuffEffect,SpecialWeapon
Melee,TRUE,,Melee Weapon,,Common,,,,,,10,,enemy,,,,,,,,SkillAnimation_AutoAttack,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoot,TRUE,,Ranged Weapon,,Common,,,,,,10,,enemy,,,,,,,,SkillAnimation_AutoAttack,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use,,,,,Common,,,,,,,,usable_object,,,,,,,,,0,,,,,,,,,,Trail,,,,,,,,,,,,,,,,,,,
Taunt,,true,,6,Common,,6,10,10000,,400,,enemy,100,,,,,,Taunt,,6,TID_TOOLTIP_SKILL_Taunt,Stun,,,,,,,,Trail,,,,,,,,,,,,,,,,,,,
Supporter,,true,,15,Common,,8,20,10000,,10,,self,80,200,friendly+self,,,,Cheer1,,16,TID_TOOLTIP_SKILL_Supporter,Skill_FX_Supporter,,Skill_FX_Supporter_Target,Shuriken,,,,,,,,300000,,,,,,,,,,,,30,,,,
,,,,20,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,
,,,,25,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
,,,,30,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,
Mega Strike,,true,Melee Weapon,9,Common,TRUE,9,30,6000,550,60,,enemy,,,,12,12,,MegaStrike,,2,TID_TOOLTIP_SKILL_MegaStrike,,,Skill_FX_MegaStrike,,,,,,Trail,,,,,,,,,,,,,,,,,,,
,,,,14,,,14,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19,,,19,,,,,,,,,,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24,,,24,,,,,,,,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29,,,29,,,,,,,,,,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rude Smash,,true,Melee Weapon,1,Common,,1,16,8000,800,30,,enemy,,,,2,3,TRUE,FatalStraight,,4,TID_TOOLTIP_SKILL_RudeSmash,,,Skill_FX_Rude_Smash,,,,,,Trail,,,,,,,,,,,,,,,,,,,
,,,,6,,,6,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,8,,,,,,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,,,8,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21,,,8,,,,,,,,,,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26,,,8,,,,,,,,,,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,,8,,,,,,,,,,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
