Name,Text
TID_WEAPON_SMG_0,Basic SMG
TID_WEAPON_SMG_1,Average SMG
TID_WEAPON_SMG_2,Universal SMG
TID_WEAPON_SMG_3,Everyday SMG
TID_WEAPON_SMG_4,Standard SMG
TID_WEAPON_SMG_5,Popular SMG
TID_WEAPON_SMG_6,Common SMG
TID_WEAPON_SMG_7,Simple SMG
TID_WEAPON_SMG_8,Rusted SMG
TID_WEAPON_SMG_9,Crappy SMG
TID_WEAPON_SMG_10,Poor SMG
TID_WEAPON_SMG_11,Shoddy SMG
TID_WEAPON_SMG_12,Inferior SMG
TID_WEAPON_SMG_13,Rural SMG
TID_WEAPON_SMG_14,Barebones SMG
TID_WEAPON_SMG_15,Antiquated SMG
TID_WEAPON_SMG_16,Exquisite SMG
TID_WEAPON_SMG_17,Respectable SMG
TID_WEAPON_SMG_18,Crazy SMG
TID_WEAPON_SMG_19,Extreme SMG
TID_WEAPON_SMG_20,Outstanding SMG
TID_WEAPON_SMG_21,Wacky SMG
TID_WEAPON_SMG_22,High-Power SMG
TID_WEAPON_SMG_23,Tough SMG
TID_WEAPON_SMG_24,Okayish SMG
TID_WEAPON_SMG_25,Boosted SMG
TID_WEAPON_SMG_26,Great SMG
TID_WEAPON_SMG_27,Acute SMG
TID_WEAPON_SMG_28,Advanced SMG
TID_WEAPON_SMG_29,Street Credible SMG
TID_WEAPON_SMG_30,Cool SMG
TID_WEAPON_SMG_31,Massive SMG
TID_WEAPON_SMG_32,Illegal SMG
TID_WEAPON_SMG_33,Brutal SMG
TID_WEAPON_SMG_34,Righteuous SMG
TID_WEAPON_SMG_35,Victorious SMG
TID_WEAPON_SMG_36,First Class SMG
TID_WEAPON_SMG_37,Singular SMG
