Name,WeaponClass,RequiredLevel,Rarity,Tier,DiamondsOnly,Enhancement,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,GameMoneyCost,RealMoneyCost,Icon,PostToSocialNetworks
Basic 7.62mm Gas-Operated,7.62mm Gas-Operated,2,Common,,,,,,,,,,,,,,,,TRUE,40,100,,TRUE
Universal 7.62mm Gas-Operated,7.62mm Gas-Operated,8,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Average 7.62mm Gas-Operated,7.62mm Gas-Operated,12,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Everyday 7.62mm Gas-Operated,7.62mm Gas-Operated,16,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Regular 7.62mm Gas-Operated,7.62mm Gas-Operated,18,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Popular 7.62mm Gas-Operated,7.62mm Gas-Operated,22,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Common 7.62mm Gas-Operated,7.62mm Gas-Operated,25,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Simple 7.62mm Gas-Operated,7.62mm Gas-Operated,29,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Plain .308 Bolt-Action,.308 Bolt-Action,4,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Standard .308 Bolt-Action,.308 Bolt-Action,6,Common,,,,,,,,,,,,,,,,TRUE,40,100,,TRUE
Normal .308 Bolt-Action,.308 Bolt-Action,7,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Universal .308 Bolt-Action,.308 Bolt-Action,13,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Basic .308 Bolt-Action,.308 Bolt-Action,18,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Average .308 Bolt-Action,.308 Bolt-Action,22,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Popular .308 Bolt-Action,.308 Bolt-Action,27,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Everyday .308 Bolt-Action,.308 Bolt-Action,28,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Basic 7.62mm Bolt-Action,7.62mm Bolt-Action,6,Common,,,,,,,,,,,,,,,,TRUE,40,100,,TRUE
Average 7.62mm Bolt-Action,7.62mm Bolt-Action,9,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Standard 7.62mm Bolt-Action,7.62mm Bolt-Action,15,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Normal 7.62mm Bolt-Action,7.62mm Bolt-Action,20,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Everyday 7.62mm Bolt-Action,7.62mm Bolt-Action,22,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Universal 7.62mm Bolt-Action,7.62mm Bolt-Action,29,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Regular 7.62mm Bolt-Action,7.62mm Bolt-Action,30,Common,,,,,,,,,,,,,,,,TRUE,40,100,,
Typical .308 Bolt-Action,.308 Bolt-Action,1,Common,,,,,,,,,,,,,,,,TRUE,120,100,,TRUE
Usual 7.62mm Bolt-Action,7.62mm Bolt-Action,1,Common,,,,,,,,,,,,,,,,TRUE,130,100,,
Plain 7.62mm Recoil-based,7.62mm Recoil-based,1,Common,,,,,,,,,,,,,,,,TRUE,140,100,,
Standard 7.62mm Gas-Operated,7.62mm Gas-Operated,1,Common,,,,,,,,,,,,,,,,TRUE,150,100,,TRUE
Rusted 7.62mm Gas-Operated,7.62mm Gas-Operated,1,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Crude 7.62mm Gas-Operated,7.62mm Gas-Operated,5,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Old 7.62mm Gas-Operated,7.62mm Gas-Operated,11,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Lame 7.62mm Gas-Operated,7.62mm Gas-Operated,13,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Brittle 7.62mm Gas-Operated,7.62mm Gas-Operated,17,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Lousy 7.62mm Gas-Operated,7.62mm Gas-Operated,24,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Crappy 7.62mm Gas-Operated,7.62mm Gas-Operated,26,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Poor 7.62mm Gas-Operated,7.62mm Gas-Operated,30,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Crappy .308 Bolt-Action,.308 Bolt-Action,1,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Cracked .308 Bolt-Action,.308 Bolt-Action,5,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Broken .308 Bolt-Action,.308 Bolt-Action,12,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
Corroded .308 Bolt-Action,.308 Bolt-Action,16,Poor,,,,,,,,,,,,,,,,TRUE,40,100,,
