Name,Text
TID_WEAPON_SNIPER_0,Basic 7.62mm Gas-Operated
TID_WEAPON_SNIPER_1,Universal 7.62mm Gas-Operated
TID_WEAPON_SNIPER_2,Average 7.62mm Gas-Operated
TID_WEAPON_SNIPER_3,Everyday 7.62mm Gas-Operated
TID_WEAPON_SNIPER_4,Regular 7.62mm Gas-Operated
TID_WEAPON_SNIPER_5,Popular 7.62mm Gas-Operated
TID_WEAPON_SNIPER_6,Common 7.62mm Gas-Operated
TID_WEAPON_SNIPER_7,Simple 7.62mm Gas-Operated
TID_WEAPON_SNIPER_8,Plain .308 Bolt-Action
TID_WEAPON_SNIPER_9,Standard .308 Bolt-Action
TID_WEAPON_SNIPER_10,Normal .308 Bolt-Action
TID_WEAPON_SNIPER_11,Universal .308 Bolt-Action
TID_WEAPON_SNIPER_12,Basic .308 Bolt-Action
TID_WEAPON_SNIPER_13,Average .308 Bolt-Action
TID_WEAPON_SNIPER_14,Popular .308 Bolt-Action
TID_WEAPON_SNIPER_15,Everyday .308 Bolt-Action
TID_WEAPON_SNIPER_16,Basic 7.62mm Bolt-Action
TID_WEAPON_SNIPER_17,Average 7.62mm Bolt-Action
TID_WEAPON_SNIPER_18,Standard 7.62mm Bolt-Action
TID_WEAPON_SNIPER_19,Normal 7.62mm Bolt-Action
TID_WEAPON_SNIPER_20,Everyday 7.62mm Bolt-Action
TID_WEAPON_SNIPER_21,Universal 7.62mm Bolt-Action
TID_WEAPON_SNIPER_22,Regular 7.62mm Bolt-Action
TID_WEAPON_SNIPER_23,Typical .308 Bolt-Action
TID_WEAPON_SNIPER_24,Usual 7.62mm Bolt-Action
TID_WEAPON_SNIPER_25,Plain 7.62mm Recoil-based
TID_WEAPON_SNIPER_26,Standard 7.62mm Gas-Operated
TID_WEAPON_SNIPER_27,Rusted 7.62mm Gas-Operated
TID_WEAPON_SNIPER_28,Crude 7.62mm Gas-Operated
TID_WEAPON_SNIPER_29,Old 7.62mm Gas-Operated
TID_WEAPON_SNIPER_30,Lame 7.62mm Gas-Operated
TID_WEAPON_SNIPER_31,Brittle 7.62mm Gas-Operated
TID_WEAPON_SNIPER_32,Lousy 7.62mm Gas-Operated
TID_WEAPON_SNIPER_33,Crappy 7.62mm Gas-Operated
TID_WEAPON_SNIPER_34,Poor 7.62mm Gas-Operated
TID_WEAPON_SNIPER_35,Crappy .308 Bolt-Action
TID_WEAPON_SNIPER_36,Cracked .308 Bolt-Action
TID_WEAPON_SNIPER_37,Broken .308 Bolt-Action
TID_WEAPON_SNIPER_38,Corroded .308 Bolt-Action
TID_WEAPON_SNIPER_39,Crude .308 Bolt-Action
TID_WEAPON_SNIPER_40,Old .308 Bolt-Action
TID_WEAPON_SNIPER_41,Lame .308 Bolt-Action
TID_WEAPON_SNIPER_42,Broken 7.62mm Bolt-Action
TID_WEAPON_SNIPER_43,Corroded 7.62mm Bolt-Action
TID_WEAPON_SNIPER_44,Crude 7.62mm Bolt-Action
TID_WEAPON_SNIPER_45,Antiquated 7.62mm Bolt-Action
TID_WEAPON_SNIPER_46,Old 7.62mm Bolt-Action
TID_WEAPON_SNIPER_47,Lame 7.62mm Bolt-Action
TID_WEAPON_SNIPER_48,Greater 7.62mm Recoil-based
TID_WEAPON_SNIPER_49,Awesome 7.62mm Recoil-based
TID_WEAPON_SNIPER_50,Brutal 7.62mm Recoil-based
TID_WEAPON_SNIPER_51,Wacky 7.62mm Recoil-based
TID_WEAPON_SNIPER_52,Marvelous 7.62mm Recoil-based
TID_WEAPON_SNIPER_53,Mighty 7.62mm Recoil-based
TID_WEAPON_SNIPER_54,Righteous 7.62mm Recoil-based
TID_WEAPON_SNIPER_55,Awesome 7.62mm Gas-Operated
TID_WEAPON_SNIPER_56,Brutal 7.62mm Gas-Operated
TID_WEAPON_SNIPER_57,Marvelous 7.62mm Gas-Operated
TID_WEAPON_SNIPER_58,Mighty 7.62mm Gas-Operated
TID_WEAPON_SNIPER_59,Righteous 7.62mm Gas-Operated
TID_WEAPON_SNIPER_60,Victorious 7.62mm Gas-Operated
TID_WEAPON_SNIPER_61,First-Class 7.62mm Gas-Operated
TID_WEAPON_SNIPER_62,Singular 7.62mm Gas-Operated
TID_WEAPON_SNIPER_63,Jagged .308 Bolt-Action
TID_WEAPON_SNIPER_64,Radical .308 Bolt-Action
TID_WEAPON_SNIPER_65,Greater .308 Bolt-Action
TID_WEAPON_SNIPER_66,Awesome .308 Bolt-Action
TID_WEAPON_SNIPER_67,Brutal .308 Bolt-Action
TID_WEAPON_SNIPER_68,Marvelous .308 Bolt-Action
TID_WEAPON_SNIPER_69,Mighty .308 Bolt-Action
TID_WEAPON_SNIPER_70,Radical 7.62mm Bolt-Action
TID_WEAPON_SNIPER_71,Greater 7.62mm Bolt-Action
TID_WEAPON_SNIPER_72,Awesome 7.62mm Bolt-Action
TID_WEAPON_SNIPER_73,Brutal 7.62mm Bolt-Action
TID_WEAPON_SNIPER_74,Marvelous 7.62mm Bolt-Action
TID_WEAPON_SNIPER_75,Mighty 7.62mm Bolt-Action
TID_WEAPON_SNIPER_76,Righteous 7.62mm Bolt-Action
TID_WEAPON_SNIPER_77,Victorious 7.62mm Bolt-Action
TID_WEAPON_SNIPER_78,Great 7.62mm Recoil-based
TID_WEAPON_SNIPER_79,Street Wise 7.62mm Recoil-based
TID_WEAPON_SNIPER_80,Worthy 7.62mm Recoil-based
TID_WEAPON_SNIPER_81,Illegal 7.62mm Recoil-based
TID_WEAPON_SNIPER_82,Nifty 7.62mm Recoil-based
TID_WEAPON_SNIPER_83,Ideal 7.62mm Recoil-based
TID_WEAPON_SNIPER_84,Elegant 7.62mm Recoil-based
TID_WEAPON_SNIPER_85,Boosted 7.62mm Recoil-based
TID_WEAPON_SNIPER_86,Okayish 7.62mm Gas-Operated
TID_WEAPON_SNIPER_87,Worthy 7.62mm Gas-Operated
TID_WEAPON_SNIPER_88,Nifty 7.62mm Gas-Operated
TID_WEAPON_SNIPER_89,Ideal 7.62mm Gas-Operated
TID_WEAPON_SNIPER_90,Elegant 7.62mm Gas-Operated
