Name,FileNames,FadeOutRadius,MaxVolumeRadius,MinPitch,MaxPitch,VolMin,VolMax,MultipleShots
AssaultRifle,audio/sfx/weapons/assault_rifle_01.mp3,10,25,95,105,70,75,TRUE
,audio/sfx/weapons/assault_rifle_02.mp3,,,,,70,75,
,audio/sfx/weapons/assault_rifle_03.mp3,,,,,70,75,
BattleRifle,audio/sfx/weapons/battle_rifle_01.mp3,10,25,95,105,70,75,TRUE
,audio/sfx/weapons/battle_rifle_02.mp3,,,,,70,75,
,audio/sfx/weapons/battle_rifle_03.mp3,,,,,70,75,
Bat,audio/sfx/weapons/bat_01.mp3,10,25,95,105,70,90,
,audio/sfx/weapons/bat_02.mp3,,,,,70,90,
,audio/sfx/weapons/bat_03.mp3,,,,,70,90,
Axe,audio/sfx/weapons/axe_01.mp3,10,25,95,105,70,90,
,audio/sfx/weapons/axe_02.mp3,,,,,70,90,
,audio/sfx/weapons/axe_03.mp3,,,,,70,90,
Chainsaw,audio/sfx/weapons/chainsaw_01.mp3,10,25,95,105,30,50,
,audio/sfx/weapons/chainsaw_02.mp3,,,,,30,50,
,audio/sfx/weapons/chainsaw_03.mp3,,,,,30,50,
Dagger,audio/sfx/weapons/dagger_01.mp3,10,25,95,105,30,50,
,audio/sfx/weapons/dagger_02.mp3,,,,,30,50,
,audio/sfx/weapons/dagger_03.mp3,,,,,30,50,
FistHit,audio/sfx/weapons/fist_hit_01.mp3,10,25,95,105,70,90,
,audio/sfx/weapons/fist_hit_02.mp3,,,,,70,90,
,audio/sfx/weapons/fist_hit_03.mp3,,,,,70,90,
,audio/sfx/weapons/fist_hit_04.mp3,,,,,70,90,
Minigun,audio/sfx/weapons/minigun_01.mp3,10,25,95,105,70,75,TRUE
,audio/sfx/weapons/minigun_02.mp3,,,,,70,75,
,audio/sfx/weapons/minigun_03.mp3,,,,,70,75,
Pistol,audio/sfx/weapons/pistol_01.mp3,10,25,95,105,70,75,
,audio/sfx/weapons/pistol_02.mp3,,,,,70,75,
,audio/sfx/weapons/pistol_03.mp3,,,,,70,75,
ShotgunDouble,audio/sfx/weapons/shotgun_double_01.mp3,10,25,95,105,70,75,
,audio/sfx/weapons/shotgun_double_02.mp3,,,,,70,75,
,audio/sfx/weapons/shotgun_double_03.mp3,,,,,70,75,
ShotgunPump,audio/sfx/weapons/shotgun_pump_01.mp3,10,25,95,105,70,75,
,audio/sfx/weapons/shotgun_pump_02.mp3,,,,,70,75,
,audio/sfx/weapons/shotgun_pump_03.mp3,,,,,70,75,
Shovel,audio/sfx/weapons/shovel_01.mp3,10,25,95,105,70,90,
,audio/sfx/weapons/shovel_02.mp3,,,,,70,90,
,audio/sfx/weapons/shovel_03.mp3,,,,,70,90,
SMG,audio/sfx/weapons/smg_01.mp3,10,25,95,105,70,75,TRUE
,audio/sfx/weapons/smg_02.mp3,,,,,70,75,
,audio/sfx/weapons/smg_03.mp3,,,,,70,75,
SwordHit,audio/sfx/weapons/sword_hit_01.mp3,10,25,95,105,30,50,
,audio/sfx/weapons/sword_hit_02.mp3,,,,,30,50,
,audio/sfx/weapons/sword_hit_03.mp3,,,,,30,50,
,audio/sfx/weapons/sword_hit_04.mp3,,,,,30,50,
Wrench,audio/sfx/weapons/wrench_01.mp3,10,25,95,105,70,90,
,audio/sfx/weapons/wrench_02.mp3,,,,,70,90,
,audio/sfx/weapons/wrench_03.mp3,,,,,70,90,
StunGrenadeExplosion,audio/sfx/weapons/stun_grenade_explosion.mp3,10,25,95,105,60,80,
GrenadeExplosion,audio/sfx/weapons/grenade_explosion.mp3,10,25,95,105,60,80,
MeleeSharpSwing,audio/sfx/characters/foley/melee_sharp_swing_01.mp3,10,25,95,105,25,50,
,audio/sfx/characters/foley/melee_sharp_swing_02.mp3,,,,,25,50,
,audio/sfx/characters/foley/melee_sharp_swing_03.mp3,,,,,25,50,
,audio/sfx/characters/foley/melee_sharp_swing_04.mp3,,,,,25,50,
MeleeSwing,audio/sfx/characters/foley/melee_swing_01.mp3,10,25,95,105,25,50,
,audio/sfx/characters/foley/melee_swing_02.mp3,,,,,25,50,
,audio/sfx/characters/foley/melee_swing_03.mp3,,,,,25,50,
MeleeFist,audio/sfx/characters/foley/melee_fist_01.mp3,10,25,95,105,50,80,
,audio/sfx/characters/foley/melee_fist_02.mp3,,,,,50,80,
,audio/sfx/characters/foley/melee_fist_03.mp3,,,,,50,80,
RunConcrete,audio/sfx/characters/movement/run_concrete_01.mp3,10,15,95,105,10,20,
,audio/sfx/characters/movement/run_concrete_02.mp3,,,,,10,20,
,audio/sfx/characters/movement/run_concrete_03.mp3,,,,,10,20,
