Name,FileNames,FadeOutRadius,MaxVolumeRadius,MinPitch,MaxPitch,VolMin,VolMax
AmbienceDockPier,audio/sfx/ambiences/amb_dock_pier.mp3,,,100,100,40,40
AmbienceDockPier2,audio/sfx/ambiences/amb_dock_pier2.mp3,,,100,100,40,40
AmbienceDockBackyard,audio/sfx/ambiences/amb_dock_backyard.mp3,,,100,100,40,40
AmbienceDockWarehouse,audio/sfx/ambiences/amb_dock_warehouse.mp3,,,100,100,40,40
AmbienceDockDetails,audio/sfx/ambiences/amb_dock_seagull_01.mp3,,,100,100,40,40
,audio/sfx/ambiences/amb_dock_seagull_02.mp3,,,100,100,40,40
,audio/sfx/ambiences/amb_dock_ship_horn.mp3,,,100,100,40,40
AmbienceItalianRestaurant,audio/sfx/ambiences/amb_italian_restaurant.mp3,,,100,100,40,40
AmbienceRoomGeneric,audio/sfx/ambiences/amb_room_generic.mp3,,,100,100,40,40
AmbienceRoomOffice,audio/sfx/ambiences/amb_office.mp3,,,100,100,40,40
AmbienceTriadHall,audio/sfx/ambiences/amb_triad_hall.mp3,,,100,100,33,33
AmbienceParkGeneric,audio/sfx/ambiences/amb_park_generic.mp3,,,100,100,40,40
AmbienceParkMusical,audio/sfx/ambiences/amb_park_musical.mp3,,,100,100,40,40
AmbienceRedlights,audio/sfx/ambiences/amb_redlights.mp3,,,100,100,40,40
AmbienceStreetGeneric,audio/sfx/ambiences/amb_street_generic.mp3,,,100,100,40,40
AmbienceGhetto,audio/sfx/ambiences/amb_ghetto.mp3,,,100,100,33,33
AmbienceDowntown,audio/sfx/ambiences/amb_downtown.mp3,,,100,100,40,40
AmbiencePowerPlant,audio/sfx/ambiences/amb_gas_power_plant.mp3,,,100,100,20,20
AmbiencePowerPlantInterior,audio/sfx/ambiences/amb_power_plant_interior.mp3,,,100,100,33,33
AmbienceTransformerYard,audio/sfx/ambiences/amb_transformer_yard.mp3,,,100,100,33,33
AmbienceDrillingSite,audio/sfx/ambiences/amb_drilling_site.mp3,,,100,100,33,33
AmbienceLabycoreDocks,audio/vo/misc/vo_labycore_generic_01.mp3,,,100,100,20,20
,audio/vo/misc/vo_labycore_generic_03.mp3,,,100,100,20,20
,audio/vo/misc/vo_labycore_generic_04.mp3,,,100,100,20,20
