Name,Text
TID_SPECIALIZATION_JUGGERNAUT_TOOL_TIP,"Do you think you can handle big bosses, receive loads of damage while protecting your group from being wiped out from the surface of this god-forsaken city? If yes, Juggernaut is your choise! Hard armored Juggernauts are one of the most honored group of individuals in Dawnbreak City due to their leadership and protector skills."
TID_SPECIALIZATION_MAVERICK_TOOL_TIP,If it's about beating the living crap out of the scum - alone or in a group as the damage dealer - you might want to think of the path of the Maverick. Mavericks tend to draw a lot of attention due to their towering size and titanic power.
TID_SPECIALIZATION_LIGHT_SPEC_1_TOOL_TIP,"In a war against the Labycore people unite forces to take down megacorporation leaders and chemists who know the drugs turn into medics. They are the most honored and most wanted team players on the island.They also know how to survive on their own, thanks to their ability to handle firearms."
TID_SPECIALIZATION_LIGHT_SPEC_2_TOOL_TIP,"Darker side of the docs. Improved poisons and knowledge of the human body weaknesses are their main instruments in taking down their foes. Despite of their nasty habits, Hyde types are still the good guys in a war against Labycore. Their ability to deal superior, long-lasting pain to the enemy make them worthy team mates."
TID_SPECIALIZATION_0,Juggernaut
TID_SPECIALIZATION_1,Maverick
TID_SPECIALIZATION_2,Drugs
TID_SPECIALIZATION_3,Toxicology
TID_SPECIALIZATION_4,Shooter
TID_SPECIALIZATION_5,Eviscerator
