Name,WeaponClass,RequiredLevel,Rarity,Tier,Enhancement,DiamondsOnly,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,DiamondCostExact
Common Sword,Sword,3,Common,,,,,,,,,,,,,,,,TRUE,,TRUE,
Simple Sword,Sword,8,Common,,,,,,,,,,,,,,,,TRUE,,,
Typical Sword,Sword,22,Common,,,,,,,,,,,,,,,,TRUE,,,
Usual Sword,Sword,27,Common,,,,,,,,,,,,,,,,TRUE,,,
Plain Sword,Sword,30,Common,,,,,,,,,,,,,,,,TRUE,,,
Basic Sword,Sword,1,Common,,,,,,,,,,,,,,,,TRUE,,TRUE,
Average Sword,Sword,1,Common,,,,,,,,,,,,,,,,TRUE,,TRUE,
Broken Sword,Sword,4,Poor,,,,,,,,,,,,,,,,TRUE,,,
Corroded Sword,Sword,13,Poor,,,,,,,,,,,,,,,,TRUE,,,
Crude Sword,Sword,16,Poor,,,,,,,,,,,,,,,,TRUE,,,
Old Sword,Sword,25,Poor,,,,,,,,,,,,,,,,TRUE,,,
Righteous Sword,Sword,9,Rare,,of the Destroyer,,,12,,,,,,,,,,,TRUE,,TRUE,
Mighty Sword,Sword,15,Rare,,of the Destroyer,,,12,,,,,,,,,,,TRUE,,TRUE,
Victorious Sword,Sword,20,Rare,,of the Judgment,,TRUE,13,,,,,,,,,,,TRUE,,TRUE,
First-Class Sword,Sword,24,Rare,,of the Destroyer,,,11,,,,,,,,,,,TRUE,,TRUE,
Singular Sword,Sword,28,Rare,,of the Judgment,,TRUE,12,,,,,,,,,,,TRUE,,TRUE,
Excellent Sword,Sword,30,Rare,,of the Destroyer,,,20,,,,,,,,,,,TRUE,,TRUE,
Good Sword,Sword,7,Uncommon,,,,,6,,,,,,,,,,,TRUE,,TRUE,
Fine Sword,Sword,10,Uncommon,,,,,7,,,,,,,,,,,TRUE,,TRUE,
Credible Sword,Sword,14,Uncommon,,,,,7,,,,,,,,,,,TRUE,,TRUE,
