Name,Text
TID_WEAPON_SWORD_0,Common Sword
TID_WEAPON_SWORD_1,Simple Sword
TID_WEAPON_SWORD_2,Typical Sword
TID_WEAPON_SWORD_3,Usual Sword
TID_WEAPON_SWORD_4,Plain Sword
TID_WEAPON_SWORD_5,Basic Sword
TID_WEAPON_SWORD_6,Average Sword
TID_WEAPON_SWORD_7,Broken Sword
TID_WEAPON_SWORD_8,Corroded Sword
TID_WEAPON_SWORD_9,Crude Sword
TID_WEAPON_SWORD_10,Old Sword
TID_WEAPON_SWORD_11,Righteous Sword
TID_WEAPON_SWORD_12,Mighty Sword
TID_WEAPON_SWORD_13,Victorious Sword
TID_WEAPON_SWORD_14,First-Class Sword
TID_WEAPON_SWORD_15,Singular Sword
TID_WEAPON_SWORD_16,Excellent Sword
TID_WEAPON_SWORD_17,Good Sword
TID_WEAPON_SWORD_18,Fine Sword
TID_WEAPON_SWORD_19,Credible Sword
TID_WEAPON_SWORD_20,Street Wise Sword
TID_WEAPON_SWORD_21,Nifty Sword
TID_WEAPON_SWORD_22,Ideal Sword
TID_WEAPON_SWORD_23,Elegant Sword
TID_WEAPON_SWORD_24,Hi-Tech Scythe X-29
TID_WEAPON_SWORD_25,Hi-Tech Scythe X-23
TID_WEAPON_SWORD_26,Hi-Tech Scythe X-16
TID_WEAPON_SWORD_27,Hi-Tech Scythe X-13
TID_WEAPON_SWORD_28,Hi-Tech Scythe X-09
TID_WEAPON_SWORD_29,Outstanding Sword
TID_WEAPON_SWORD_30,Superfine Sword
TID_WEAPON_SWORD_31,Exquisite Tech Sword
TID_WEAPON_SWORD_32,Respectable Tech Sword
TID_WEAPON_SWORD_33,Hi-Tech Scythe XX-30
TID_WEAPON_SWORD_34,Crazy Tech Sword
TID_WEAPON_SWORD_35,Pimp Smacker's Sword
TID_WEAPON_SWORD_36,Gangsta's Tech Sword
TID_WEAPON_SWORD_37,Criminal's Tech Sword
TID_WEAPON_SWORD_38,Ruffian's Tech Sword
TID_WEAPON_SWORD_39,Thug's Tech Sword
TID_WEAPON_SWORD_40,Lawbreaker's Tech Sword
TID_WEAPON_SWORD_41,Offender's Tech Sword
TID_WEAPON_SWORD_42,Hitman's Tech Sword
TID_WEAPON_SWORD_43,Lunatic's Tech Sword
TID_WEAPON_SWORD_44,Cleaner's Tech Sword
TID_WEAPON_SWORD_45,Devastator's Tech Sword
TID_WEAPON_SWORD_46,Interrogator's Tech Sword
TID_WEAPON_SWORD_47,Torture's Tech Sword
TID_WEAPON_SWORD_48,Troublemaker's Tech Sword
TID_WEAPON_SWORD_49,Hustla's Tech Sword
