Name,Text
TID_TIMELINE_EVENT_0,TROLL
TID_TIMELINE_EVENT_1,Piggy Bob
TID_TIMELINE_EVENT_2,Tankinator
TID_TIMELINE_EVENT_3,Calavera Ant
TID_TIMELINE_EVENT_4,Hermit Manny
TID_TIMELINE_EVENT_5,Captain Blackbeard
TID_TIMELINE_EVENT_6,Demolisherbot
TID_TIMELINE_EVENT_7,ED-187
TID_TIMELINE_EVENT_8,Pimp Mother
TID_TIMELINE_EVENT_9,Mutated Scientist
TID_TIMELINE_EVENT_10,Breeding Mutant
TID_TIMELINE_EVENT_11,Fireheart
TID_TIMELINE_EVENT_12,Yellow Spider
TID_TIMELINE_EVENT_13,Killmaster
TID_TIMELINE_EVENT_14,Sun Spider
TID_TIMELINE_EVENT_15,SENTINEL
TID_TIMELINE_EVENT_16,Akirun
TID_TIMELINE_EVENT_17,The Red Spider Mite
TID_TIMELINE_EVENT_18,DAEMON
TID_TIMELINE_EVENT_19,Chief Engineer
TID_TIMELINE_EVENT_20,Dr. Bauhoff
TID_TIMELINE_EVENT_21,Doctor Catherine
TID_TIMELINE_EVENT_22,Security Captain
TID_TIMELINE_EVENT_23,Slave Eater
TID_TIMELINE_EVENT_24,The Diseased
TID_TIMELINE_EVENT_25,Mr. Arms
TID_TIMELINE_EVENT_26,Queen Mary
TID_TIMELINE_EVENT_27,Rockhead
TID_TIMELINE_EVENT_28,VIP Guard Bot
TID_TIMELINE_EVENT_29,Antiriot Sentry
TID_TIMELINE_EVENT_30,Riot Captain
TID_TIMELINE_EVENT_31,Supersoldier Officer
TID_TIMELINE_EVENT_32,SPARTAN
TID_TIMELINE_EVENT_33,Pyrox
TID_TIMELINE_EVENT_34,Lava Ant
TID_TIMELINE_EVENT_35,Raider Slavemaster
TID_TIMELINE_EVENT_36,Raider Shaman
TID_TIMELINE_EVENT_37,Raider Chieftain
TID_TIMELINE_EVENT_38,Devourer Dragon
TID_TIMELINE_EVENT_39,Mafioso
TID_TIMELINE_EVENT_40,Glutton
TID_TIMELINE_EVENT_41,Wrath
TID_TIMELINE_EVENT_42,PVP Kill
TID_TIMELINE_EVENT_0_DESCRIPTION,Crazed military bot running rampant right next to Pirate Bay.
TID_TIMELINE_EVENT_1_DESCRIPTION,Runs his own drug farm in a harbor area basement. Really likes his bacon.
TID_TIMELINE_EVENT_2_DESCRIPTION,Automated killing machine that dominates the Pearl Beach. It's not alone.
TID_TIMELINE_EVENT_3_DESCRIPTION,Its mandibles can cut your gun in half and snap your head right off.
TID_TIMELINE_EVENT_4_DESCRIPTION,Don't rile him up. Just don't.
TID_TIMELINE_EVENT_5_DESCRIPTION,"The very model of a modern pirate. With a big, nasty hammer."
TID_TIMELINE_EVENT_6_DESCRIPTION,Designed to run down buildings. Guess what it can do to you.
TID_TIMELINE_EVENT_7_DESCRIPTION,"Smooth, beautiful and deadly."
TID_TIMELINE_EVENT_8_DESCRIPTION,Runs the slave girl trade on Dawnbreak. Completely ruthless and ready to protect her depraved business.
TID_TIMELINE_EVENT_9_DESCRIPTION,Hanging around these laboratories can do this to you.
TID_TIMELINE_EVENT_10_DESCRIPTION,The experiments have producer many terrible results. This is probably the worst.
TID_TIMELINE_EVENT_11_DESCRIPTION,"Never leaves the caverns, so there is only one way of settling the score. Enter the inferno."
TID_TIMELINE_EVENT_12_DESCRIPTION,Does not bother to stalk. It does not have to.
TID_TIMELINE_EVENT_13_DESCRIPTION,The leader of Mad Dogs is undoubtedly the craziest of them all. He needs to be put down.
TID_TIMELINE_EVENT_14_DESCRIPTION,"Gleaming gold Spiderbor covered with armored solar planels. Once at loose, the Sun Spidet just keeps going-- and going-- and going."
TID_TIMELINE_EVENT_15_DESCRIPTION,"Self-powered, fully automated, absolutely lethal. The perfect guard."
