Name,Deprecated,Type,TargetData,TypeCount,Image
TROLL,,EliminateBoss,TROLL,,graphics/timeline_icons/troll.png
Piggy Bob,,EliminateBoss,Piggy Bob,,graphics/timeline_icons/piggybob.png
Tankinator,,EliminateBoss,Tankinator,,graphics/timeline_icons/tankinator.png
Calavera Ant,,EliminateBoss,Calavera Ant,,graphics/timeline_icons/ant.png
Hermit Manny,,EliminateBoss,Hermit Manny,,graphics/timeline_icons/manny.png
Captain Blackbeard,,EliminateBoss,Captain Blackbeard,,graphics/timeline_icons/blackbeard.png
Demolisherbot,,EliminateBoss,Demolisherbot,,graphics/timeline_icons/demolisher.png
ED-187,,EliminateBoss,ED-187,,graphics/timeline_icons/ed187.png
Pimp Mother,,EliminateBoss,Pimp Mother,,graphics/timeline_icons/pimpmother.png
Mutated Scientist,,EliminateBoss,Mutated Scientist,,graphics/timeline_icons/mutated.png
Breeding Mutant,,EliminateBoss,Breeding Mutant,,graphics/timeline_icons/breeding.png
Fireheart,,EliminateBoss,Fireheart,,graphics/timeline_icons/fireheart.png
Yellow Spider,,EliminateBoss,Yellow Spider,,graphics/timeline_icons/yellowspiderbot.png
Killmaster,,EliminateBoss,Killmaster,,graphics/timeline_icons/killmaster.png
Sun Spider,,EliminateBoss,Sun Spider,,graphics/timeline_icons/sunspider.png
SENTINEL,,EliminateBoss,SENTINEL,,graphics/timeline_icons/sentinel.png
Akirun,,EliminateBoss,Akirun,,graphics/timeline_icons/akirun.png
The Red Spider Mite,,EliminateBoss,The Red Spider Mite,,graphics/timeline_icons/redspider.png
DAEMON,,EliminateBoss,DAEMON,,graphics/timeline_icons/daemon.png
Chief Engineer,,EliminateBoss,Chief Engineer,,graphics/timeline_icons/chiefengineer.png
Dr. Bauhoff,,EliminateBoss,Dr. Bauhoff,,graphics/timeline_icons/drbauhoff.png
Doctor Catherine,,EliminateBoss,Doctor Catherine,,graphics/timeline_icons/drcatherine.png
Security Captain,,EliminateBoss,Security Captain,,graphics/timeline_icons/securitycaptain.png
Slave Eater,,EliminateBoss,Slave Eater,,graphics/timeline_icons/slaveeater.png
The Diseased,,EliminateBoss,The Diseased,,graphics/timeline_icons/diseased.png
Mr. Arms,,EliminateBoss,Mr. Arms,,graphics/timeline_icons/arms.png
Queen Mary,,EliminateBoss,Queen Mary,,graphics/timeline_icons/queenmary.png
Rockhead,,EliminateBoss,Rockhead,,graphics/timeline_icons/rockhead.png
VIP Guard Bot,,EliminateBoss,VIP Guard Bot,,graphics/timeline_icons/guardbot.png
Antiriot Sentry,,EliminateBoss,Antiriot Sentry,,graphics/timeline_icons/antiriotsentry.png
Riot Captain,,EliminateBoss,Riot Captain,,graphics/timeline_icons/riotcaptain.png
Supersoldier Officer,,EliminateBoss,Supersoldier Officer,,graphics/timeline_icons/supersoldier.png
SPARTAN,,EliminateBoss,SPARTAN,,graphics/timeline_icons/spartan.png
Pyrox,,EliminateBoss,Pyrox,,graphics/timeline_icons/pyrox.png
Lava Ant,,EliminateBoss,Lava Ant,,graphics/timeline_icons/lavaant.png
Raider Slavemaster,,EliminateBoss,Raider Slavemaster,,graphics/timeline_icons/slavemaster.png
Raider Shaman,,EliminateBoss,Raider Shaman,,graphics/timeline_icons/shaman.png
Raider Chieftain,,EliminateBoss,Raider Chieftain,,graphics/timeline_icons/chieftain.png
Devourer Dragon,,EliminateBoss,Devourer Dragon,,graphics/timeline_icons/dragon.png
Mafioso,,EliminateBoss,Mafioso,,graphics/timeline_icons/mafioso.png
Glutton,,EliminateBoss,Glutton,,graphics/timeline_icons/pigman.png
Wrath,,EliminateBoss,Wrath,,graphics/timeline_icons/Wrath.png
PVP Kill,,PVPKill,,,graphics/timeline_icons/placeholder_enemy_kill.png
Envy,,EliminateBoss,Envy,,graphics/timeline_icons/envy.png
Chimera,,EliminateBoss,Chimera,,graphics/timeline_icons/chimera.png
Dr. Evil Emmett,,EliminateBoss,Dr. Evil Emmett,,graphics/timeline_icons/emmett.png
Sneaky Zombie,,EliminateBoss,Sneaky Zombie,,graphics/timeline_icons/placeholder_enemy_kill.png
