Name,WeaponClass,RequiredLevel,Rarity,Tier,CriticalChance,LootFactions,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,PlaceableInEditor
NPC Wrench,Wrench,1,Common,,,,,,,,,,,,,,TRUE,,,
NPC Crowbar,Wrench,4,Common,,,,,,,,,,,,,,TRUE,,,
Regular Wrench,Wrench,1,Common,,,,,,,,,,,,,,TRUE,,,
Everyday Wrench,Wrench,4,Common,,,,,,,,,,,,,,TRUE,,,
Popular Wrench,Wrench,8,Common,,,,,,,,,,,,,,TRUE,,,
Common Wrench,Wrench,10,Common,,,,,,,,,,,,,,TRUE,,,
Simple Wrench,Wrench,11,Common,,,,,,,,,,,,,,TRUE,,,
Average Monkey Wrench,Monkey Wrench,18,Common,,,,,,,,,,,,,,TRUE,,,
Everyday Monkey Wrench,Monkey Wrench,21,Common,,,,,,,,,,,,,,TRUE,,,
Regular Monkey Wrench,Monkey Wrench,25,Common,,,,,,,,,,,,,,TRUE,,,
Popular Monkey Wrench,Monkey Wrench,27,Common,,,,,,,,,,,,,,TRUE,,,
Common Monkey Wrench,Monkey Wrench,28,Common,,,,,,,,,,,,,,TRUE,,,
Everyday Crowbar,Crowbar,5,Common,,,,,,,,,,,,,,TRUE,,TRUE,
Regular Crowbar,Crowbar,7,Common,,,,,,,,,,,,,,TRUE,,TRUE,
Popular Crowbar,Crowbar,10,Common,,,,,,,,,,,,,,TRUE,,TRUE,
Common Crowbar,Crowbar,14,Common,,,,,,,,,,,,,,TRUE,,TRUE,
Simple Crowbar,Crowbar,17,Common,,,,,,,,,,,,,,TRUE,,TRUE,
Typical Crowbar,Crowbar,19,Common,,,,,,,,,,,,,,TRUE,,TRUE,
Wacky Monkey Wrench,Monkey Wrench,30,Rare,,,,,,,,,,,,,,TRUE,,TRUE,
High-Power Crowbar,Crowbar,20,Rare,,,,,,,,,,,,,,TRUE,,TRUE,
Fine Wrench,Wrench,2,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Extreme Wrench,Wrench,2,Rare,,,,,,,,,,,,,,TRUE,,TRUE,
Credible Wrench,Wrench,6,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Wacky Wrench,Wrench,9,Rare,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise Wrench,Wrench,13,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Credible Monkey Wrench,Monkey Wrench,23,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise Monkey Wrench,Monkey Wrench,28,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy Monkey Wrench,Monkey Wrench,29,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise Crowbar,Crowbar,9,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy Crowbar,Crowbar,12,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Nifty Crowbar,Crowbar,15,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Ideal Crowbar,Crowbar,16,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Elegant Crowbar,Crowbar,18,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Boosted Crowbar,Crowbar,19,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Acute Crowbar,Crowbar,21,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Advanced Crowbar,Crowbar,22,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
Half Living Crowbar,Crowbar,18,Rare,,,,,,,,,,,,,,TRUE,,TRUE,
Tooth Puller,Wrench,7,Uncommon,,,,,,,,,,,,,,TRUE,,TRUE,
