Name,Text
TID_WEAPON_TOOL_0,NPC Wrench
TID_WEAPON_TOOL_1,NPC Crowbar
TID_WEAPON_TOOL_2,Regular Wrench
TID_WEAPON_TOOL_3,Everyday Wrench
TID_WEAPON_TOOL_4,Popular Wrench
TID_WEAPON_TOOL_5,Common Wrench
TID_WEAPON_TOOL_6,Simple Wrench
TID_WEAPON_TOOL_7,Average Monkey Wrench
TID_WEAPON_TOOL_8,Everyday Monkey Wrench
TID_WEAPON_TOOL_9,Regular Monkey Wrench
TID_WEAPON_TOOL_10,Popular Monkey Wrench
TID_WEAPON_TOOL_11,Common Monkey Wrench
TID_WEAPON_TOOL_12,Everyday Crowbar
TID_WEAPON_TOOL_13,Regular Crowbar
TID_WEAPON_TOOL_14,Popular Crowbar
TID_WEAPON_TOOL_15,Common Crowbar
TID_WEAPON_TOOL_16,Simple Crowbar
TID_WEAPON_TOOL_17,Typical Crowbar
TID_WEAPON_TOOL_18,Wacky Monkey Wrench
TID_WEAPON_TOOL_19,High-Power Crowbar
TID_WEAPON_TOOL_20,Fine Wrench
TID_WEAPON_TOOL_21,Extreme Wrench
TID_WEAPON_TOOL_22,Credible Wrench
TID_WEAPON_TOOL_23,Wacky Wrench
TID_WEAPON_TOOL_24,Street Wise Wrench
TID_WEAPON_TOOL_25,Credible Monkey Wrench
TID_WEAPON_TOOL_26,Street Wise Monkey Wrench
TID_WEAPON_TOOL_27,Worthy Monkey Wrench
TID_WEAPON_TOOL_28,Street Wise Crowbar
TID_WEAPON_TOOL_29,Worthy Crowbar
TID_WEAPON_TOOL_30,Nifty Crowbar
TID_WEAPON_TOOL_31,Ideal Crowbar
TID_WEAPON_TOOL_32,Elegant Crowbar
TID_WEAPON_TOOL_33,Boosted Crowbar
TID_WEAPON_TOOL_34,Acute Crowbar
TID_WEAPON_TOOL_35,Advanced Crowbar
TID_WEAPON_TOOL_36,Half Living Crowbar
TID_WEAPON_TOOL_37,Tooth Puller
