Name,Rarity,Icon,LootResource,LootExportName,LootProbability,IngredientProbability,IngameBlueprintProbability,DiamondBlueprintProbability
Common Treasure Box 1,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 2,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 3,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 4,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 5,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 6,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 7,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 8,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 9,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 10,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 11,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 12,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 13,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 14,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 15,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 16,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 17,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 18,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 19,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 20,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 21,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 22,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 23,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 24,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 25,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 26,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 27,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 28,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 29,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
Common Treasure Box 30,Uncommon,6,graphics/loot/loot_box1.swf,loot_treasure_box,1,33,33,33
