Name,Text
TID_TUTORIAL_3_TEXT,Click on the ground to move around.
TID_TUTORIAL_0_TEXT,Characters with exclamation mark give missions. Click on the character to get one.
TID_TUTORIAL_1_TEXT,You have completed a mission! Click to collect your reward.
TID_TUTORIAL_4_TEXT,Click on the glowing arrow to move from one area to another.
TID_TUTORIAL_2_TEXT,Use special combat moves to maximize damage!\n\nFirst click the enemy once and then click this skill icon.
TID_TUTORIAL_5_TEXT,Click here to use your damage booster!
TID_TUTORIAL_7_TEXT,"Click here, then click a target location to throw."
TID_TUTORIAL_8_TEXT,Click on the other side of the border to move to the next area.
TID_TUTORIAL_9_TEXT,"In addition to the game world, the map shows your active missions and their locations."
TID_TUTORIAL_11_TEXT,You are running out of health! Click on a medikit to heal yourself.
TID_TUTORIAL_12_TEXT,This is a multiplayer meeting area.\nMeeting areas are the best places to join up with other players for a group adventure.
TID_TUTORIAL_13_TEXT,Click to smash the barrel and create chain reaction.
TID_TUTORIAL_15_TEXT,Click the portal to enter an area designed for groups. You and your mercenary make up a small group. You can also form bigger groups with other players to take on extreme challenges.
TID_TUTORIAL_16_TEXT,"When you gain levels, remember to buy new skills from skill trainers.\nThe new skills will automatically appear in your quickbar."
TID_TUTORIAL_18_TEXT,Follow the arrow to your next objective.
TID_TUTORIAL_19_TEXT,Move mouse cursor here and click HIRE when it appears!
TID_TUTORIAL_20_TEXT,Diamonds are your shortcut to happiness. Buy diamonds to instantly access high quality equipment.
TID_TUTORIAL_21_TEXT,This must be a joke of some kind! Where are they taking me?
TID_TUTORIAL_22_TEXT,This is no joke after all! I have to get out of here...
TID_TUTORIAL_23_TEXT,Finally some friendly folks. I might make it out of here after all!
TID_TUTORIAL_24_TEXT,Labycore keeps trying to kill me. Basically the island government are all bad guys!
TID_TUTORIAL_25_TEXT,Grim Gonzales? Sounds like a scary guy!
TID_TUTORIAL_26_TEXT,That's how you equip items.\nClose the inventory by clicking the Inventory icon.
TID_TUTORIAL_27_TEXT,Skills consume your energy that regenerates after the combat. Fill up the energy meter faster by using energy boosters.
TID_TUTORIAL_28_TEXT,Glowing objects are mission objectives.\nClick glowing objects to use them.
TID_TUTORIAL_29_TEXT,"Look, a bazooka! Pick it up."
TID_TUTORIAL_30_TEXT,To complete certain missions you need to travel to other areas. Use your map to quickly jump from one area to another.
TID_TUTORIAL_6_TEXT,Got stranded on this island after a shipwreck... Let's find out what is this place.
TID_TUTORIAL_17_TEXT,Click on an enemy to attack.
TID_TUTORIAL_31_TEXT,Click here to craft a melee weapon.
TID_TUTORIAL_32_TEXT,Using mercenaries is vital in tough fights. Invite your friends to Gunshine - you can hire their characters for a lot less than regular mercenaries!
TID_TUTORIAL_33_TEXT,Switch to your gun (key: '<SHORTCUT>space</SHORTCUT>').
TID_TUTORIAL_34_TEXT,Click on objects to pick them up.
TID_TUTORIAL_35_TEXT,Click on the Bags icon and try wearing your new coat!
TID_TUTORIAL_36_TEXT,Open Crafting Screen.
TID_TUTORIAL_37_TEXT,Craft some grenades\nto boost your attacks.\nChoose 'items' tab\nunder the crafting menu.
TID_TUTORIAL_38_TEXT,"When I get to Pirate Bay, I'm going to pay these guys back for their help."
TID_TUTORIAL_39_TEXT,"Okay, this it. I'm going to join the fight for real! Time to slay the TROLL!"
TID_TUTORIAL_40_TEXT,Click to select target.
TID_TUTORIAL_41_TEXT,Click the <SHORTCUT>Craft</SHORTCUT> button to build weapons and items.
TID_TUTORIAL_42_TEXT,Click to start crafting an item.
TID_TUTORIAL_43_TEXT,You got a new weapon! Click to collect it.
TID_TUTORIAL_44_TEXT,No time to waste now! Speed up the crafting with one diamond.
TID_TUTORIAL_45_TEXT,Pick up the ingredients to craft a weapon.
TID_TUTORIAL_46_TEXT,Click to join a multiplayer fight against a tough enemy!
TID_TUTORIAL_47_TEXT,Click here to join a group of other players.
TID_TUTORIAL_48_TEXT,Buy some gear before your showdown with Grim Gonzales!
TID_TUTORIAL_49_TEXT,Close the Crafting Screen.
TID_TUTORIAL_55_TEXT,Click on the person to talk.
TID_TUTORIAL_10_TEXT,Click the 'Ranged weapons' tab.
TID_TUTORIAL_51_TEXT,Click to start crafting.
TID_TUTORIAL_52_TEXT,Click to collect your item.
TID_TUTORIAL_53_TEXT,Close the Crafting Screen.
TID_TUTORIAL_57_TEXT,Buy Medikits.
TID_TUTORIAL_58_TEXT,Close the Shop.
TID_TUTORIAL_50_TEXT,Click to complete mission.
TID_TUTORIAL_54_TEXT,Click on the ground to throw!
TID_TUTORIAL_56_TEXT,Select item type.
TID_TUTORIAL_14_TEXT,So I have to shoot at \qlive targets\q? How weird...
TID_TUTORIAL_59_TEXT,Click here for fullscreen mode!
TID_TUTORIAL_60_TEXT,Special item received! Clothes like hats boost your performance in a combat. View and equip the items in your inventory!
