Name,MinExpLevel,MaxExpLevel,Mandatory,FinishWhenHidden,ActivateFromTrigger,Episode,EpisodeProgress,Target,TargetInventoryItem,Requirement,RequiredMissions,RequiredMissionsFinished,Dependency,Objective,ArrowSide,BoxOffsetX,BoxOffsetY,OnlyInLevel,OnlyInLayer,Priority,Timer,Delay,AutoCompleteTutorials,Spotlight
03_GetMission,1,6,TRUE,,,,,Object,,MissionGiver,,,01_Move,GetMission,left,25,-20,Northern Harbor,,,,,,TRUE
10_CompleteMission,1,6,TRUE,,,,,Object,,MissionReceiver,,,03_GetMission,ReturnMission,top,,,Northern Harbor,,,,4,,TRUE
Skills,1,5,TRUE,,TRUE,,,SkillBarItem,,,,,,UseSkill,bottom,,,,,,30,,,TRUE
01_Move,1,6,TRUE,,,,,Object,,,,,,Move,bottom,,,Northern Harbor,,,,3,,TRUE
13_PortalToNextLevel,1,6,TRUE,,,,,Object,,,Keep Running!,TRUE,13_Story_3,,top,,25,Northern Harbor,,,,,,TRUE
09_FireBazooka,1,6,,,,,,ConsumableItem,,,Clear The Yard,,,UseItem,bottom,,,Northern Harbor,,,,,,TRUE
00_Story_1,31,31,,,TRUE,1,33,,,,,,,,,,,Northern Harbor,,,,,,TRUE
11_SelectMolotov,,,,,,,,,,,,,,,,,,,,,,,,
24_ExitLevel,2,6,TRUE,,,,,Object,,,Getting Out,TRUE,,ExitLevel,bottom,-50,25,Northern Harbor,,,,12,,TRUE
Map,,,,,,,,,,,Missing Link,,,,,,,Lovens Road,,,,,,TRUE
20_CraftRangedTab,,,,,,,,CraftingCategoryButton,,,Keep Running!,,19_OpenCraftScreen2,ChangeCraftingCategory,top,,,,,,,,,TRUE
Medikits,2,7,,,,,,SkillBarItem,,LowHealth,,,,UseItem,bottom,,,,,,,,,TRUE
Hub,,,,,,,,,,,,,,,,,,,,,,,,TRUE
ChainReaction,1,5,TRUE,,,,,Object,,,,,,,left,25,,,,,,,,TRUE
06_Story_2,31,31,,,TRUE,1,66,,,,,,,,,,,Northern Harbor,,,,,,TRUE
Group,3,15,,,TRUE,,,Object,,,,,,,bottom,,,Pirate Bay,,,60,,,TRUE
SkillTrainer,3,15,,,,,,Object,,,,,,,bottom,,,Needlewood,,,,,,TRUE
06_DoubleClickAttack,1,2,TRUE,,TRUE,,,Object,,,,,05_PickUpObject,Attack,right,-10,-30,Northern Harbor,,,,,,TRUE
02_FollowTheArrow,1,4,TRUE,,TRUE,,,Compass,,,,,03_GetMission,CompassDisappears,right,-35,-30,Northern Harbor,,,,,,TRUE
29_HireMerc,1,4,TRUE,,,,,MercenaryButton,,,Immigration Office,,,OpenMercenaryScreen,bottom,,,Northern Harbor,,,,,,TRUE
Diamonds,1,31,TRUE,,,,,AddDiamondsButton,,,,,,OpenAddDiamondsScreen,top,,,Pirate Bay,,,,,,TRUE
13_Story_3,31,31,,,,1,100,,,,Keep Running!,TRUE,,,,,,Northern Harbor,,,,5,,TRUE
14_Story_4,31,31,,,TRUE,2,33,,,,,,,,,,,,,,,,,TRUE
