Name,Tags,Resource,ExportName,BlendMode
tag_blue,tag,graphics/decos/wall_passables/tags_etc.swf,tag_blue,overlay
tag_orange_ol,tag,graphics/decos/wall_passables/tags_etc.swf,tag_orange_ol,overlay
tag_small_black_ol,tag,graphics/decos/wall_passables/tags_etc.swf,tag_small_black_ol,overlay
tag_vote_n,tag,graphics/decos/wall_passables/tags_etc.swf,tag_vote_n,
tag_white_small_ol,tag,graphics/decos/wall_passables/tags_etc.swf,tag_white_small_ol,overlay
tag_yellow1_ol,tag,graphics/decos/wall_passables/tags_etc.swf,tag_yellow1_ol,overlay
tag_yellow2_ol,tag,graphics/decos/wall_passables/tags_etc.swf,tag_yellow2_ol,overlay
failboat,poster,graphics/decos/wall_passables/tags_etc.swf,failboat,
posters,poster,graphics/decos/wall_passables/tags_etc.swf,posters,
lost_dog,poster,graphics/decos/wall_passables/tags_etc.swf,lost_dog,
bullet_5,bullethole,graphics/decos/wall_passables/tags_etc.swf,bullet_5,
bullet_2,bullethole,graphics/decos/wall_passables/tags_etc.swf,bullet_2,
bullet_3,bullethole,graphics/decos/wall_passables/tags_etc.swf,bullet_3,
bullet_big,bullethole,graphics/decos/wall_passables/tags_etc.swf,bullet_big,
bullet_glass,bullethole,graphics/decos/wall_passables/tags_etc.swf,bullet_glass,
surveillance_cam_front1,camera surveillance,graphics/decos/wall_passables/surveillance.swf,surveillance_cam_front1,
surveillance_cam_front2,camera surveillance,graphics/decos/wall_passables/surveillance.swf,surveillance_cam_front2,
surveillance_cam_back1,camera surveillance,graphics/decos/wall_passables/surveillance.swf,surveillance_cam_back1,
surveillance_cam_angled_front1,camera surveillance,graphics/decos/wall_passables/surveillance.swf,surveillance_cam_angled_front1,
surveillance_cam_angled_front2,camera surveillance,graphics/decos/wall_passables/surveillance.swf,surveillance_cam_angled_front2,
surveillance_cam_angled_back1,camera surveillance,graphics/decos/wall_passables/surveillance.swf,surveillance_cam_angled_back1,
surveillance_cam_angled_back2,camera surveillance,graphics/decos/wall_passables/surveillance.swf,surveillance_cam_angled_back2,
DrugsFactoryFactoryBag,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Bag,
DrugsFactoryFactoryBong01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Bong_01,
DrugsFactoryFactoryBong02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Bong_02,
DrugsFactoryLabEquipment01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Lab_Equipment_01,
DrugsFactoryLabEquipment03,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Lab_Equipment_03,
DrugsFactoryLabEquipment04,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Lab_Equipment_04,
DrugsFactoryMicroscope02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Microscope_02,
control_box_1,industrial docks,graphics/decos/train_yard/industrial_common.swf,control_box_1,
control_box_2,industrial docks,graphics/decos/train_yard/industrial_common.swf,control_box_2,
laby_wall_symbol_1,sign labycore,graphics/decos/signs/signs_intro.swf,laby_wall_symbol_intro,
laby_poster_1_left,sign labycore poster,graphics/decos/signs/signs_labycore.swf,laby_poster_1_left,
laby_poster_1_right,sign labycore poster,graphics/decos/signs/signs_labycore.swf,laby_poster_1_right,
undercontrol_lcd,sign labycore poster,graphics/decos/signs/signs_intro.swf,undercontrol_lcd_intro,
undercontrolblack,sign labycore poster,graphics/decos/signs/signs_intro.swf,undercontrolblack_intro,
undercontrolwhite,sign labycore poster,graphics/decos/signs/signs_labycore.swf,undercontrolwhite,
weapons_left,sign,graphics/decos/signs/signs_open_constr_weapons.swf,weapons_left,
weapons_right,sign,graphics/decos/signs/signs_open_constr_weapons.swf,weapons_right,
construction_small_left,sign,graphics/decos/signs/signs_open_constr_weapons.swf,construction_small_left,
construction_small_right,sign,graphics/decos/signs/signs_open_constr_weapons.swf,construction_small_right,
open_sign,open sign UPDATE,graphics/decos/signs/signs_open_constr_weapons.swf,open_sign,
laby_orange_wall,sign labycore,graphics/decos/signs/signs_labycore.swf,laby_orange_wall,
sign_obedience_right,labycore sign,graphics/decos/signs/signs_labycore.swf,sign_obedience_right,
sign_obedience_left,labycore sign,graphics/decos/signs/signs_labycore.swf,sign_obedience_left,
sign_wellbeing_left,labycore sign,graphics/decos/signs/signs_labycore.swf,sign_wellbeing_left,
sign_wellbeing_right,labycore sign,graphics/decos/signs/signs_labycore.swf,sign_wellbeing_right,
sign_busted_right,labycore sign,graphics/decos/signs/signs_labycore.swf,sign_busted_right,
poster_wellbeing_left,labycore sign,graphics/decos/signs/signs_labycore.swf,poster_wellbeing_left,
screen_welcome1_l,labycore sign dawnbreak,graphics/decos/signs/signs_dawnbreak.swf,screen_welcome1_l,
screen_welcome1_r,labycore sign dawnbreak,graphics/decos/signs/signs_dawnbreak.swf,screen_welcome1_r,
screen_welcome2_l,labycore sign dawnbreak,graphics/decos/signs/signs_dawnbreak.swf,screen_welcome2_l,
screen_welcome2_r,labycore sign dawnbreak,graphics/decos/signs/signs_dawnbreak.swf,screen_welcome2_r,
screen_welcome3_l,labycore sign dawnbreak,graphics/decos/signs/signs_dawnbreak.swf,screen__welcome3_l,
screen__welcome3_r,labycore sign dawnbreak,graphics/decos/signs/signs_dawnbreak.swf,screen__welcome3_r,
sign_immigration_left,sign prison immigration,graphics/decos/buildings_modern/buildings_prison.swf,sign_immigration_left,
wall_forcefield_generator,prison interior wall forcefield,graphics/decos/prison/prison_interiors.swf,wall_forcefield_generator,
prison_bed2,prison furniture,graphics/decos/prison/prison_interiors.swf,prison_bed2,
prison_toilet,prison furniture,graphics/decos/prison/prison_interiors.swf,prison_toilet,
rooftop_top_1,rooftop,graphics/decos/rooftop/rooftop_generic.swf,rooftop_top1,
rooftop_top_2,rooftop,graphics/decos/rooftop/rooftop_generic.swf,rooftop_top2,
roof_piping_2,rooftop,graphics/decos/rooftop/rooftop_generic.swf,roof_piping_2,
roof_piping_3,rooftop,graphics/decos/rooftop/rooftop_generic.swf,roof_piping_3,
roof_dish_1,rooftop,graphics/decos/rooftop/rooftop_generic.swf,roof_dish1,
roof_dish_2,rooftop,graphics/decos/rooftop/rooftop_generic.swf,roof_dish2,
roof_chimney_w_antenna,rooftop RETOUCH,graphics/decos/rooftop/rooftop_generic.swf,roof_chimney_w_antenna,
roof_chimney,rooftop RETOUCH,graphics/decos/rooftop/rooftop_generic.swf,roof_chimney,
roof_air_duct_1,rooftop RETOUCH,graphics/decos/rooftop/rooftop_generic.swf,roof_air_duct_1,
roof_air_duct_2,rooftop RETOUCH,graphics/decos/rooftop/rooftop_generic.swf,roof_air_duct_2,
numbers_01,street rooftop number,graphics/decos/wall_passables/numbers.swf,numbers_01,
numbers_04_2,street rooftop number,graphics/decos/wall_passables/numbers.swf,numbers_04_2,
numbers_07,street rooftop number,graphics/decos/wall_passables/numbers.swf,numbers_07,
numbers_09,street rooftop number,graphics/decos/wall_passables/numbers.swf,numbers_09,
numbers_10,street rooftop number,graphics/decos/wall_passables/numbers.swf,numbers_10,
WallLightCyan,street common light,graphics/decos/street/lamps_lights.swf,WallLightCyan,
RoofLight,street common light,graphics/decos/street/lamps_lights.swf,RoofLight,
WallLigtWhite,street common light,graphics/decos/street/lamps_lights.swf,WallLightWhite,
OrangeLed,street common light,graphics/decos/street/lamps_lights.swf,OrangeLed,
GreenLed,street common light,graphics/decos/street/lamps_lights.swf,GreenLed,
RoofLightWhite,street common light,graphics/decos/street/lamps_lights.swf,RoofLightWhite,
fluorescent_light_bar,street common light,graphics/decos/street/lamps_lights.swf,fluorescent_light_bar,
fluorescent_light_light,street common light,graphics/decos/street/lamps_lights.swf,fluorescent_light_light,
searchlight_light1,light surveillance needle park,graphics/decos/security/searchlight.swf,searchlight_light1,
light_wall_bottomedge,light prison,graphics/decos/prison/prison_lights.swf,light_wall_bottomedge,screen
light_wall_oval,light prison,graphics/decos/prison/prison_lights.swf,light_wall_oval,screen
