Name,SWF,ExportName,MaxParticleCount,PixelGap
Basic,graphics/effects/particles/particles.swf,BT_Basic_1,,20
,,BT_Basic_2,,
,,BT_Basic_3,,
AimedShot,graphics/3d/weapons/muzzle.swf,BT_Aimed_Shot,,20
QuickShot,graphics/3d/weapons/muzzle.swf,BT_Quick_Shot,,20
CrippleShot,graphics/3d/weapons/muzzle.swf,BT_Cripple_Shot,,20
WoundShot,graphics/3d/weapons/muzzle.swf,BT_Wound_Shot,,20
HealShot,graphics/3d/weapons/muzzle.swf,BT_heal,,20
SonicBurst,graphics/3d/weapons/muzzle.swf,BT_Sonic_part1,,20
,,BT_Sonic_part2,,
,,BT_Sonic_part3,,
,,BT_Sonic_part4,,
,,BT_Sonic_part5,,
SonicAuto,graphics/3d/weapons/muzzle.swf,BT_Sonic_basic1,,20
,,BT_Sonic_basic2,,
,,BT_Sonic_basic3,,
,,BT_Sonic_basic4,,
,,BT_Sonic_basic5,,
Plasma,graphics/3d/weapons/muzzle.swf,Trail_plasma,,
Laser,graphics/3d/weapons/muzzle.swf,Trail_laser,,
