Name,Text
TID_WEAPON_CLASS_0,Melee Weapon
TID_WEAPON_CLASS_1,Ranged Weapon
TID_WEAPON_CLASS_2,Basic Weapon: Melee
TID_WEAPON_CLASS_3,Medic Tool - Melee
TID_WEAPON_CLASS_4,Unarmed
TID_WEAPON_CLASS_5,Blade
TID_WEAPON_CLASS_6,Basher
TID_WEAPON_CLASS_7,Long Blade
TID_WEAPON_CLASS_8,Short Blade
TID_WEAPON_CLASS_9,1-handed Basher
TID_WEAPON_CLASS_10,2-handed Basher
TID_WEAPON_CLASS_11,Knife
TID_WEAPON_CLASS_12,Jungle Knife
TID_WEAPON_CLASS_13,Cleaver
TID_WEAPON_CLASS_14,Power Cutter
TID_WEAPON_CLASS_15,Jigsaw
TID_WEAPON_CLASS_16,Labytech Knife
TID_WEAPON_CLASS_17,Knife Fork
TID_WEAPON_CLASS_18,Paperbag Bottle
TID_WEAPON_CLASS_19,Axe
TID_WEAPON_CLASS_20,Saw
TID_WEAPON_CLASS_21,Reciprocating Saw
TID_WEAPON_CLASS_22,Circular Saw
TID_WEAPON_CLASS_23,Sword
TID_WEAPON_CLASS_24,Chainsaw
TID_WEAPON_CLASS_25,Hi-Tech Scythe
TID_WEAPON_CLASS_26,Scimitar
TID_WEAPON_CLASS_27,Bat
TID_WEAPON_CLASS_28,Club
TID_WEAPON_CLASS_29,Pipe
TID_WEAPON_CLASS_30,Plank
TID_WEAPON_CLASS_31,Flat Iron
TID_WEAPON_CLASS_32,Golf Club
TID_WEAPON_CLASS_33,Shovel
TID_WEAPON_CLASS_34,Wrench
TID_WEAPON_CLASS_35,Monkey Wrench
TID_WEAPON_CLASS_36,Crowbar
TID_WEAPON_CLASS_37,Beer Bottle
TID_WEAPON_CLASS_38,Police Baton
TID_WEAPON_CLASS_39,MeleeBazooka
TID_WEAPON_CLASS_40,Hockey Stick
TID_WEAPON_CLASS_41,Pole
TID_WEAPON_CLASS_42,Whip
TID_WEAPON_CLASS_43,Voodoo Club
TID_WEAPON_CLASS_44,Hydraulic Hammer
TID_WEAPON_CLASS_45,Mega Hammer
TID_WEAPON_CLASS_46,Tech Sword
TID_WEAPON_CLASS_47,Sledge Hammer
TID_WEAPON_CLASS_48,Basic Weapon: Ranged
TID_WEAPON_CLASS_49,Medic Tool - Ranged
TID_WEAPON_CLASS_50,Hand Gun
TID_WEAPON_CLASS_51,Shotgun
TID_WEAPON_CLASS_52,Machine Gun
TID_WEAPON_CLASS_53,Rifle
