Name,ParentClass,ShowInQuickShop,Speed,DamageScaleMin,DamageScaleMax,ItemLevelModifier,Range,ArmorClassBonus,PushBack,LootScale,DefaultModel,DefaultMesh,DefaultModelTexture,PoorModelTexture,UncommonModelTexture,RareModel,RareMesh,RareModelTexture,EpicModel,EpicMesh,EpicModelTexture,SkillAnimation_AutoAttack,SkillAnimation_AimedShot,SkillAnimation_BoastShooting,SkillAnimation_LegShot,SkillAnimation_TraumaShot,SkillAnimation_Slammer,WalkAnimation,RunAnimation,IdleReadyAnimation,AttachmentBone,Sound,ShootDuration,ShootCount,SwingSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,EpicMeleeWeaponConstantTrail,Icon
Melee Weapon,,,,,,240,20,,,100,,,,,,,,,,,,AutoAttackHits,,,,,Slammer,Walk 1-handed weapon,Run 1-handed weapon,Idle,katana,FistHit,,,MeleeFist,,,,,,Trail,
Ranged Weapon,,,,,,220,,,,100,,,,,,,,,,,,AutoAttackRifle,,,,,,WalkRifle,RunRifle,IdleRifleReady,rifle,,,,,Muzzle,Glow,,Tracer,,,
Basic Weapon: Melee,Melee Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medic Tool - Melee,Melee Weapon,,,,,,,,,,graphics/3d/weapons/weapons.SUP,healing_gun,graphics/3d/weapons/textures/healing_gun.png,,,,,,,,,AutoAttackPistol,ShootPistol3,ShootPistol2,ShootPistol1,ShootPistol3,,Walk 1-handed weapon,Run 1-handed weapon,IdlePistolReady,pistol,Pistol,,,,Muzzle,Glow,,Tracer,,,46
Unarmed,Melee Weapon,,700,6,10,,,,,,,,,,,,,,,,,AutoAttackUnarmed,,,,,,Walk 1-handed weapon,Run 1-handed weapon,Idle,,,,,,,,,,,,
Blade,Basic Weapon: Melee,,600,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basher,Basic Weapon: Melee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Blade,Blade,,600,7,10,,,,,,,,,,,,,,,,,AutoAttackSpear,SpearC,SpearB,SpearA,SpearC,,WalkSpear,RunSpear,IdleSpearReady,spear,SwordHit,,,MeleeSharpSwing,,,,,,,
Short Blade,Blade,,520,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,SwordHit,,,MeleeSharpSwing,,,,,,,
1-handed Basher,Basher,,575,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-handed Basher,Basher,,680,8,10,,,,,,,,,,,,,,,,,AutoAttackSpear,SpearC,SpearB,SpearA,SpearC,,WalkSpear,RunSpear,IdleSpearReady,spear,SwordHit,,,MeleeSharpSwing,,,,,,,96
Knife,Short Blade,,,,,,,Unarmored,,,graphics/3d/weapons/weapons.SUP,blades_knife,graphics/3d/weapons/textures/knife.png,,,graphics/3d/weapons/weapons_rare.SUP,rhino_sword,graphics/3d/weapons/textures/rhino_sword_rare_01.png,graphics/3d/weapons/weapons_rare.SUP,rhino_sword,graphics/3d/weapons/textures/rhino_sword_rare_01.png,,,,,,,,,,,,,,,,,,,,,86
,,,,,,,,,,,graphics/3d/weapons/weapons.SUP,big_knife,graphics/3d/weapons/textures/big_knife.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Knife,Short Blade,,,,,,,Unarmored,,,graphics/3d/weapons/weapons.SUP,blades_jungleKnife,graphics/3d/weapons/textures/jungle_knife.png,,,graphics/3d/weapons/weapons.SUP,blades_jungleKnife02,graphics/3d/weapons/textures/badass_jungleknife_02.png,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/badass_jungleknife_03.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/badass_jungleknife_04.png,,,,,,,,,,,,,,,,,,,,,,,,
Cleaver,Short Blade,,,,,,,Armored,,,graphics/3d/weapons/weapons.SUP,blades_Cleaver,graphics/3d/weapons/textures/cleaver.png,,,graphics/3d/weapons/weapons_rare.SUP,carbon_cleaver,graphics/3d/weapons/textures/carbon_cleaver_rare_01.png,,,,,,,,,,,,,,,,,,,,,,,,106
Power Cutter,Short Blade,,,,,,,Mechanical,,150,graphics/3d/weapons/weapons.SUP,Power Cutter,graphics/3d/weapons/textures/powercutter.png,,,,,,,,,,,,,,,,,,,Chainsaw,,,MeleeSwing,,,,,,,162
Jigsaw,Short Blade,,,,,,,Mechanical,,100,graphics/3d/weapons/weapons.SUP,Jigsaw,graphics/3d/weapons/textures/jigsaw.png,,,graphics/3d/weapons/weapons_rare.SUP,laser_sword,graphics/3d/weapons/textures/laser_sword_rare_01.png,,,,,,,,,,,,,,Chainsaw,,,MeleeSwing,,,,,,,162
Labytech Knife,Short Blade,,,,,,,Armored,,,,,,,,,,,graphics/3d/weapons/weapons.SUP,scythe_dagger,graphics/3d/weapons/textures/scythe_dagger.png,,,,,,,,,,,,,,,,,,,,,
Knife Fork,Short Blade,,,,,,,Unarmored,,,graphics/3d/weapons/weapons.SUP,knife_fork,graphics/3d/weapons/textures/knife_fork.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paperbag Bottle,Short Blade,,,,,,,Unarmored,,,graphics/3d/props/bottle.SUP,bottle_paperbag,graphics/3d/props/textures/bottle_in_paperbag.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axe,Long Blade,,,,,,,Armored,,120,,,,,,graphics/3d/weapons/weapons.SUP,combat_axe,graphics/3d/weapons/textures/combat_axe.png,,,,,,,,,,Walk 1-handed weapon,Run 1-handed weapon,Idle,katana,Axe,,,MeleeSwing,,,,,,,186
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/combat_axe_02.png,,,,,,,,,,,,,,,,,,,,,,,,
